#Xing*2025 /1570(750) похожих слов-A2/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова почти похожи, интернац, сленг, новояз - можно запомнить по микро ФА)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abnormal [Эб'нормэл][Эб'но:мэл]|аномальный,ненормальный|аб=не % / abnormal эбнормэл / (аб=не) *неНОРМАЛьный *аномальный|
construction [кэн'стрэкшэн][кэн'стрАкшэн]|строительство,сооружение|конструкция / construct кэнстракт конструкт / *строят КОНСТРУКцию в КОНСТРУКТОРе лего (construction кэнстракшэн конструкция)|
 construct [канстрэкт][кэн'стрэкт][кэн'стрАкт]|построить,соорудить|construct кэнстракт конструкт / *строят КОНСТРУКцию в КОНСТРУКТОРе лего (construction кэнстракшэн конструкция)|
 reconstruct [рикэн'стрэкт][ри:кэнс'трАкт]|реконструировать,восстановить|реконструкция|
 construction [кэн'стрэкшэн][кэн'стрАкшэн]|строительство,стройка|(+site) / construct кэнстракт конструкт / *строят КОНСТРУКцию в КОНСТРУКТОРе лего (construction кэнстракшэн конструкция)|
consult [кэн'сэлт][кэн'сАлт]|проконсультироваться,советоваться|консультация|
contain [кэн'теин]|содержать|контейнер / contain кэнтейн контаин / КОНТЕЙНер *содержит грузы и сократил затраты на перевозки|
 containment [кэн'теинмэнт]|сдерживание||
content [кантент][кэн'тент][контент]|содержание,содержимое|контент / content контент контент / КОНТЕНТ это *содержание *суть *содержимое *сущность *оглавление / я выложил КОНТЕНТ на сайт и *довольный как слон|
 content-with [кантент][кэн'тент-ВиЗ][контентВиЗ]|содержание-с,довольный,довольство|как слон|
 discontent [дискэн'тент]|недовольство||
convert [канвэрт][кэн'вэрт][конвэ:т]|конвертировать,преобразовывать|конвертировать / convert ковэрт конверт / *КОНВЕРТировать валюту / *превращение *обменивать (и это не конверт для писем)|
 conversion [кэн'вэржэн][кэн'вэ:шэн]|преобразование|конверсия|
convey [кэн'веи]|перевозить,передавать|конвой / convey кэнвей конвеи / КОНВЕЙер *транспортирует детали, а КОНВОЙ *перевозит в тюрягу (convict конвикт осужденный заключенный)|
 conveyance [кэн'веиэнс]|перевозка,передача||
 conveyer [кэн'веиэр][кэн'веиэ]|транспортер,конвейер|%|
cookie [куки]|печенье|кук-готовить кухня / на сайте куки / cook кук коок / *КОК *готовил на КУХне / *КУХарка *повар (cookie куки печенье)(cooker кукэ плита печь)(кок-петух)|
cool [ку:л]|прохладный,свежий|кулер / cool кул коол / КУЛер принёс *прохладный *свежий воздух (cold коулд холодно)|
 coolness [кулнэс][ку:лнис]|прохлада,охлаждение||
 cool-down [кул-даун][ку:лдаун]|остывать,остыть|вниз|
cooperate [кВапэр,еит][коу'апэр,еит][кэу'опэ,реит]|сотрудничать|кооперация / cooperate коуоперейт кооперате / *сотрудничать при КООПЕРАЦии в кооперативе|
 cooperation [кВопэр'еишэн][коу,апэр'еишэн][кэу,опэ'реишэн]|сотрудничество||
 cooperative [коу'апэр,еитив][кэу'опэрэтив]|кооператив,совместный|кооператив|
corn [корн][ко:н]|кукуруза,зерно|поп-корн / acorn ейкорн акорн / *желудь и кукуруза(corn) желтые / corn корн / из *кукурузы сделали поп-КОРН / *зерно (corny хлебный зерновой)(acorn-желудь тоже желтый)|
corner [корнэр][ко:нэ]|угол|и-кона в / corner коРнэР / иКОНА в *углу всегда стоит|
 cornered [корнэрд][ко:нэд]|загнан-в-угол,загнанный-в-угол||
corps [кор][корз][ко:]|корпус|+п %%|
correct [кэр'ект][кэ'рект]|правильный,исправлять|корректный / correct кэрект коррект / *правильно *исправлять значить КОРЕКТировать|
 correctness [кэр'ектнэс][кэ'ректнэс]|правильность||
 correction [кэр'екшэн][кэ'рекшэн]|исправление|коррекция|
 incorrect [инкэр'ект][инкэ'рект]|неправильный||
correlation [корэ'леишэн][кори'леишэн]|корреляция,соотнесение|кореляция|
 correlate [корэ,леит][корэлэт][корилеит]|коррелировать,соотносить|correlate корэлейт коррелате / *соотносить данные это КОРЕЛЯЦия|
corrupt [кэр'эпт][кэ'рАпт]|коррумпированный,развращать,разлагать|корупция / corrupt кэрапт коррупт / КОРУПЦия *развращает и *разлагает *испорченное общество|
 corruption [кэр'эпшэн][кэ'рАпшэн]|коррупция,разложение||
cost [каст][кост]|расходы,стоить,стоимость|(cost, cost) / лоукостер берег / КОСТя КОСТлявый в оковах *стоит(cost кост) недорого на *берегу(coаst коуст) африки / ЛОУкостер - *низкая(low лоу) *стоимость(cost кост) билетов / cast каст / фидель КАСТро *бросал *метал КАСТрюли в повара - плохо кормил / КАСТинг для отбора в *актерский-состав (cost кост стоить)(coast коуст на берегу забросили сети) / cost кост / лоуКОСТер низкая(лоу) *стоимость(кост) билетов / сколько *стоит КОСТюм от версачи? (coast коуст берег с КОСТями)|
 costly [кастли][костли]|дорогостоящий||
cough [каф][коф]|кашель|кафкать / cough коф коуГХ / *кашель *кашлять и КАФкать (разг)|
count [каунт]|считать|считаться, иметь-значение / аккаунт / count каунт коунт / КОНТора считает! *счет *вычисление *подсчет аккаунтов (amount итог результат) / counter каунтэр коунтер / на *прилавке КОНТОРы рога и копыта продают рожки да ножки и до сих пор считают(count) на счётах, про калькуляторы даже не слышали / discount дискаунт дискоунт / *скидка *ДИСКОНТ (дис=не)(count-считать)|
 count-on [каунт-он][каунтон]|рассчитывать-на||
 counter [каунтэр][каунтэ]|счётчик / 2,противостоять,противоположный / 3,стойка,прилавок|контр / counter каунтэр коунтер / на *прилавке КОНТОРы рога и копыта продают рожки да ножки и до сих пор считают(count) на счётах, про калькуляторы даже не слышали|
 recount [ри:'каунт]|пересчитывать||
 countertop [каунтэр,тап][коунтертоп]|столешница,кухонный-рабочий-стол||
 counterfeit [каунтэр,фит][каунтэфит]|поддельный,подделка,фальшивый||
 counterfeiter [каунтэр,фитэр][каунтэфитэ]|фальшивомонетчик||
 counterpart [каунтэр,парт][каунтэпа:т]|аналог,коллега||
country [кэнтри][кАнтри]|страна,сельская-местность|музыка кантри / country кантри коунтри / угадай *страну, где играют музыку КАНТРИ медведи на балалайках?|
 countryside [кэнтри,саид][кАнтри,саид]|сельская-местность||
 country-man [кАнтримЭн]|деревенский-человек,сельский-житель||
 county [кауни][каунти]|графство,округ|-р|
 count [каунт]|считать,граф|считать / count каунт коунт / КОНТора считает! *счет *вычисление *подсчет аккаунтов (amount итог результат) / counter каунтэр коунтер / на *прилавке КОНТОРы рога и копыта продают рожки да ножки и до сих пор считают(count) на счётах, про калькуляторы даже не слышали / discount дискаунт дискоунт / *скидка *ДИСКОНТ (дис=не)(count-считать)|
couple [кэпэл][кАпл]|пара|капель фани каплан / ФАНИ КАПЛан и наФАНЯ - *смешная(funny фани) *парочка(couple капл) домовых в мавзолее / couple капел коупле / *пара КАПЕЛь переполнила чашу терпения и оно лопнуло, бабах!|
court [корт][ко:т]|двор-королевский / 2,игровая-площадка / 3,суд|тенисный-корт куртизанка / ou=o / court корт коурт / тенистный КОРТ во *дворе / над КУРТизанкой во *дворе устроли *суд на КОРТочках, но она достала КОРТик и всех зарезала.. / *суд - это длительный процесс, иногда просто тянут КОТа за хвост, изверги, ему же больно!|
 courtier [кортиэр][ко:тиэ]|придворный|марион КОТИЙЯР фр.актриса хорошая (courtier котьэр *придворный льстец)|
 courtroom [кор,трум][ко:трум]|зал-суда||
 courthouse [корт,хаус][ко:т'хаус]|здание-суда||
 courtesy [кэртэси][кэ:тиси]|учтивость,этикет||
 courteous [кэртиэс][кэ:тиэс]|вежливый,учтивый|кортэс из дети шпионов / КОРТЭС из кино дети шпионов был *вежливый шпион (courteous кэртиэс) / courteous кэртиэс коуртеоус / *вежливый КОРТЕж ехал и *вежливо давил всех зевак|
 courtyard [корт,йард][ко:т,йа:д]|двор,внутренний-двор||
cover [кэвэр][кАвэ]|крышка,накрывать,покрывать|ковер овер-над / cover кавер ковер / КОВЕР *покрывает стену и не слышно как соседи орут и дерутся / *крышка *накрыть (covert скрытый секретный) / over оувер овер / ОВЕРлок это *через(ОВЕР) + замок(лок)(машинка для обмётки швов) / я постелил кОВЕР *над ямой с крокодилами, а ты туда провалился, ах (cover кавэр крышка покрывать) / recover рикэвэр рековер / *восстановление (cover-накрыть ковер) =пере-накрыть|
 coverage [кэвэрэдж][кэвэридж][кэвридж][кАвэридж]|покрытие|освещение|
 uncover [эн'кэвэр][Ан'кАвэ]|раскрыть,раскрывать||
 undercover [эндэр'кэвэр][Андэ,кАвэ]|под-прикрытием,тайный|подковерный|
cozy [коузи][кэузи]|уютный|козе-среди-козлов, 7козлят-от-разных-козлов / cozy коузи кози / (=cosy) КОЗЕ *уютно в компании полных козлов|
crack [крЭк]|трескаться,трещина|крэкер во рту / crack крэк крацк / КРЕКеры *трескаются с *треском во рту / crash крэш краш / КРУШить с *треском и *грохотом на КРАШ тесте (crack *ударяться)|
 crackle [крЭкэл][крЭкл]|потрескивать,потрескивание||
craft [крЭфт][кра:фт]|ремесло,мастерство|майнкрафт варкрафт / craft крафт / варКРАФТ это война(war) + *ремесло, а майнКРАФТ это шахта(mine) + *ремесло|
 craftsman [крЭфсмэн][крЭфтсмэн][кра:фтсмэн]|ремесленник||
 crafty [крЭфти][кра:фти]|ловкий,хитрый||
crane [креин]|кран,подъёмный-кран|% / crane креин кране / *подъемный-КРАН / *журавль в колодце как КРАН - длиная палка с ведром|
crash [крЭш]|горохот,разбивать,крушение|% краш-тест / crash крэш краш / КРУШить с *треском и *грохотом на КРАШ тесте (crack *ударяться) / crush краш круш / КРУШить и *раздавливать *дробить с треском на КРАШ-тесте (crash крэш треск)|
crawl [кро:л]|ползти,ползать|кролем по воде / crawl крол краул / КРОЛик *ползал в узкой(нороу) норе / стиль плавания КРОЛем это как *ползать по воде и кричать караул тону|
cream [кри:м]|сливки,крем|% / cream крим креам / *КРЕМ *сливки *пена (айскрим-мороженка)(crime крайм преступление)|
 creamy [кри:ми]|сливочный||
 ice-cream [аискри:м]|мороженое|ice айс исе / АЙСберг это *лёд и ледяная-гора(берг)(ice-cream - мороженое это лед+крем)|
create [кри:'еит]|создавать|креатив / create криейт креате / КРЕАТивщик *создаёт КРЕАТивно *творение (для кретинов)|
 creation [кри:'еишэн]|создание||
 creator [кри'еитэр][кри:'еитэ]|создатель||
 creature [кричэр][кри:чэ]|существо|кричит / creature кричер креатуре / КРИЧит ЧЕРт в аду на *существо / КРЕТин создал Ужасное *существо и оно всех съело!|
crew [кру:]|команда,экипаж|круиз / crew кру крев / *экипаж сделал КРУгосветное путешествие вокруг пальца / в КРУизе ел КРЕВетки|
criminal [кримэнэл][криминл]|преступник,преступный|криминал / crime крайм криме / *преступление совершает КРИМинал (criminal криминл преступник, уголовный)|
 criminality [кримэ'нЭлити][крими'нЭлити]|преступность||
 crime [краим]|преступление|cream крим креам / *КРЕМ *сливки *пена (айскрим-мороженка)(crime крайм преступление) / crime крайм криме / *преступление совершает КРИМинал (criminal криминл преступник, уголовный)|
crook [крук]|мошенник,сгибать,искривлять|крюк / crook крук сроок / *сгибать и *искривлять КРЮК / *жулик был капитан КРЮК|
cross [крос]|пересекать,пересечение,крест|кросворд крос / КРОССворд - *слова(word Ворд) *поперек *скрещиваются *крестом(cross крос) / cross крос / КРОССворд это слова(word Ворд) *поперек *скрещиваются *крестом / КРОСс по *пересеченной местности (crossroads кросроудз перекрёсток)(crossing пересечение) / word ВоРд / кроссВОРД это *слова(word) поперек скрещиваются крестом(cross)|
 crosswise [кро,сВаиз]|крестообразно,крест-накрест||
 crossroads [крос,роудз][крос,рэудз]|перекресток,перекрёсток,перепутье|cross крос / КРОССворд это слова(word Ворд) *поперек *скрещиваются *крестом / КРОСс по *пересеченной местности (crossroads кросроудз перекрёсток)(crossing пересечение)|
crowd [крауд]|толпа|кровожадная / crowd крауд кровд / КРОВожаДная *толпа хочет КРОВи и зрелищ|
 overcrowd [оувэр'крауд][эувэ'крауд]|перенаселенность,переполнять||
 crowded [краудид]|переполненный|(=overcrowded)|
crown [краун]|короновать,корона|% / crown краун кроун / *КоРОНа (немного похоже)(crow кроу ворона воровка украла корону)|
 crowned [краунд]|коронованный,увенчанный||
cruel [круэл][крул]|жестокий|круела из кино крушила и ломала / cruel круэл / *безжалостная *ужасная КРУЭЛа из кино всё КРУшит И Ломает|
 cruelty [крулти][кру:элти]|жестокость||
cub [кэб][кАб]|детеныш|в инкубаторе / инКУБатор - *в(in ин) + *детёныш(cub куб) / cub каб куб / *детеныш в инКУБаторе играл в КУБики рубики|
daily [деили]|ежедневно|%|
 weekly [Ви:кли]|еженедельно||
 monthly [мэнСли][мАнСли]|ежемесячно||
 yearly [йирли][йиэли]|ежегодно||
data [дЭтэ][деитэ]|данные|дата-центр / date дейт дате / *ДАТА *период *срок *день *время *свидание *финик (data дейтэ данные инфа)|
 database [дЭтэ,беис][деитэ,беис]|база-данных||
date [деит]|дата,свидание,встречаться|в дату / АПДЕЙТ (комп сленг) *обновлять *обновление = вверх(up ап) + дата(date дейт)(update апдейт) / date дейт дате / *ДАТА *период *срок *день *время *свидание *финик (data дейтэ данные инфа)|
dealer [дилэр][ди:лэ]|дилер,торговец|дилер|
 deal [ди:л]|иметь-дело,сделка|дилера / deal дил деал / ДЕЛовой ДИЛер *заключает *сделку|
 dealership [дилэр,шип][ди:лэшип]|дилерский-центр,торговое-агенство||
 deal-in [дил-ин][ди:лин]|иметь-дело-с,заниматься(торговать)||
 deal-with [дил-ВиЗ][ди:лВиЗ]|иметь-дело-с|%|
debate [дэ'беит][ди'беит]|дебаты,обсуждать,спорить|дебаты|
 debatable [дэ'беитэбэл][ди'беитэбл]|спорный,дискуссионный||
decade [де'кеид]|десятилетие|декада|
declaration [деклэр'еишэн][деклэ'реишэн]|декларация,объявление|декларация|
 declare [ди'клер][ди'клеэ]|объявить,объявлять|declare диклэр декларе / *объявлять ДЕКЛАРАЦию о доходах / *провозглашать *высказываться|
decoration [декэр'еишэн][декэ'реишэн]|украшение|декорация|
 decorate [декэр,еит]|украшать|decorate декэрейт декорате / *украшать ДЕКОРАЦиями|
decree [ди'кри:]|постановление,указ,декрет|% / decree дикри декрее / (добавили т) *ДЕКРЕт *директива *постановление *приказ *указ|
deed [ди:д]|дело,поступок|ду-делать дид-сделал / deed дид деед / *ДЕйствие *ДЕло *поступок сделал(did)(do-делать)|
delicate [делэкэт][деликит]|тонкий,нежный,хрупкий|деликатный / delicate деликит деликате / ДЕЛИКАТный это *тонкий *нежный *хрупкий|
 delicacy [делэкэси][деликэси]|тонкость,нежность,деликатес|%|
 delicious [ди'лишэс]|вкусный,восхитительный(о-еде)|delicious дилишес делициоус / ДЕЛИКатесы *вкусные, пальчики оближешь|
dentist [дентэст][дентист]|дантист,зубной-врач|дантист / dentist дентист / *зубной-врач ДАНТИСТ|
 dental [денэл][дентэл][дентл]|зубной,стоматологический|dental дентэл дентал / *зубной *стоматологический врач это ДАНТист|
 dentistry [денистри][дентистри]|стоматология||
 dent [дент]|вмятина|в зубе|
 indentation [ин,ден'теишэн]|отступ,углубление|в зубе|
depart [ди'парт][ди'па:т]|уйти,отправляться,отходить|департация / ДЕПАРДье *отбыл на родину, не понравилась ему грязь и разруха в головах (depart дипапт уходить уезжать отходить отправляться) / depart дипарт департ / *отправляют восвояси при ДЕПОРТации (departure отправление)|
 departure [ди'парчэр][ди'па:чэ]|отправление,отправка|depart дипарт департ / *отправляют восвояси при ДЕПОРТации (departure отправление) / departure дипарчер департуре / ДЕПАРТИРтация это *отбытие *отъезд *отправление нелегальных мигрантов, понаехали тут всякие, самим жрать нечего|
 department [ди'партмэнт][ди'па:тмэнт]|отделение,отдел|департамент отправки нелегалов / department дипатмент департмент / ДЕПАРТАМЕНТ полиции это *отдел внутр.дел|
depress [ди'прес]|угнетать,подавлять|депресия / depress дипрес депресс / ДЕПРЕСия *угнетает и *подавляет (press давка давить)|
deputy [депьэти][депьюти]|представитель,депутат|+т % / deputy депьюти депути / *ДЕПУТАт упал намоченный / *делегат *посланник *представитель *заместитель *помощник|
deserter [дезэртэр][ди'зэ:тэ]|дезертир|%|
 desert [дезэрт][ди'зэрт][дезэт]|бросать,оставлять / 2,пустыня|десерт мыши кактусы / desert дизэрт десерт / *ДЕЗЕРТиры *оставили пост и *сбежали в *пустыню / ДЕСЕРТ для мышей в *пустыне это колючие кактусы|
desk [деск]|рабочий-стол,письменный-стол|из досок / desk деск / ДЕСКтоп это *настольный комп на *столе / ДоСКа у *парты вовочки вся исписана и разрисована неприличными картинками|
 desktop [деск,тап][десктоп]|рабочий-стол,настольный||
destroy [ди'строи][дис'трои]|разрушать|не строить / destroy дистрой дестрой / мы строили строили и наконец ДЕСТРОИли - сказал чебурашка, *ломать НЕ СТРОИть|
 destruction [ди'стрэкшэн][дис'трАкшэн]|разрушение||
 destroyer [ди'строиэр][дис'троиэ]|разрушитель||
detect [ди'тект]|обнаружить,выявить|детектор детектив / detect дитект детект / ДЕТЕКТор *обнаружил дым, а ДЕТЕКТив *выявил что поджёг махмуд, а саид на шухере стоял в стороне(side саид)|
determine [дэ'тэрмэн][ди'тэрмэн][ди'тэ:мин]|определять,определить|детерминал / determine дитэрмэн детермине / *ДЕТЕРМИНировать *определять *устанавливать *решаться / ДЕТЕРМинал квадратного уравнения|
 determination [ди,тэрмэ'неишэн][ди,тэ:ми'неишэн]|определение||
 determined [ди'тэрмэнд][ди'тэ:минд]|определенный,решённый,решительный||
 undetermined [энди'тэрмэнд][энди'тэрминд][Анди'тэ:минд]|неопределенный,неопределённый||
 determinate [ди'тэрмэ,неит][ди'тэ:минит]|определенный,определённый,решённый||
 undetermined [энди'тэрмэнд][энди'тэрминд][Анди'тэ:минд]|неопределенный,нерешительный||
 determination [ди,тэрмэ'неишэн][ди,тэ:ми'неишэн]|определение,решимость||
deviate [диви,еит][ди:виеит]|отклоняться|девиация / deviate дивиейт девиате / при ДЕВИАции *отклоняться *отступать *уклоняться (devious дивьэс блуждающий окольный извилистый хитрый коварный)|
 deviant [ди:виэнт]|девиантный,отклоняющееся||
 deviation [ди:ви'еишэн]|отклонение||
dial [даиэл][даил]|набирать-номер|диал-ап / ДИАЛ-ап - интернет по *телефону (dial диал циферблат круговая-шкала телефонный-диск-набора) + up(вверх) = набирать номер|
diary [даиэри][даири]|дневник|дей-день ежедневник / diary дайэри диари / в *дневник записали - ДИАРЕЯ от молочных-продуктов(dairy) / день(дей) + эра (пишем в *дневник что происходит каждый день всю нашу эру) / diary дайэри диари / в *дневнике медсестры запись - ДИАРея у больного, дам ему по носу!|
dictionary [дикшэ,нери][дикшэнэри]|словарь|диктора|
different [дифэрэнт][дифрэнт]|другой,разный,отличающийся|диферент / different дифэрэнт дифферент / ДИФФЕРЕНТ - это *различная глубина носа и зада подлодки|
 differ [дифэр][дифэ]|отличаться|differ дифэр диффер / от слова ДИФФЕренцировать - *различать|
 difference [дифэрэнс][дифрэнс]|разница|диференциал / difference дифэрэнс дифференце / ДИФФЕРЕНЦировать значит определять *разницу dx / dy|
 differentiate [дифэр'енши,еит][дифэ'реншиеит]|дифференцировать,отличать||
diffusion [диф'ьюжэн][ди'фью:жэн]|диффузия,рассеивание|диффузия|
 diffuse [диф'ьюс][диф'ьюз][ди'фью:с]|диффузный,рассеивать,распылять|diffuse дифьюз диффузе / ДИФФУЗор *рассеивает и *распыляет и происходит ДИФФУЗия|
dig [диг]|копать|(dug, dug) / диггер / dig диг / (dug, dug) ДИГер *копает дыру к центру земли|
 dig-up [диг-эп][дигАп]|выкопать,откопать|вверх|
digit [диджэт][диджит]|цифра|дж=г / дигитайзер|
 digital [диджитэл][диджитл]|цифровой||
discount [ди'скаунт]|скидка|дисконт / discount дискаунт дискоунт / *скидка *ДИСКОНТ (дис=не)(count-считать)|
discover [ди'скэвэр][дис'кАвэ]|обнаружить,открыть(новое)|дискавери / discover дискавэ дискавер / канал ДИСКАВЕри *открывает *открытия, ах|
 discovery [дис'кэври][ди'скэвэри][ди'скэври][дис'кАвэри]|открытие||
discrimination [дис,кримэ'неишэн][дис,крими'неишэн]|дискриминация,различение|дискриманация|
 discriminate [дис'кримэ,неит][дис'криминит]|различать,разделять||
discussion [ди'скэшэн][дис'кАшэн]|обсуждение|дискусия / discuss дискас дискусс / *обсуждать и ДИСКУтировать в ДИСКУССии (discussion дискэшэн беседа)|
 discuss [ди'скэс][дис'кАс]|обсуждать|discuss дискас дискусс / *обсуждать и ДИСКУтировать в ДИСКУССии (discussion дискэшэн беседа)|
disparity [ди'сперэти][дис'пЭрити]|неравенство|не паритет|
 parity [перэти][пЭрити]|равенство,паритет|%|
dispatch [ди'спЭч][дис'пЭч]|отправлять,отправка|диспечер|
dispense [ди'спенс][дис'пенс]|распределять,раздавать|диспансер / dispense диспенс диспенсе / ДИСПАНСер *распределяет больных, врач сказал в морг, значит в морг|
 dispensation [диспэн'сеишэн][диспен'сеишэн]|устроение,распределение||
dispersion [ди'спэржэн][дис'пэ:шэн]|дисперсия,рассеивание|дисперсия|
 disperse [ди'спэрс][дис'пэ:с]|разойтись,рассеиваться||
display [дис'плеи]|отображать,показывать,демонстрировать|дисплей монитор=ментор=наставник / display дисплей / ДИСПЛЕЙ *демонстрирует и *показывает картинки (а монитор это наставник советник)|
dispute [ди'спьют][дис'пью:т]|спор,спорить|диспут / dispute диспьют диспуте / *спорить на ДИСПУТЕ (argue спорить с аргументами)|
 disputed [ди'спьютэд][ди'спьютид][дис'пью:тид]|оспариваемый,спорный||
 undisputed [энди'спьютид][Андис'пью:тид]|бесспорный,необсуждаемый||
distance [дистэнс]|расстояние|дистанция / distance дистэнс дистанце / *расстояние это *ДИСТАНЦия (distant дистэнт далекий отдалённый) / дистанционное обучение|
 distant [дистэнт]|далекий,отдалённый|distance дистэнс дистанце / *расстояние это *ДИСТАНЦия (distant дистэнт далекий отдалённый) / дистанционное обучение|
distribute [ди'стрибьют][дис'трибью:т]|распространять,распределять|дистрибутив / distribute дистрибьют дистрибуте / ДИТРИБЬЮТор *распределяет и *распространяет товар (сбыт)|
 distribution [дистрэб'ьюшэн][дистри'бью:шэн]|распределение||
 redistribute [риди'стрибьют][ри:дис'трибью:т]|перераспределять||
dive [даив]|нырять|дайвер / dive дайв диве / ДАЙВеры *ныряют в ДИВные места под водой - это ДАЙВинг|
diverse [даи'вэрс][ди'вэрс][даи'вэ:с]|разнообразный|диверсификация / diverse даивэрс диверсе / ДИВЕРСификация это значит хранить яйца в *разных корзинах / *многообразный *разнообразный|
 diversify [даи'вэрсэ,фаи][ди'вэрсэ,фаи][даи'вэ:сифаи]|диверсифицировать,разнообразить||
 diversity [даи'вэрсити][ди'вэрсити][даи'вэ:сити]|разнообразие||
dock [дак][док]|причал,док|% / dock док доцк / в ДОКе разгружают *причаливший корабль и *стыковка кораблей|
domain [доу'меин][дэу'меин]|домен,область,сфера,владение|домен|
domestic [дэ'местик][дэу'местик]|одомашненный,внутренний(о-политике) / 2,домашний|дома местный / domestic дэмэстик доместик / *ДОМАшний МОСТИК (для кошки между шкафом и тумбочкой)|
 domesticate [дэ'местэ,кеит][дэу'местикеит]|приручить,одомашнить||
donate [доу,неит][дэу'неит]|пожертвовать,жертвовать,скидываться|донат / donate доунейт донате / *жертвовать *скидываться на ДОНАТ (сленг)|
 donation [доу'неишэн][дэу'неишэн]|пожертвование||
doom [ду:м]|гибель,рок,обречённость|игруля дум а квака это землятресение / doom дум доом / в ДУМе решили *судьбу страны, ей капец / игруля ДУМ - *рок *обрекать|
doorway [дор,Веи][до:Веи]|дверной-проем|=дорога+путь|
dope [доуп][дэуп]|наркотик,дурман|допинг / dope доуп допе / ДОПИнг это *наркотик *дурман чтобы бегать как супермен|
dot [дат][дот]|точка|огневая это дот / dot дот / ДОТ это огневая *точка (dotted-точечный)|
double [дэбэл][дАбл]|удваивать,двойной|дубль дублер / double дабэл доубле / от слова ДУБЛЬ - *двойной / *двойник *дубликат *повторение|
 redouble [ри'дэбэл][ри'дАбл]|удвоить,удваивать||
dozen [дэзэн][дАзн]|дюжина|з=ж %% / dozen дазен дозен / (замена о-ю z-ж) *ДЮЖЕНа / ДОЗА Наркомана *дюжина таблеток|
drain [дреин]|осушать,слив,водосток|для дренажа / drain дрейн драин / *слив и *водосток для *ДРЕНажной системы / *сушить dry-сухой|
 drainage [дреинэдж][дреинидж]|дренаж||
dress [дрес]|одеваться|дресс-код / dress дрес / *одеваться в *платье по ДРЕСС-коду / *платье у ДРЕСсировщицы съел лев вместе с ней|
 dress-up [дрес-эп][дресАп]|одеваться,нарядиться|вверх|
drift [дрифт]|дрейфовать,дрифтовать|% / drift дрифт / *ДРеЙФ *дрейфовать *плыть-по-течению / *снос *ДРИФТ|
 snowdrift [снэудрифт]|сугроб,снежный-занос||
drive [драив]|водить-машину,вести-машину|двигать, гнать / (drove, driven) / тест-драйв / drive драйв дриве / на тест-ДРАЙВе *водят-машину для проверки (driver водила драйвер это дрова на комп)|
 drive-in [драивин]|въехать,ехать-в-машине||
dual [дуэл][дул][дью:эл]|двойной,парный,двоякий|дуэль / dual дуэл дуал / ДУЭЛь *парный поединок / *двоякий ДУАЛизм|
 duality [ду'Элэти][дью:'Элити]|двойственность|дуализм|
dub [дэб][дАб]|дублировать|%|
duo [дуоу][дью:эу]|дуэт|+т %|
duplicate [дуплэ,кеит][дуплэкэт][дью:пликит]|дублировать,дубликат|%|
 duplication [дьюплэ'кеишэн][дью:пли'кеишэн]|дублирование||
echo [екоу][екэу]|отголосок,отражаться,эхо|ч=к=х %|
efficient [и'фишэнт]|оптимальный,эффективный|+т %% / effective ифектив эффективе / *ЭФФЕКТИВный *действительный *результативный (efficient ифишэнт эффективность)|
 efficiency [и'фишэнси]|эффективность||
 inefficient [ини'фишэнт]|неэффективный||
 inefficiency [ини'фишэнси]|неэффективность||
 efficacy [ефи,кЭси][ефикэси]|эффективность,результативность||
elect [и'лект]|выбирать,избирать|электорат / elect илект елект / ЭЛЕКТорат *выбирает и *избирает (election илекшен выборы) / electricity илектрисити електрисити / *ЭЛЕКТРИчество выбирает(elect) город(city) вместо дров и свечек|
 elections [и'лекшэнз]|выборы||
elevator [елэ,веитэр][еливеитэ]|лифт|элеватор а лифт-поднимать / elevate елэвейт елевате / ЭЛЕВАТор *поднимает зерно (elevator еливейтер лифт элеватор)|
 elevate [елэ,веит][еливеит]|возвышать,поднимать,повышать|elevate елэвейт елевате / ЭЛЕВАТор *поднимает зерно (elevator еливейтер лифт элеватор)|
 elevation [елэ'веишэн][ели'веишэн]|подъём,высота||
emit [и'мит]|излучать,испускать,издавать|эмитер / emit имит эмит / ЭМИТер *испускает электроны, а коллектор(collect) собирает, а транзистор(transit) перекачивает|
 emission [и'мишэн]|выбросы,излучение|эмиссия|
emperor [емпэрэр][емпэрэ]|император|+т %|
 empress [емпрес][емприс]|императрица|с репресиями|
 empire [емпаиэр][емпаиэ]|империя|%|
engine [енджэн][инджэн][енджин]|двигатель,машина|инженер делает / engine енджин енгине / один ИНЖЕНЕр сделал вечный *двигатель, но его убила нефтемафия (engineer енджэнир инженер)|
enlarge [ен'лардж][ин'лардж][ин'ла:дж]|увеличить,расширить|лоджию|
 enlargement [ин'ларджмэнт][ин'ла:джмэнт]|расширение,укрупнение||
ensemble [ан'самбэл][а:н'са:мбл]|ансамбль|%|
equal [и:кВэл]|равный,равняться|эквивалентный / equal икВэл екуал / ЭКВивАЛентный значит *равный и *равняться (equally икВэли в-равной-степени)|
