#Xing*2025/750(1600) похожих + 1700(3200) родственных (уровень примерно A2+В1)
#сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# %-похоже, %%-немного-похоже æ=Э ŋ=Н θ=С ð=З w=В ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! 3700 слов примерно тоже самое, но здесь больше ФА + словоформы (сущ,прил,нареч) 2300 слов, но нет имен, названий и расшифровок слов. Слова частые из списков 7700+3000+5000 из разных источников + амер.тр и гугл перевод. 
#(ещё до конца недоделано, но учить можно 1500 слов 2 уровня сложности)
#
AM-PM[ей'ем-пи'ем]|до-после полудня|время 0-12ч|
modest[мадэст][модист]|скромный,умеренный|+МОДЕСТ из городка был *скромным придурком в свитере/*скромная МОДИСТка носила только последний крик МОДЫ/худая МОДель ЕСТ *скромно и *сдержанно, скелет ходячий/сумашедшая(mad~МЭД) ИСТеричка прикинулась *скромной овечкой в волчей шкуре, еле отделался| immodest[и'модист]нескромный/im=не//modesty[мадэсти][модисти]скромность/-ty сущ// immodesty[и'модисти]нескромность/im=не, -ty сущ
modification[мадэфэ'кеишэн][модифи'кеишэн]|видоизменение,модификация|т=ш=ц %| modify[мадэ,фаи][модифаи]изменить,видоизменять ~МОДИФИцировать
monastery[манэ,стери][монэстэри]|монастырь|е=ы %%|
monetary[манэ,тери][мАнитэри]|валютный,денежный|~МОНЕТАРный|
mortal[мортэл][мо:тл]|смертельный,смертный|+c *сМЕРТЕЛьный %%/МОРТАЛ комбат = *смертельная битва| immortal[и'мортэл][и'мо:тл]бессмертный/im=не// mortality[мор'тЭлэти][мо:'тЭлити]смертность/-ty сущ// immortality[имор'тЭлити][имо:'тЭлити]бессмертие/im=не
mosquito[мэ'скитоу][мэс'ки:тэу]|комар|~МОСКИТная сетка от *комаров|
motion[моушэн][мэушэн]|движение|локоМОТИв в *движении/МОТай отсюда и уМАТывай = *движение/МОЙША перекрыл *движение шлагбаумом и берёт деньги за проезд, во гад!|move~мув двигаться//motionless[моушэнлэс][мэушэнлис]неподвижный/less=без
murder[мэРдэР]|убийство,убивать|+МАРоДЁРа из МОРДЕРа с отвратительной МОРДой, туда ему и дорога|murderer[мэрдэрэр][мэ:дэрэ]убийца/-er исполнитель// murderous[мэрдэрэс][мэ:дэрэс]убийственный/-ous прил
muscle[мэсэл][мАсл]|мышца|sc=с=ск *мышцы и *МУСКуЛы/блестят от МАСЛа *мышцы бодибилдера/ МАСЛом кашу с *мышцами не испортишь/*мышцы по-другому МУСКУЛатура|masculine~мэскьэлэн мужское//muscular[мэскьэлэр][мАскьюлэ]мышечный,мускулистый %
muslim[мэзлим][муслим]|мусульманский,мусульманин|+муслим (магомаев) %%|
#
nanny[нЭни]|няня|а=я %|nurse~нёрс няня медсестра
nasty[нЭсти][на:сти]|противный|*скверное неНАСТье это *отвратительная и *мерзкая *противная погода/*противное чудище подарило НАСТЕ аленький цветочек|
native[неитив]|местный,туземный/2,родной|~НАТИВный это *родной *местный/*природный (nature~нейчэр природа)/у НЕЙ ТИФ *природного происхождения/у тифозного заболела вся *родная *родня что с НЕЙ? -ТИФ! ааа, мы все умрем/НЕЙлон проТИВ *родного капрона, а кто победил? -ничья|
natural[нЭчэрэл][нЭчрэл]|естественный|+значит НАТУРАЛьный НАТУРАЛ|naturally~нэчрэли естественно/-ly нареч// unnatural[эн'нЭчэрэл][Ан'нЭчрэл]неестественный/un=не// supernatural[супэр'нЭчэрэл][сью:пэ'нЭчрэл]сверхъестественное =супер-натурал
navigate[нЭвэ,геит][нЭвигеит]|перемещаться,ориентироваться,ходить-по-курсу|+по ~НАВИГАТору/~НАВИГАЦия|navy[неиви]военно-морской-флот открыл НАВИгацию/когда начнётся НАВИгационный сезон,*военно-морской-флот выйдет на учения и как всегда собьёт нечаянно пассажирский самолёт//naval[неивэл]военно-морской/-al прил
nominate[намэ,неит][намэнэт][номинеит]|выдвигать,номинировать|%%| nomination[намэ'неишэн][номи'неишэн]выдвижение,номинация/-tion сущ// nominee[намэ'ни][номи'ни:]кандидат =номинант
none[нэн][нАн]|никто,никакой,ни-один|*ничто (no-нет, not-не)/*никто не слышал про группу НАНа? неа/*никто меня не НАНимал(hire~хайэр) делать зайцу(hare~хер, хеэ) харакири| nine~найн девять
north[ноРС]|север,северный|НОс мёРЗ на *севере/~НОРд оСт в компасе/НОС убежал на *север, гоголь проснулся, а носа то нету!/твой длинный НОС замёрзнет, если ветер *северный и отвалится|northern[ноРЗэРн]северный//northerner[норЗэрнэр][но:Зэнэ]северянин/-er тот-кто-это-делает//northward[норСВэрд][но:СВэд]на-север/+вперёд
nose-around[ноуз-эр'аунд][нэузэ'раунд]|рыскать,вынюхивать|=нос + вокруг|
nostril[настрил][нострил]|ноздря|-л %%/НОС СТРЕЛяет соплями из *ноздри|
note[ноут][нэут]|примечание,заметка,запись|НОУТбук = *заметка + книга(book~бук)/*заметку *запись *отметили в блокНОТЕ/от слова блокНОУТ (блокнот) - *записная-книжка| notable[ноутэбэл][нэутэбл]заметный,примечательный/-able прил// footnote[фут,ноут][футнэут]сноска/футтер-снизу страницы/foot~фут нога футбол// notice[ноутэс][ноутис][нэутис]уведомление,заметить/мы *заметили НАУТИлус и Стельнули из гарпуна../НОчью У ТИСков *заметили слесаря с отмычками// unnoticed[эн'ноутист][Ан'нэутист]незамеченный/un=не// notify[ноутэ,фаи][нэутифаи]уведомить,известить/*объявлять НОТЫ протеста по вайФАЙ// notification[ноутэфэ'кеишэн][нэутифи'кеишэн]уведомление/-tion сущ// notion[ноушэн][нэушэн]понятие,представление/~НОТАЦия/*понятия не имею как Найти 12 друзей ОУШЕНа в океане(ocean~оушен) страстей/НОШусь с Новой *идеей и *намерением спасти человечество от инопланетян
nude[нуд][нью:д]|обнаженный|+НУДист НУДит и НУДит про лапшу(noodle~нудэл) на ушах| nudity[нудити][нью:дити]нагота НУДИсТа/-ty сущ
numeric[ну'мерик]|числовой,цифровой|(=numerical)/~НОМЕРной|numerous[нумэрэс][нью:мэрэс] *многочисленная очередь за хлебом проНУМЕРОВАна/НУМЕРОв *множество в этой гостинице но *многочисленным туристам одели шины(tyre~таир,тайэ) на голову и вытурили к черту на рога
#
occasion[э'кеижэн]|случай,событие|~ОКАЗИЯ т.е тяжёлый *случай/передать привет с ОКАЗИЕЙ - хороший *повод сэкономить на курьерах/ОКЕЙ, ЖЕНу свою приводи в нашу секту, это будет *событие, дадим ей пояс шахидки и работу| occasional[э'кеижэнэл][э'кеижэнл]случайный/*случайно с ОККАЗИей передаЛ не то и не туда/*беспорядочный/*случайно ОКАЗалась муха на паНЕЛи приборов, ты её прихлопнул, но что-то сломал походу, теперь самолёт летит кверх ногами! а где у него ноги?// occasionally~экеижэнэли *время-от-времени ОКАЗывается таракан в паНЕЛИ управления чернобыльской аэс и замыкает контакты,ааа мы все умрем
occupy[акьэ,паи][окьюпаи]|занимать|+территории значит *ОККУПИровать/ОККУПАнты *занимают территорию и караул нас грабят| occupation[акьэ'пеишэн][окью'пеишэн]занятие,профессия,род-деятельности/при ОККУПАЦИИ лучшая *профессия - быть полицаем
opposition[апэ'зишэн][опэ'зишэн]|противостояние,оппозиция|т=ш=ц %| opposite[апэзэт][апзэт][опэзит]противоположный/*напротив бастует ОППОЗИЦия, беги оттуда/ ОППОЗИция имееТ *противоположное мнение, но молчит в тряпочку// oppose[э'поуз][э'пэуз]выступать-против,противостоять/ОППОЗиция *против и *противостоит продажной власти старых маразматиков
option[апшэн][опшэн]|вариант,выбор|+ОПТИмальной *ОПЦИИ/О ПШЕНа *выбор огромный, а гречка есть?|optional[апшэнэл][опшэнэл][опшэнл]необязательный =опциональный?
oral[о:рэл]|устный,ротовой,оральный|%/ОРАтор ОРАЛ как резаный что *устно решит эту задачу для 1 класса/ORAL-b зубная щетка *ротовая для *рта|
order[оРдэР]|заказ,заказывать/2,порядок,упорядочивать/3,приказ|выдали ОРДЕР для наведения *порядка и наказания невиновных и *заказали ОРДЕна для награждения непричастных/получив ОРДЕР на восстановление *порядка, я утоплю в крови весь мир! -ой, а может не надо?/получив ОРДЕР на обыск злодея, я навёл *порядок у себя дома| reorder[ри'ордэр][ри:'о:дэ]переупорядочить/re=пере// disorder[ди'сордэр][дис'о:дэ]расстройство,беспорядок/dis-не %/~дизорганизация
ordinary[оРдэ,нери][о:днри]|обычный|~ОРДИНАРный *обычный *обыкновенный *посредственный врач в ординаторской вырезал тебе последние мозги по ошибке/*обычный - значит ОРДИНАРный|
original[эр'иджэнэл][э'риджэнл]|первоначальный,первоисточник,оригинальный|г=дж %| originally[эр'иджэнэли][эр'иджнэли][э'риджинэли]изначально/-ly нареч =оригинально?// origin[орэджэн][ориджин]источник,начало,происхождение ОРИГИНальное у ДЖИНа из лампы - он там родился!/ты ОРИГИНально *начал пить упав лицом в *источник// originate[эр'иджэ,неит][э'риджинеит]возникать,происходить
ounce[аунс]|унция|+ия %%|oz[аз][оз]унция(сокр) из страны оз
oxygen[аксиджэн][оксиджэн]|кислород|~ОКСИД/кислый + gen-генерейшн-рождение|
oyster[оистэР]|устрица|+ца УСТРица %%/*устрица стирает память, он ест и кричит ОЙ! СТЕР! ничего не помню! -записывать надо|
#
pack[пЭк]|пакет,пачка,связка,колода/2,упаковывать,собирать|*ПАКет % *кипа *снаряжение *ПАКовать|package[пЭкэдж][пЭкидж]упаковка,пакет/дж=т %/*ПАКет *сверток *пачка *контейнер *складывать в *ПАКет пИДЖак// unpack[эн'пЭк][Ан'пЭк]распаковать,распаковывать/un=рас// pack-up[пЭк-Ап]упаковать-ся,собрать-ся/+вверх=готово
pair[пер][пеэ]|пара|*ПАРа % ПЕРчаток|pear~пер,пеэ груша//repair~рипер ремонт// paired[перд][пеэд]парный %
paper[пеипэР]|бумага,документ|ПАПИРосы и древний ПАПИРус из *бумаги| wallpapers[Вол,пеипэРз][Во:л,пеипэз]обои =стена+бумага// paperwork[пеипэр,Вэрк][пеипэ,Вэ:к]оформление-документов =бумажная-работа
paragraph[пЭрэ,грЭф][пЭрэгра:ф]|абзац,пункт|не параграф!/ПАРАГРАФ это *абзац, а параграф это section-mark, то есть знак раздела|
parcel[паРсэл][па:сл]|посылка|*ПОСЫЛка % *сверток/ПАСЕЛ я получить *ПАСЫЛку (представь как несешь этот *сверток с бомбой и он взрывается)|
pardon[паРдэн][па:дн]|прощать,извинять,извинение|ПАРДОН, *извените миня, ми не местный| unpardonable[Ан'па:днэбл]непростительный =беспардонный/un=не
patient[пеишэнт]|терпеливый,пациент|% запарился уже ждать (т=ш=ц)|patiently~пеишэнтли терпеливо/-ly нареч//patience[пеишэнс]терпение ПАЦИЕНта кончилось и он упустил свой ШАНС стать человеком//impatient[им'пеишэнт]нетерпеливый ПАЦИЕНТ был ИМПОТЕНТ и слушал виагру
patrol[пэ'троул][пэ'трэул]|патруль|о=у %%|
patron[пеитрэн]|покровитель|+был ПАТРОН(шеф) с патронами| patronize[пеитрэ,наиз][пЭтрэнаиз]покровительствовать =патронизировать
pattern[пЭтэРн]|шаблон,образец|~ПАТТЕРНы в программировании это *модель разработки/на *образец *модели выдали ПАТЕНт по *шаблону и талон на *эталон|
pause[по:з]|пауза,приостанавливать|+и *сделать-ПАУЗу, а звучит ПОЗ!/ПОЗдно *паузу-делать при смене ПОЗы йоги|
peel[пи:л]|чистить,кожура,очищать|ПИЛинг *снимает *кожицу, а эПИЛяция *очищает *кожу от волос/ПИЛюля это таблетка в *кожуре (оболочке)|pill~пил *таблетку ПИЛ и ПИЛюлю
penalty[пенэлти][пенлти]|штраф,наказание|ПЕНАЛЬТИ это *наказание и *штрафной удар в футболе/в ПЕНАЛе ТИхо хранил квитанции от *штрафов, тсс|penal~пинэл *уголовный *карательный каратель заПИНАЛ тебя как фуфайку
personnel[пэРсэ'нел]|личный-состав,персонал|нн=н %%|personal~пэрсинэл личный
pest[пест]|паразит,вредитель|~ПЕСТицид от *паразитов/*вредитель ел ПЕСТик и тычинки|
pet[пет]|домашний-питомец|ты *погладил *ПИТомца в ПИТомнике, а он откусил руку/ПИТон в яме(pit~пит) ПИТается твоими домашними *ПИТомцами, ааа|
pier[пир][пиэ]|пристань,пирс|+с %%|pair~пер *пара пирсов у бритни спирс
piercing[пирсиН][пиэсиН]|пронзительный,пирсинг|%/*пронзительный крик когда *прокалывали *пирсинг, а желтый бегемот в очереди испугался и убежал (мульт)| pierce[пирс][пиэс]пронзить,проколоть/для ~ПИРСинга надо *проколоть длинный язык без костей/*протыкать *просверливать тебе нос для кольца
pill[пил]|таблетка,пилюля|ты ПИЛ *таблетку и ПИЛюлю от жадности и хочешь ещё ещё| peel~пил *очищать *кожуру это ПИЛинг
plane[плеин]|самолёт|~аэроПЛАН/ПЛАНЕр *самолет ПЛАНировал на *плоскость, потому что земля *плоская/дельтаПЛАН ПЛАНировал на *плоскую дельту реки/ПЛЕНные угнали наш *самолет и аэроПЛАН с *рубанками и *фуганками, лови их|airplane[ер,плеин][еэплеин]самолет ~АЭРОПЛАН
plank[плЭНк]|доска,планка|%/ПЛАНКа это тонкая и маленькая *доска|
plantation[плЭн'теишэн]|насаждения,плантация|т=ш=ц %/-tion сущ| plant[плЭнт][пла:нт]завод,производство/2,растение,сажать/ПЛАНТация странных *растений возле *завода удобрений (plant это весь цветок с листьями, а flower - цветок с лепестками)//plant-flowers~плантфлаверс сажают-цветы// planting[плЭнтиН][пла:нтиН]посадка/-ing процесс глагола
plate[плеит]|тарелка,пластина,плита|а=и %/*тарелка плоская как ПЛИТА, только круглая/ ПЛЕЙер упал в *Тарелку с супом и погиб как герой/*тарелка на ПЛИТЕ стояла как вкопаная| dish~диш *тарелка//platter[плЭтэР]блюдо,большое-блюдо на *тарелке
playground[плеи,граунд]|детская-площадка|=игра + земля|
please[пли:з]|пожалуйста,радовать|*ПожаЛуЙСта *получать-удовольствие/*Пожалуйста, ЛИЗа *порадуй ПодЛИЗ и ябед в стране землянике|pleasant~плезэнт приятно крестьянину(peasant~пизэнт) когда горох(pea~пи) сантиметр// pleasure[плежэР]удовольствие,наслаждение на ПЛЯЖЕ Реки (leisure~лежэР досуг лёжа)// displeasure[дис'плежэР]недовольство,неудовольствие/dis=не
plural[плурэл][плуэрэл]|множественное-число|~ПЛЮРАЛизм мнений это *много мнений| plurality[плэр'Элити][плуэ'рЭлити]множество,множественность/-ty сущ
pole[поул][пэул]|полюс/2,шест,столб|+с флагом на *ПОЛюсе воткнули - мы первые!/на ПОЛЕ стоит *столб до неба, а вокруг *колья и лесные чудища ходят, что это?|
policy[палэси][полиси]|курс,политика|с=т %/не полис!/*ПОЛИтика СИлы/в тюряге *политика - у зебры на робе должны быть ПОЛОСЫ/*политика состоит из черной и белой ПОЛОСЫ| political~пэлитикэл политический %
polish[палиш][поулиш][полиш]|шлифовать,полировать|ш=р %%/*глянец *ПОЛИровать в польШе|
pope[поуп][пэуп]|папа-римский|%% ~поп|papal[пеипэл]папский/-al прил
population[папьэ'леишэн][попью'леишэн]|население|~ПОПУЛЯЦИЯ| populate[папьэ,леит][попьюлеит]заселять,населять ~ПОПУЛЯрными ~ПОПУЛИстами
portable[поРтэбэл][по:тэбл]|переносной,портативный|%%/ПОРТ БЫЛ *разборный и *переносной|
practice[прЭктэс][прЭктис]|упражняться,практиковать,практика|с=к %/*тренировка| practise~прэктис заниматься практиковать %
prairie[прери][преэри]|степь,прерия|+я %%|
precise[при'саис][при'саиз]|точный|~ПРЕЦИЗионный станок|precisely~присаисли точно/-ly нареч//imprecise[импрэ,саис][импри'саис]неточный/im=не// precision[при'сижэн]точность/-sion сущ//imprecision[имприсижэн]неточность/im=не
prepare[при'пер][при'пеэ]|подготовить,приготовить|+ПРЕПАРат к ПРЕПАРации лягушки/я *приготовил на обед ПРЕПАРированную лягушку, кушать подано| preparation[препэр'еишэн][препэ'реишэн]подготовка/-tion сущ// unprepared[энпри'перд][Анпри'пеэд]неподготовленный/un=не, ed=сделанный
present[презэнт][при'зент][презнт]|подарок,настоящее(время)/2,присутствующий,в-наличии| ПРЕЗЕНТация подарков в *настоящее время это тоже *подарок/*присутствовать на ПРЕЗЕНТации/*дарить на ПРЕЗЕНТации *подарки/*настоящая ПРЕЗЕНТация была подделка| present-with~презэнт-виЗ *дарить ПРЕЗЕНТы +С//represent~репризент изображать означать ~репрезентантивный//gift~гифт *подарок// presently[презэнтли][презнтли]в-настоящее-время/-ly нареч?// presence[презэнс][презнс]присутствие наличие/-nce сущ
preserve[прэ'зэрв][при'зэРв]|сохранять,беречь|с=з, ПРЕСЕРВы надо *беречь *оберегать *заготовлять-впрок и *консервировать/ПРЕСЕРВы *сохраняют рыбу месяц в капроновой банке, а консервы(can~кэн) в жестянке год/презик *бережет от болезней| preservation[презэр'веишэн][презэ:'веишэн]сохранение/-tion сущ
press[прес]|нажимать|*ПРЕССа *надавливание *ПРЕСС *давка *свалка *спешка *жать *прижимать *выжимать *давить *ПРЕССовать/*ПРЕСС *давит всё всмятку|repress~рипрес РЕПРЕСии *подавляют//suppress~сэпрес пресекать сдерживать подавлять//compress~компрес КОМПРЕСсор *сжимает и *прессует//depress~дипрес ДЕПРЕСия *угнетает и *подавляет// impress~импрес ИМПРЕСарио *произвел-сильное-впечатление ~импрессия//pressure[прешэР] *давление создаёт ПРЕСС, УРА!
prevail[при'веил]|преобладать,возобладать|~ПРЕВАЛИРОВАТЬ *торжествовать *одержать-победу *достигать-цели *преобладать/ПРЕВАЛИРОВАТЬ т.е *господствовать| prevalent[превэлэнт]распространенный,преобладающий =превалирующий
prevent[при'вент]|предотвращать|~ПРЕВЕНТивные меры *препятствуют эпидемии/*отводить *мешать|prevention[при'веншэн]предотвращение,профилактика/-tion сущ// preventive[при'венив][при'вентив]профилактический,превентивный %/-ive прил// prevent-from[при'вент-фрэм][при'вент-фром]предотвратить,мешать/+от/ /keep-from[ки:п-фром]держаться-от,мешать
private[праивэт][праивит]|частный,личный|~ПРИВАТный чат значит *частный *личный/ПРИВАТизация в *частные руки| privately[праивэтли][праивитли]в-частном-порядке,частным-образом/-ly нареч?// privacy[праивэси][привэси]частная-жизнь,конфиденциальность/ПРИВАтный *СЕкретный чат для *уединенности
probe[проуб][прэуб]|зонд,датчик,зонд/2,исследовать,проверить|+ПРОБу воды/~ПРОБник это *датчик *зонд для *проверки| probation[проу'беишэн][прэ'беишэн]испытательный-срок,испытание,испыт.срок =пробничество
procedure[прэ'сиджэР][проу'сиджэр][прэ'си:джэ]|процедура|с=ц %/ПРОСИЖИвал штаны|
producer[прэ'дусэр][прэ'дью:сэ]|производитель,продюсер|%/*производители производят ПРОДУКты|produce[проудус][прэ'дус][продью:с] ПРОДЮСер *производит фильмы про дусю/ *производить ПРОДУкЦию//production[прэ'дэкшэн][проу'дэкшэн][прэ'дАкшэн]производство продукции/-tion сущ
profit[прафит][профит]|выгода,польза,извлекать-пользу|*прибыль это ПРОФИТ (сленг)/ *прибыль была огромная от продажи ПРОФИТролей мумитролям| profitable[прафэтэбэл][профитэбл]прибыльный/-able прил// unprofitable[эн'прафитэбэл][Ан'профитэбл]убыточный/un=не прибыльный// nonprofit[нан'прафэт][нон'профит]некоммерческая-организация,некоммерческий =без-профита
prolong[прэ'лоН][прэу'лоН]|продлить|ПРОЛОНГация это *продлить срок вклада|long~лоН длинный//prolongation[прэулоН'геишэн]продление/-tion сущ
propeller[прэ'пелэР]|гребной-винт,пропеллер|%| propel[прэ'пел]продвигать,двигать,толкать/ПРОПЕЛлер *двигает и *толкает аэроплан
protect[прэ'тект]|защищать|~ПРОТЕКТор *защищает колесо от заноса/ПРОТЕКЦИя *ограждает от проблем|protection[прэ'текшэн]защита =протекция//protective[прэ'тектив]защитный/-ive прил
provider[прэ'ваидэр][прэ'ваидэ]|поставщик|+инета это ПРОВАЙДЕР| provide[прэ'ваид]предоставлять,обеспечивать,снабжать/ПРОВАЙДер *снабжает и *обеспечивает интернетом и *предоставляет инфу куда ты ходил куда надо// provision[прэ'вижэн]обеспечение/~ПРОВИЗИЯ//provided[прэ'ваидид]предоставил,при-условии
publish[пэблиш][пАблиш]|издавать,публиковать|ш=к %|publishing-house~публишинхаус издательство// publisher[пэблишэр][пАблишэ]издатель,издательство =публицист// publicize[пэбли,саиз][пАблисаиз]оповещать,рекламировать ПУБЛИке С бубликом
pump[пэмп][пАмп]|насос,нагнетать|ПОМПа *качает как *насос/ПАМПерс *выкачивает жидкость|
purple[пэРпэл][пэ:пл]|фиолетовый,пурпурный|л=р %/группе дип-ПЕРПЛ глубоко(deep~дип) *фиолетово на всех/*ПУРПУрный почти *фиолетовой|
puzzle[пэзэл][пАзл]|озадачить,головоломка|+ПАЗЛ *озадачила и ПОЗЛила злюку| puzzlement[пэзэлмэнт][пАзлмэнт]замешательство/-ment сущ
#
quarry[кВори]|карьер|+р *КАРЬЕр %%/в *каменоломне сизиф избавился от ХВОРИ |
quarter[кВоРтэР]|четверть|~КВАРТАл года это *четвеРть года/по КВОТЕ переселение на марс составляет *четверть миллиарда лунатиков, марс наш!|
quest[кВест]|квест,поиск|в *КВЕСТе *разыскивать *поиск ключа от двери| question[кВесчэн][кВешэн]вопрос,подвергать-сомнению/*вопрос в КВЕСТе поЧЕМу? -по кочану да по капусте! тогда ещё *вопрос, КВАШЕНная ли капуста растёт в огороде?/КВЕСт оЧЕНь часто *расспрашивает где деньги, зин?//questionable[кВесчэнэбэл][кВесчэнэбл]сомнительный =вопросительный//questionnaire[кВесчэ'нер][кВестиэ'неэ]анкета,вопросник %
#
race[реис]|гонка/2,раса|%/*гоняться за РЕЙСовым автобусом, нас не догонят../в *погоне участвуют негры разных РАС и РАСИсты/три РЕЙСовых самолета устроили *гонки, никто не выжил| racial[реишэл]расовый/-al прил
radiation[реиди'еишэн]|излучение,радиация|т=ш=ц %| radiate[реиди,еит][реидиэт][реидиит] *излучает РАДИАТор тепло
raid[реид]|набег,рейд|%/РЕЙДерский захват это *налёт/*набег это *РЕЙД омона по конторам рога и копыта|ride~райд поездка езда-верхом подавлять терроризировать
rail[реил]|рельс,перила|+с *РЕЛьсы %%| railway-station~реилвеистеишэн вокзал// railing[реилиН] *перила как *рельсы (peril угроза и опасность упасть с моста-лестницы)// derail[ди'реил]сойти-с-рельсов,сходить-с-рельс//railway[реил,Веи]железная-дорога =*рельсы+путь//railroad[реил,роуд][реилрэуд]железная-дорога =*рельсы+дорога
rainbow[реин,боу][реинбэу]|радуга|=дождь + дуга|
random[рЭндэм]|случайный,выбранный-наугад|~РАНДОМный (сленг)| randomized[рЭндэ,маизд][рандомизед]случайный,перемешанный,рандомизированный %
rare[рер][реэ]|редкий|~РАРитет это *редкое и древнее|rear~рир задний тыл// rareness[рернис][реэнис]редкость/-ness сущ
receive[рэ'сив][ри'си:в]|получать,получить|+через РЕСИВер сигнал/агРИСИВные бандиты *получают пулю бесплатно и вне очереди|
receipt[ри'си:т]|квитанция|(п-глухая) *РЕЦЕПТ % *получение (receive~рисив получать) *чек/~РЕЦЕПТоры получают сигналы|recipient[рэ'сипиэнт][ри'сипиэнт]получатель РЕЦЕПта// recipe[ресэпи][ресипи]рецепт/+т %%
record[ри'коРд][реко:д]|записывать,запись|не рекорд!/мой *РЕКОРД *записали в книгу *РЕКОРДов гинеса, ура!/рекордер=записыватель плеер=игратель)|
recruit[ри'кру:т]|нанимать,набирать,вербовать|+крутых РЕКРУТов/*новобранец *призывник| recruitment[ри'кру:тмэнт]вербовка,набор-персонала =рекрутинг/-ment сущ
rectangle[ректЭНгэл][рек,тЭНгл]|прямоугольник|=прямой(di-rect) + угол(angle)| rectangular[рек'тЭНгьэлэр][рек'тЭНгьюлэ]прямоугольный (angular-угловой)
recursion[рекурсион]|рекурсия|%|recur[ри'кэР]повторяться,возвращаться при РЕКУРсии// recurrent[ри'кэрэнт][ри'кАрэнт]повторяющийся,возвратный ~рекурентный// recurrence[ри'кэрэнс][ри'кАрэнс]рецидив,повторение/-nce сущ
reduce[рэ'дус][ри'дус][ри'дью:с]|уменьшать,снижать|+обороты через ~РЕДУКтор/*сокращать – значит РЕДУцировать/тебе *уменьшили РАДиУС головы чтобы скафандр налез/РЕДкий ЮЗер *уменьшит яркость экрана ночью| reduction[рэ'дэкшэн][ри'дэкшэн][ри'дАкшэн]снижение,сокращение/-tion сущ
refer[рэ'фэр][ри'фэР]|ссылаться,сослаться,отослать|~РЕФЕРальная *ссылка *ссылается на пирамиду, беги оттуда/РЕФЕРат *отослали по факсу и с концами| reference[рефэрэнс][рефрэнс]ссылка,рекомендация/секретарь РЕФЕРЕнт *Ссылается что нельзя и дает тебе *справочную-информацию за взятку пока никто не видит
refine[рэ'фаин][ри'фаин]|усовершенствовать,очищать|+РАФИНированное масло/РАФИНад это *очищенный сахар от песка сахары|fine~файн утонченный изящный +повтор(re)// refinery[ри'фаинэри]нефтеперерабатывающий-очистительный-завод фанеры// refinement[рэ'фаинмэнт][ри'фаинмэнт]очищение,утонченность =само-совершенство/-ment сущ
reflect[ри'флект]|отражать-ся|е=и, ~РЕФЛЕКТор лампы *отражает свет/*размышляю о рефлексии|reflection[ри'флекшэн]отражение/-tion сущ
refrigerator[ри'фриджэр,еитэР]|холодильник|+большой это РЕФРИЖЕРАТОР/ре-повтор + фриз-замерзать антифриз)|fridge[фридж]холодильник/ре-ФРИДЖератор это *холодильник
relevant[релэвэнт][реливэнт]|соответствующий,уместный,актуальный|~РЕЛЕВАНТный| irrelevant[и'релэвэнт][и'реливэнт]не-имеющий-отношения,неуместный/ir=не// relevance[релэвэнс][реливэнс]актуальность/-nce сущ// irrelevance[и'релэвэнс][и'реливэнс]неуместность =нерелевантность/ir=не
remark[ри'маРк]|замечать,замечание|~РЕМАРКа *пометка/читатели стали *замечать, что РЕМАРКи пишут маркерами|remarkable[ри'маРкэбэл][ри'ма:кэбл]замечательный/-able прил/в пРИМечАнии К статьЕ БыЛо *замечено, что автор *замечательно наврал с три короба
renew[ри'ну][ри'нью:]|возобновлять|*обновление =пеРЕ + новый| renewal[ри'нуэл][ри'нью:эл]обновление/-al сущ?// renewable[ри'нуэбэл][ри'нью:эбл]возобновляемый/-able прил
renovation[ренэ'веишэн][ренэу'веишэн]|ремонт,обновление|~РЕНОВАЦИЯ/+tion сущ| renovate[ренэ,веит][ренэувеит]ремонтировать,обновлять при ~РЕНОВАЦии
rent[рент]|арендовать,сдавать,аренда|*аРЕНДная плата/за умеренную ~РЕНТу *арендовать/ ~рантье ~рентабельный| rent-out[рент-аут]сдавать-в-аренду/+снаружи// rental[рентэл][рентл]аренда/-al сущ?
repellent[ри'пелэнт]|отталкивающий|+комаров ~РЕПЕЛЕНТ (е=и)| repel[ри'пел]отталкивать,отражать/РИПЕЛент *отталкивает комаров (rebel-бунтовщик)
replication[реплэ'кеишэн][репли'кеишэн]|копирование,репликация|т=ш=ц %/-tion сущ| replicate[реплэ,кеит][репликеит]копировать,воспроизвести при РЕПЛИКАЦия клона овечки долли
reply[ри'плаи]|ответ,отвечать|+на ~РЕПЛИку рептилоида (е=и)|
report[ри'поРт]|доклад,отчёт|е=и, ~РЕПОРТёр *сообщает и *докладывает *отчет о событии/ РАПОРТовать что *отчет готов/после ~РЕПОРТажа генерал подал *РАПОРТ об отставке и застрелился/РЕПОРТёр пишет *отчет о расходах на взятки, пьянки и гулянки| reportedly[ри'портэдли][ри'по:тидли]как-сообщается,по-сообщениям/-ly нареч?
repress[ри'прес]|подавлять|е=и, ~РЕПРЕСии *подавляют несогласных|press~прес давить
