#Xing*2025 /3234(1700)родственных слов-В1/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова имеют родственные в русском, можно запомнить по ФА, но не всё и не всем)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abide [э'баид]|соблюдать,смириться,выносить|обиделся / abide эбайд абиде / не смог *вынести что на обиженных воду возят и АБИДЕлся|
disease [ди'зи:з]|болезнь|дезентерия / disease дизиз дисеасе / ДИЗЕнтирия это *болезнь от микробов, руки мыть надо!|
dish [диш]|блюдо|тарелка, миска / диск / ДАШа *решительно-швыряет(dash дэш) *тарелки(dish диш) в тебя подлеца / dish диш дисх / по буквам ДИСХ = диск это почти как *тарелка круглый (dishes дишез мытье-посуды) / ДОШирак и рак на *блюде|
dismiss [дис'мис]|отклонить,отбросить / 2,прогонять,посылать,увольнять|мис-промах / dismiss дисмис / *отпускать *распускать = дис-не + мис-промах|
 dismissal [дис'мисэл]|увольнение,отклонение|отправка, увольнение|
disorder [ди'сордэр][дис'о:дэ]|беспорядок|дис=не|
 disordered [ди'сордэрд][дис'о:дэд]|беспорядочный||
displace [дис'плеис]|вытеснять,смещать|не+место|
 displacement [дис'плеисмэнт]|перемещение,смещение||
divide [ди'ваид]|разделять,делить|девиденты / divide дивайд девиде / олигархи *делили ДИВИДЕнты газпрома - достояния народа, а народу шиш|
 division [ди'вижэн]|разделение,деление||
 subdivide [сэбдэ'ваид][сАбди'ваид]|подразделять||
 divisive [ди'ваисив]|вызывающий-разногласия,разделяющий||
divine [ди'ваин]|божественный|дивный диван / divine дивайн дивине / *божественный и ДИВНый диван|
 divinity [ди'винэти][ди'винити]|божественность||
divorce [ди'ворс][ди'во:с]|развод,разводиться|диверсант|
doll [дал][дол]|кукла|идол / doll дол / иДОЛ это *кукла / она ДОЛго играла в *куклы и доигралась.. / dull дал дул / *глупая *скучная кукла(doll дол) ДАЛа ваньке встаньке (обещание любить)|
donkey [даНки][доНки]|осел|все ослы подонки / ass эс асс / *ОСел (похоже частично) / *осел бежит ЭСтафету и виляет *задницей, все *ослы последние поДОНКИ(donkey донки)(as эз как)|
downtown [даун'таун]|центр-города|кишит даунами|
downturn [даун,тэрн][даунтэ:н]|спад|вниз+поворот|
drag [дрЭг]|тащить,волочить|драгу по дну / drag дрэг драг / *тащу *тяну ДРАГу по дну (штука такая типа грабли) / *тормоз *обуза *бремя|
 drag-on [дрЭг-он][дрЭгон]|тянуться,тянуться-долго||
dread [дред]|страх,бояться|дредноут дед-мертвый / dread дред дреад / судья ДРЭД из кино внушал преступникам *ужас и *страх (dead-мертвый) / ДРЕДноуты танки внушали *страх|
 dreadful [дредфэл][дредфул]|ужасный||
dream [дри:м]|мечтать,сон(видение)|дремать / dream дрим дреам / видел *мечту в *сновидении когда ДРЕМал|
 daydream [деи,дри:м]|мечтать,грезы||
drill [дрил]|сверло,сверлить|дрель / drill дрил / ДРЕЛь *сверлом *сверлит (swirl свёрл водоворот)(whirl Вёрл вихрь кружиться)|
 drills [дрилз]|сверла,тренировка,учение|=сверла|
drip [дрип]|капля,капать|дроп-капля дробь / drop дроп / ДРОБь это свинцовые *капли / ДРОП *довозит и *доставляет посылки (сленг)(drip капать падать каплями)|
 drop [драп][дроп]|уронить,капля / 2,падать,ронять|дробь драпать дроп / drop дроп / ДРОБь это свинцовые *капли / ДРОП *довозит и *доставляет посылки (сленг)(drip капать падать каплями)|
 drop-by [дроп-баи][дропбаи]|зайти,зайти(по-пути)||
 drop-in [дропин]|зайти,завезти,занести||
 drop-off [дроп-оф][дропоф]|высадиться,завезти,высадить||
 drop-out-of [дроп-аут-эв][дропаутов]|выпадать-из,бросить(учёбу)||
 dropout [дра,паут][дропаут]|выбывать,бросивший-учёбу-студент||
drought [драут]|засуха|драй-сухой / dry драй дри / ДРАИть палубу *насухо (drought драут засуха)|
drown [драун]|тонуть|вниз / drown драун дровн / *тонуть вниз(down ДАУН) / ДРОВа Не *тонут|
drug [дрэг][дрАг]|лекарство,наркотик|драгоценное / drug драг друг / ДРАГоценное *лекарство / когда вводили *препарат он ДРЫГался и умер|
 drug-dealer [дрАг'ди:лэ]|торговец-наркотиками,наркоторговец||
drum [дрэм][дрАм]|барабан,барабанить|драма|
 drummer [дрэмэр][дрАмэ]|барабанщик||
dry [драи]|сухой,сушить,засуха|драить досуха / dry драй дри / ДРАИть палубу *насухо (drought драут засуха)|
 dryness [драинэс]|сухость||
 drier [драиэр][драиэ]|суше,сушилка||
 dry-up [драи-эп][драиАп]|высохнуть,пересохнуть,иссякнуть||
duckling [дэклиН][дАклиН]|утенок,утёнок|макдак-утка|
dude [дуд][дью:д]|чувак|с дудочкой|
duke [дук][дью:к]|герцог|дюк нукем маст дай / duke дюк дуке / *герцог, ДЮК нюкем должен умереть! маст дай (сленг)|
 duchess [дэчэс][дАчис]|герцогиня||
 dukedom [дукдэм][дью:кдэм]|герцогство||
dull [дэл][дАл]|тупой,скучный,унылый|дол-кукла дала ваньке встаньке / dull дал дул / *глупая *скучная кукла(doll дол) ДАЛа ваньке встаньке (обещание любить)|
dump [дэмп][дАмп]|свалка,бросать(парня|девушку) / 2, сваливать, сбрасывать, свалка / дамп / damp дэмп дамп / при ДЕМПинге цен на *сырое *сырьё *подавленное *уныние и *застой (dump дамп свалка хлам мусор) / dump дамп думп / ДАМП это *свалка кода и данных / *груда-хлама *мусорная-куча / светские ДАМы Пошли на *свалку знакомиться с бомжами, но их съели крысы людоеды|
 dumpster [дэмпстэр][думпстер]|мусорный-контейнер||
dust [дэст][дАст]|пыль|дастала / dust даст дуст / *пыль ДАСТала! да это же ДУСТ - отрава! (duster-тряпка)|
 dusty [дэсти][дАсти]|пыльный||
duty [дути][дью:ти]|долг,обязанность,служба|дьюти-фри / ДЬЮТИ-фри - *обязанность(duty дьюти служебый дежурный) + *свободный(free фри) = магазин в межд.аэропорту / duty дьюти дути / в ДЬЮТИ-фри *обязаны давать чек и наДУТЬ тебя дурака на четыре кулака, за углом тоже самое дешевле в 4 раза!|
 dutiful [дутифэл][дью:тифул]|послушный,ответственный,обязательный||
eager [игэр][и:гэ]|жаждущий,сильно-желающий|игрок / ИГОРь *страстный ИГРок в карты (eager игэр) / eager игэр еагер / ИГОРь *страстный ИГРок (eagle игл орел из игил)|
 eagerness [игэрнэс][и:гэнис]|рвение||
early [эрли][э:ли]|рано,ранний|утерли нос / ОЛИ *рано нет на работе, она засоня (early ёли, ёрли) / early ёРли еарли / *рано мы утЁРЛИ им нос / *рано ОЛИвье есть из тазика, счас пробьёт полночь и нажрёмся как свиньи|
earn [эрн][э:н]|зарабатывать|эрнест / ЭРНест *заработал целое состояние на лохотронах (earn эрн, эн)|
 earnings [эрниНз][э:ниНз]|заработок||
earnest [эрнист][э:нист]|серьезный,серьёзный,ревностный|эрнест|
 in-earnest [ин'э:нист]|всерьез||
earring [ириН][иэ,риН]|серьга|ирина алешку / ИРИНа купила новые *сёрежки и позабыла алёшку (earring ириН)|
earth [эрС][э:С]|земля,Земля| с ОРбиты Сошла|
 earthly [эрСли][э:Сли]|земной||
earthquake [эрС,кВеик][э:СкВеик]|землетрясение|(=quake) / квака-игра типа дум|
ease [и:з]|простота,лёгкость,облегчать|изи-легко / ИЗЯ из ИЗраиля такой *лёгкий что ветром сдувает (easy изи)(ease ииз покой независимость)|
 uneasy [э'низи][Ан'и:зи]|непростой,тревожный||
 uneasiness [э'низинэс][Ан'и:зинис]|беспокойство,тревожность||
east [и:ст]|восток|исток / east иист еаст / ИСТок откуда восходит солнце это *вОСТок, а заход на западе (west Вест)|
 eastern [истэрн][и:стэн]|восточный||
 easter [истэр][и:стэ]|Пасха|истерика|
eat-out [ит-аут][и:таут]|поесть-вне-дома,есть-не-дома||
 eat-in [и:тин]|есть-в,есть-дома||
 eat-up [ит-эп][и:тАп]|съесть,съесть-полностью||
 edible [едэбэл][едибл]|съедобный|едимый|
eclipse [э'клипс][и'клипс]|затмение|и клипсы и уши / eclipse иклипс еклипсе / когда было *затмение у неё украли И КЛИПСы и уши / эллипс|
edge [едж]|край|аджика, рим-край|
 edged [еджд]|с-краями,окруженный,окантованный||
 edgy [еджи]|резкий,острый,раздражительный||
edit [едэт][едит]|редактировать,монтировать|эдита пиаф / ЭДИТ пиаф *редактирует таблицу пифагора (edit едит) / edit едит / (добавили р) *рЕДАкТировать *монтаж|
 edition [э'дишэн][и'дишэн]|версия,издание||
 editor [едэтэр][едитэр][едитэ]|редактор|иди ты|
 editorial [едэ'ториэл][еди'то:риэл]|редакционная-статья,редакционный||
educate [еджэ,кеит][еджью,кеит][едью:кеит]|воспитывать,обучать|ду=дж еду к кате|
 education [еджэ'кеишэн][еджью'кеишэн][едью:'кеишэн]|образование||
effort [ефэрт][ефэт]|усилие,старание|в лефортово / effort ефэРт еффорт / Этот ФОРТ боярд проходили с огромным *усилием с 10й *попытки|
 effortlessly [ефэртлэсли][ефэтлисли]|без-усилий,без-особых-усилий||
either [аиЗэр][иЗэр][аиЗэ]|или,либо / 2,любой-из-двух / 3,тоже(не)|гейзер либо с русалками либо с газировкой / either айЗэр ейЕХер / *и-тот-и-другой лАЗЕРных луча гиперболоида инженера гарина попали и всё сгорело!|
eject [и:'джект]|выбрасывать,выталкивать|инжектор|
 ejection [и:'джекшэн]|выброс,выталкивание||
elaborate [и'лЭбэр,еит][и'лЭбрэт][и'лЭбэрит]|разрабатывать,разработать,проработанный|лаборатория|
 elaboration [и,лЭбэр'еишэн][и,лЭбэ'реишэн]|разработка||
elbow [ел,боу][елбэу]|локоть|ел борщ|
elder [елдэр][елдэ]|старший|олд-старый|
 eldest [елдэст][елдист]|старший,самый-старший||
 elderly [елдэрли][елдэли]|пожилые,пожилой,престарелый||
eliminate [и'лимэ,неит][и'лиминеит]|устранять,ликвидировать|илюмината|
 elimination [и,лимэ'неишэн][и,лими'неишэн]|устранение||
elk [елк]|лось|под елкой жил / elk елк / *лось под ЕЛКой жил|
embassy [ембэси]|посольство|африки эмблема колбасы / embassy ембэси ембасси / в *посольстве голодающих африки висит ЭМБлема колбАСЫ|
emerge [и'мэрдж][и'мэ:дж]|появляться|морж-возникал-что-вода-теплая / emerge имёрж емерге / И МОРЖ *всплыл из проруби и начал *возникать что вода тёплая!|
 emergent [и'мэрджэнт][и'мэ:джэнт]|возникающий||
 emergence [и'мэрджэнс][и'мэ:джэнс]|появление||
 emergency [и'мэрджэнси][и'мэ:джэнси]|чрезвычайная-ситуация,чрезвычайное-положение||
employ [ем'плои][им'плои]|нанимать,использовать|нанимать-на-работу / ем плойки / employ имплой емплои / ЕМ ПЛОЙки и слойки, *найму помощника разжевывать!|
 employment [ем'плоимэнт][им'плоимэнт]|работа,использование||
 employer [ем'плоиэр][им'плоиэр][им'плоиэ]|работодатель||
 employee [ем'плоии][им'плоии][емплои'и:]|сотрудник,работник||
 employment [ем'плоимэнт][им'плоимэнт]|работа,занятость||
 unemployment [эним'плоимэнт][Аним'плоимэнт]|безработица||
empty [емпти][емти]|пустой,опустошать|ем птичку|
 emptiness [емптинэс][емтинэс][емптинис]|пустота||
enable [е'неибэл][и'неибэл][и'неибл]|давать-возможность|дизабл|
encourage [ен'кэридж][ин'кэрэдж][ин'кАридж]|поддерживать,поощрять|анкоридж / в АНКОРИДЖе *поощряли людей (encourage инкаридж *ободрять *способствовать *воодушевлять)|
 encouragement [ен'кэриджмэнт][ин'кАриджмэнт]|поощрение||
end-up [енд-эп][ендАп]|завершить,заканчивать-чем-либо||
endanger [ен'деинджэр][ин'деинджэ]|подвергать-опасности|дангер-опасность|
engaged [ен'геиджд][ин'геиджд]|помолвлен,помолвленный|леди гага / леди ГАГА *помолвленая и *занятая (engaged ингейджд)(gag гэг затычка кляп)(gage гейдж гарантия залог)|
 engagement [ен'геиджмэнт][ин'геиджмэнт]|обручение,помолвка / 2,занятие||
 engage-in [ен'геидж-ин][ин'геиджин]|заниматься|помолвкой|
engender [ен'джендэр][ин'джендэр][ин'джендэ]|зарождать,порождать|гендер|
enlighten [ен'лаитэн][ин'лаитн]|просветить|лайт-светлый|
 enlightenment [ен'лаитэнмэнт][ин'лаитнмэнт]|просветление||
enormous [и'нормэс][и'нормис][и'но:мэс]|громадный,огромный|ненормальный / enormous инормэс енормоус / нЕНОРМАльно большой это *огромный|
enrich [ен'рич][ин'рич]|обогащать|рич-богатый|
 enrichment [ен'ричмэнт][ин'ричмэнт]|обогащение||
ensure [ен'шур][ин'шур][ин'шуэ]|обеспечить,гарантировать|sure-увереный|
entail [ен'теил][ин'теил]|влечь-за-собой,подразумевать|tail-хвост|
enter [енэр][ентэр][ентэ]|входить,войти|ввод кнопка / enter ентэр ентер / корабль ЕНТЕРпрайз(смелое-предприятие) это *вход(ЕНТЕР) + цена(праис) / клавиша ENTER это *ввод на клаве и *вход в программу|
 entrance [ентрэнс]|вход,вход(место)|енот транспорт колеса / entrance ентрэнс / ЕНот оставил свой ТРАНСпорт у *входа в ракету, вернулся а колеса спи.. украли (exit-выход)|
 entry [ентри]|вход,вход(действие)||
enterprise [ентэр,праиз][ентэпраиз]|предприятие,предпринимательство|вход+цена|
 entrepreneur [антрэпрэ'нэр][антрэпрэ'нур][онтрэпрэ'нэ:]|предприниматель|энтрепренер|
 entrepreneurial [антрэпрэ'нэриэл][онтрэпрэ'нэ:риэл]|предприимчивый,предпринимательский||
 entrepreneurship [антрэпрэ'нэршип][онтрэпрэ'нэ:шип]|предпринимательство||
entitle [ен'таитэл][ин'таитэл][ин'таитл]|давать-право,давать-название / 2,давать-право(по-заслугам)|титл-заголовок|
envelope [енвэ,лоуп][енвэлэуп]|конверт|ЕНот с ВЕЛОсипеда УПал,  когда открыл конверт (с повесткой в армию)|
environment [ин'ваирэнмэнт][ин'ваиэрэнмэнт]|среда,окружение|вероника маврыкина|
 environmental [ин,ваирэн'ментэл][ин,ваиэрэн'ментл]|относящийся-к-окружающей-среде,экологическая||
envision [ен'вижэн][ин'вижэн]|представить,воображать|вижд-видение|
erase [и'реис][и'реиз]|стереть,стирать|резинкой|
 eraser [и'реисэр][и'реизэ]|ластик||
erosion [и'роужэн][и'рэужэн]|эрозия,размывание|эрозия|
 erode [и'роуд][и'рэуд]|разрушать,размывать,выветривать|природа|
error [ерэр][ерэ]|ошибка|терориста / error ерэР еррор / тЕРРОР это *заблуждение *оплошность *ошибка тЕРРОРиста|
 erroneous [эр'оуниэс]|ошибочный||
escape [и'скеип][ис'кеип]|побег,избежать,спастись|кнопка / escape искейп ескапе / ESC кнопка на клаве чтобы *убежать от любых проблем (выйти, отмена)|
 escapee [и,скеи'пи][ескапее]|беглец||
establishment [и'стЭблишмэнт][ис'тЭблишмэнт]|учреждение|эстеблишмент|
 establish [и'стЭблиш][ис'тЭблиш]|учреждать,установить,учредить||
 reestablish [рии'стЭблиш][ри:ис'тЭблиш]|восстановить||
evaluate [и'вЭлью,еит]|оценивать,дать-оценку|валуе-ценность|
 evaluation [и,вЭлью'еишэн]|оценка||
 evaluative [и'вЭльюэтив]|оценочный||
evaporate [и'вЭпэр,еит]|испаряться|%%|
 evaporation [и,вЭпэр'еишэн][и,вЭпэ'реишэн]|испарение||
eve [и:в]|канун|ева / ЕВА с адамом в *канун(eve ив преддверие вечер) рождества *всегда(ever евэ) едят запретные яблоки в раю|
even [ивин][и:вэн]|даже,ровный|даже / ИВАН сусанин *даже дороги не знал, завёл нас хз куда / ИВАН царевич *даже на сером волке ездил, во даёт (even ивэн)|
 uneven [э'нивэн][Ан'и:вэн]|неровный||
event [и'вент]|событие|ивент в игре / invent инвэнт инвент / *изобретать ИНВЕНТарь садовый / при ИНВЕНТаризации кладовщик *выдумал что всё уже украли до вас (event ивент событие)|
 eventful [и'вентфэл][и'вентфул]|насыщенный-событиями,богатый-событиями||
 eventual [э'венчуэл][и'венчуэл]|конечный,возможный||
 eventually [и'веншэли][и'венчэВэли][и'венчэли]|в-конце-концов,в-итоге||
ever [евэр][евэ]|всегда,когда-либо|всегда дверь закрывай,  невер-никогда / ЕВА с адамом в *канун(eve ив преддверие вечер) рождества *всегда(ever евэ) едят запретные яблоки в раю / на ЭВЕРест *всегда(ever евэР) *каждый(every эври) хочет залезть и показать всем внизу *средний(average эверидж) палец / ever евэр евер / *всегда дВЕРь закрывай за собой (never невэр никогда) / never невэр / НЕВЕРь *никогда никому (ever евэр вcегда)|
evil [ивэл][и:вл]|злой,зло|дьявол ивлева / ИВЛева делает *зло *вред *убыток *ущерб *беду *бедствие *катастрофу *несчастье (evil иивл) / evil ивэл евил / *злой дьЯВОЛ творит *зло|
examine [иг'зЭмин]|исследовать,осмотреть,изучить|это не экзамен / examine игзэмин ексамине / ЭКЗАМЕН *обследует уровень ваших знаний (а экзамен это экзаменейшен)|
 examination [иг,зЭмэ'неишэн][иг,зЭми'неишэн]|обследование,осмотр,изучение|и это тоже не экзамен|
example [иг'зЭмпэл][иг'за:мпл]|пример|экземпляр / example игзампл ексампле / на ЭКЗАМене *Примеры решаЛ / ЭКЗЕМПЛяр *образца САМ ПОЛомал кривыми руками (синоним sample сампл)|
 for-example [фо:риг'за:мпл]|например|=для примера|
excel [ик'сел]|превосходить,преуспеть|в екселе|
 excellent [ексэлэнт]|отличный,превосходный|таблица для лентяев / excellent екселент / ЕКСЕЛ *превосходная электронная таблица для ЛЕНТяев|
 excellence [ексэлэнс]|превосходство||
exchange [икс'чеиндж]|обмен|чейндж-менять|
 interchange [инэр'чеиндж][интэр'чеиндж][интэ:'чеиндж]|обмен,взаимообмен||
excite [ик'саит]|волновать,возбуждать|их сайт / excite иксайт / ИХ САЙТ *возбуждает и *побуждает его хакнуть|
 excitement [ик'саитмэнт]|возбуждение,волнение||
excuse [ик'скьюс][ик'скьюз][икс'кью:с]|извинение,повод,оправдание,извинить|икскьюз ми / excuse икскьюз екскусе / принес УКСУС вместо воды и *извинился, но все уже отравились.. (sorry сори сожалеть)|
 excusable [ик'скьюзэбэл][икс'кью:зэбл]|простительный||
 inexcusable [иник'скьюзэбэл][иникс'кью:зэбл]|непростительный||
execution [ексэк'ьюшэн][екси'кью:шэн]|исполнение,выполнение / 2,казнь|экзекуция, exe-файлы|
 execute [ексэк,ьют][ексикью:т]|выполнять,исполнить / 2,казнить|execute ексэкьют ексекуте / ЭКЗЕКУТор *исполняет приговор на ЭКЗИКУЦии и *казнит|
 executive [иг'зекьэтив][иг'зекьютив]|исполнительный,исполнитель,должностное-лицо||
 executioner [ексэк'ьюшэнэр][екси'кью:шнэ]|палач||
exhale [екс'хеил]|выдохнуть,выдыхать|инхейл-вдыхать ингалятор|
 exhalation [ексхэ'леишэн]|выдох,выдыхание||
exist [иг'зист]|существовать|их заставили|
 existence [ег'зистэнс][иг'зистэнс]|существование||
 existent [ег'зистэнт][иг'зистэнт]|существующий||
 nonexistent [нанэг'зистэнт]|несуществующий||
 coexist [коуэг'зист][кэуиг'зист]|сосуществовать||
exit [егзит][ексэт][ексит]|Выход,выход,выходить|кнопка / ЭКЗИТпол - *выход(exit екзит) + *опрос(poll поул) на выборах / entrance ентрэнс / ЕНот оставил свой ТРАНСпорт у *входа в ракету, вернулся а колеса спи.. украли (exit-выход) / exit екзэт ексит / на *выходе из класса стоит ЭКЗамЕнаТор с автоматом, кто не сдал тест - сразу расстреливают! / exit-poll ЭКЗИТпол это *выход-опрос|
expensive [ик'спенсив][икс'пенсив]|дорогой|экспансия|
 expense [ик'спенс][икс'пенс]|расходы|на экспансию / expense икспенс експенсе / ЭКСПАНСия требует *издержек *расходов и *трат (икспенсив-дорого)|
 expend [ик'спенд][икс'пенд]|тратить,расходовать||
experience [ик'спириэнс][икс'пиэриэнс]|опыт|эксперимент / experience икспириэнс екпериенце / ставлю ЭКСПЕРИмЕНты - набираюсь *опыта|
 experienced [ик'спириэнст][икс'пиэриэнст]|опытный||
expertise [експэр'тиз][експэ:'ти:з]|экспертиза,опыт,компетенция|экспертиза|
expire [ик'спаир][икс'паиэ]|истекает,истекать|испарился|
 expiration [експэр'еишэн][експаиэ'реишэн]|истечение-срока-действия,истечение||
explain [икс'плеин]|объяснять|план побега из плена / explain иксплейн експлаин / мистер фИКС *объяснял свой ПЛАН, у него всегда есть план! (мульт)|
 explanation [експлэ'неишэн]|объяснение||
explore [икс'плор][икс'пло:]|исследовать,изучать|чтобы эксплуатировать / explore иксплор експлоре / *исследовать недра чтобы ЭКСПЛУатиРовать (explorer иксплорэр исследователь, браузер - интернет експловер от микрософт чтобы интернет *исследовать)|
 exploration [експлэр'еишэн][експло:'реишэн]|разведка,исследование||
 exploratory [икс'плорэ,тори][екс'пло:рэтэри]|исследовательский||
 explorer [икс'плорэр][икс'пло:рэ]|исследователь|интернет експловер / explore иксплор експлоре / *исследовать недра чтобы ЭКСПЛУатиРовать (explorer иксплорэр исследователь, браузер - интернет експловер от микрософт чтобы интернет *исследовать)|
 unexplored [эникс'плорд][Аникс'пло:д]|неизведанный||
exterior [ик'стириэр][екс'тиэриэ]|экстерьер,внешний,внешняя-сторона|эктерьер, интерьер-внутри|
 external [ик'стэрнэл][екс'тэ:нл]|внешний||
extra [екстрэ]|дополнительный|экстра это не супер|
extract [ек,стрЭкт][ик'стрЭкт]|извлекать|экстракт / extract икстрэкт екстракт / *ЭКСТРАКТ *выдержка *вытяжка *выжимать сок|
 extraction [ек'стрЭкшэн][икс'трЭкшэн]|добыча,извлечение||
extreme [ек'стрим][икс'три:м]|крайний|экстримальный / extreme икстрим / от слова ЭКСТРИМальный - *крайний случай (extremely икстримли *чрезвычайно)|
 extremity [ек'стремэти][икс'тремити]|конечность,крайность||
eyebrow [аи,брау]|бровь|глаз+бров %|
 brow [брау]|бровь|brow брау бров / *БРОВь коричневая(brown браун)(похоже по буквам) но звучит БРАУ|
eyelid [аи,лид]|веко|глаз+крышка, лидер тебе крышка|
fable [феибэл][феибл]|басня|фабула / fable фейбэл фабле / ФАБУЛа в *басне это когда ворона открыла рот и сыр выпал, погугли|
 fabulous [фЭбьэлэс][фЭбьюлэс]|поразительнй,невероятный,легендарный|басня о вороне и сыре|
fabric [фЭбрик]|ткань,материал|на фабрике / fabric фэбрик фабрик / *материалы и *ткань делают на ФАБРИКе (а фабрика это factory мануфактура)|
facial [феишэл]|уход-за-лицом,лицевой|фейс-лицо|
faculty [фЭкэлти]|факультет,дар,способность|факультет выявляет / faculty фэкэлти факулти / наш ФАКУЛЬТЕт выявляет у гениев *способности|
fail [феил]|неудача,потерпеть-неудачу|фол-падать / fail феил фаил / *провал (fall фол падать осень выпадение-волос) / *не-удалось скачать секретные ФАЙЛы (foul фаул грязный отвратительный *провал)|
 failure [феильэр][феильэ]|отказ,неудача,провал||
fair [фер][феэ]|светлый / 2,справедливый,честный|фермер и фея / fair фер, феа фаир / *светлые ФАРЫ ФЕРари светят далеко(far) / *ярмарка ФЕРмеров и ФЕЙ *справедливая и *честная (fare фер, феэ плата-за-проезд)(fear фир, фиэ страх)(хеа из феа светлые волосы)|
 fairness [фернэс][феэнис]|справедливость||
 unfair [он'фер][эн'фер][Ан'феэ]|несправедливый||
 fairly [ферли][феэли]|весьма,довольно,вполне||
fairy [фери][феэри]|сказочный,фея|% фэри для посуды / ФЕЭРИ - *волшебный (fairy феэри фея волшебница сказочный) / fairy феэри файри / ФЕРИ это *волшебное средство для посуды / *ФЕЯ *волшебница *сказочный|
fall [фо:л]|осень(US) / 2,падать,впадать|отэм / autumn отэм аутумн / ранО ТЕМнеет *осенью, а летом сумерки(summer сэмэр) короткие (fall осень падают листья) / fail феил фаил / *провал (fall фол падать осень выпадение-волос) / *не-удалось скачать секретные ФАЙЛы (foul фаул грязный отвратительный *провал) / fall фол фалл / ФОЛ в футболе это *падение / уФОЛог *упал, увидев нло у себя под кроватью / *впасть-в-состояние / *осенью *падают листья / full фул / *сытый был *полный дурак(fool ФУЛ) и низко пал(fall фол)|
 fall-apart [фал][фол-э'парт][фо:лэ'па:т]|развалиться|на части(парт)|
 come-apart [кАмэ'па:т]|развалиться||
 fall-asleep [фол-э'слип][фо:лэ'сли:п]|засыпать,уснуть|=впасть|
 fall-back-on [фол-бЭк-он][фо:лбЭкон]|отступать,опереться,прибегнуть|бэк-спина|
 fall-behind [фол-би'хаинд][фо:лби'хаинд]|отставать|позади|
 fall-for [фол-фор][фо:лфо:]|влюбиться-в,вестись / 2,влюбляться||
 fall-in-love-with [фол-ин-лэв-ВиЗ][фо:линлАвВиЗ]|влюбиться-в,влюбиться||
 fall-out [фол-аут][фо:лаут]|выпадать,ссориться|впасть+вне|
 fall-over [фол-оувэр][фо:л'эувэ]|упасть,перевернуться||
 knock-over [нок-'эувэ]|опрокинуть||
 fall-through [фол-Сфру][фо:лСфру:]|провалиться|через|
fame [феим]|известность,слава|фамусов / fame феим фаме / ФАМусов *знаменитость (famous феимэс *знаменитый)|
 famous [феимэс]|известный,знаменитый|ФАМУСов *известный тип со школы из горе от ума (famous феймэс) / fame феим фаме / ФАМусов *знаменитость (famous феимэс *знаменитый) / famous феймэс фамоус / ФАМУСов *известный тип из горе от ума|
 defamation [дефэ'меишэн]|клевета,поношение||
familiar [фэ'мильэр][фэ'милиэ]|привычный,знакомый|фамилия снимай парик / familiar фамильэр фамилиар / *знакомая у тебя ФАМИЛИЯ и Рожа, снимай парик я тебя узнал / ФАМИЛЬЯРность с *хорошо-известным знакомым|
 familiarity [фэ,мил'йерэти][фэ,мили'Эрити]|знакомство||
 unfamiliar [энфэ'мильэр][Анфэ'милиэ]|незнакомый||
 familiarize [фэ'мильэр,аиз][фэ'милиэраиз]|ознакомить,ознакомиться||
fan [фЭн]|вентилятор|фен / fan фэн фан / ФЕН с *вентилятором (fun фан веселье забава фанатов) / fun фан фун / *веселье в ФАН-клубе у ФАНатов (fan фэн вентилятор фен)|
fancy [фЭнси]|изысканный,необычный,причудливый,модный|представлять, полагать / муз, гр / ФЭНСИ - *причуда (fancy фэнси фантазия воображение каприз пристрастие причудливый фантастический разукрашенный воображать предполагать нравиться)|
faraway [фарэ'Веи][фа:рэ,Веи]|далеко,далёкий|далеко+путь|
fare [фер][феэ]|стоимость-проезда,плата-за-проезд|hare-заяц безбилетник / fair фер, феа фаир / *светлые ФАРЫ ФЕРари светят далеко(far) / *ярмарка ФЕРмеров и ФЕЙ *справедливая и *честная (fare фер, феэ плата-за-проезд)(fear фир, фиэ страх)(хеа из феа светлые волосы) / fare фер, феэ фаре / *плата-за-проезд, а заяц(hare хер, хеэ) с наглой харей едет без билета! / hare хер, хеэ харе / *заяц безбилетник - ХАРЯ наглая (fare феэ плата за проезд)|
 farewell [фер'Вел][феэ'Вел]|прощальный,прощание|плата+хорошо|
fashion [фЭшэн]|мода,мода / 2,стиль,образ,манер|фасон /  / fashion фэшэн фашион / (замена ш-с) *ФАСОН *стиль / ФЕШЕНебельная *мода у фашистов / mode моуд моде / *МОДА *метод *способ *средство *образ *конструкция *очертание *форма *обычай *привычка *режим (fashion фэншн фасон мода)|
 fashionable [фЭшэнэбэл][фЭшнэбэл][фЭшнэбл]|модный|фешенебельный|
 unfashionable [эн'фЭшэнэбэл][Ан'фЭшнэбл]|немодный||
 old-fashioned [оулд-фЭшэнд][эулд-'фЭшэнд]|старомодный||
fasten [фЭсэн][фа:сн]|закрепить|быстро / fasten фасэн фастен / при ФАСОвке *закрепить *застегивать быстро(fast)|
 unfasten [Ан'фа:сн]|отстегнуть,открепить||
