g_fa=`
## 600 базовых английских слов по ассоциациям (мнемотехника)
#
# Xing*2025/ Это минимальный словарный запас. (уровень примерно A1) Слова отсюда britlex.ru и др + амер.тр + гугл перевод + лучшие ФА из всех источников и мои
# Сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# Есть словоформы: сущ.(-tion -sion -ty -nce -ment -ness-состояние -ship-корабль -ing-процесс-глагола -er(-or)-исполнитель, тот кто это делает)/ гл. (-fy -en)/ нареч. (-ly)/ прил. (-y -ous -full-полный-чего-то -able-способный -ed-уже-сделанный )/нет(im- in- ir- un- dis- -less-без-этого)
#
# 612 базовых английских слов которые можно запомнить по ассоциациям, они имеют родственные рус слова и произошли от английских или общих латинских, частично похожи по написанию или звучанию, обозначают другое, но на ту же тему и логически связаны! Если воображение плохое, то ищите или рисуйте картинки в Chat GPT. Авторских прав нет, если кто что возьмёт отсюда, то пишите ссылку на этот сайт. Иногда есть повторы. Учить лучше через АнкиДроид + гугл переводчик для озвучки, ФА в переводе на англ это как контекст. В карточках tem-mem старый формат, там ФА из общей кучи, а здесь и в 3700 новые получше. 
# Как учить: Включаем всё актёрское мастерство, представляем сцену где ты главный герой, ногами руками и всем чем можно изображаем это действие, издаём звуки ааа, брр, ох, ой итд, по возможности ярко представить цвета, запахи, тепло-холодно, кисло-сладко, мурашки по коже, смешно-грустно-страшно (Для убедительности можно побегать, попрыгать, полаять, съесть перчик, чеснок, обморозить/обжечь пальчик итд) Прочитать вслух звучание, написание, перевод и ассоциацию, на каждое слово надо примерно 20-60 сек. Сыграть сценку как в театре, чем реалистичней тем лучше запомнится. Если просто сидеть и читать, то ничего не запомнится! Надо всё время двигаться - час учить, 10 мин отдых и снова, и ещё по 20+ мин тренировать воображалку и 7 каналов памяти. Это очень важно для этого способа! 
# В интернете мало качественных ассоциаций. Создать смешную и запоминающуюся историю не так просто как кажется. Нужен талант писателя лингвиста юмориста! Обычная быстро забудется и смешается с остальными обычными. Все кто пишет что ассоциации не помогают, лишняя лабуда и вредно, это как раз про обычные типа *вершина ТОПоля, а необычные оставляют яркий след как анекдот, комедия, триллер или ужастик. После пары часов изучения этим методом, у вас должен быть усталый и счасливый вид, как будто вы провели весь день в парке развлечений и на всём с визгами покатались, потом пошли в зоопарк и всё везде посмотрели, удивились и ахнули, и наконец сами поучаствовали в кровавом боевике, падали в пропасть, переходили брод с крокодилами и за вами гнались зомби и чуть не съели! (и можно это потом рассказать другим, похвастаться и чтобы они тоже посмеялись)
# Также есть ~1000 похожих слов типа банк, музей, балкон, они по написанию копия, но звучат немного по другому, если по правилам, то учить проще, но если исключения то просто запомнить! Ещё ~2000 это словоформы образованные предлогами, суффиксами и окончаниями, они означают примерно тоже, но есть исключения - их учим отдельно, на них ФА к одному главному слову, к остальным необязательно, ещё ~1000 слов выучить через ФА сложно, но можно если потренироваться, ещё к ~1000 слов ФА есть, но запомнить такое нереально, там нескладно и звуки на много слов, ещё к ~1500 слов ФА придумать нельзя, нет похожих слов, их учите по карточкам как обычно или нужна мега ФА, ~800 слов известны со школы почти всем, ФА к ним есть, но лучше вспомнить(учить) через патерны и примеры. С картинками есть приложение для андроид (английский по ассоциациям) и две книги Матюгин и Гарибян, но ФА там похуже, часть ненужные редкие слова, устарело и 18+, есть ещё пара книг без картинок, но там ФА так себе, есть лучше и бесплатно. Если созвучных похожих рус.слов много, то можно придумать свою ФА быстро, а если мало, то надо вспоминать слова и перебирать и устанете! Если их нет, то желание учить вообще пропадёт! А здесь халява, готовые, прикольные и смешные попадаются, но помогает увы не всем, так что пробуйте разные способы и выбирайте какой вам лучше подходит! Жаль картинок пока мало, с ними намного лучше запоминается, их надо всем вместе рисовать и обмениваться, потом бесплатную книгу или учебник сделать. Слова в основном стырили из английского (латинского) по написанию, по звучанию реже, а в русском в основном как пишеца так и читаеца, а в английском наоборот! читается по отдельным правилам, редко есть исключения. И для слова balcony~бэлкэни не надо сочинять про бал и кони и так видно что это балкон, а для топ есть топ-менеджер, а не вершина тополя
#
# %-похоже, %%-немного-похоже ŋ=Н θ=С ð=З w=В æ=Э ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! Ещё см. 3700 слов.
#
# формат: word [звучание] | перевод | ФА1 / ФА2 | похожие чем-то // ещё похожие
a [э] | артикль =некий | без артикля это глагол наречие или прилагательное |
thing [СиН] | вещь,предмет | наш СЫН не *вещь, а домашнее животное! / в СИНГапуре поют(sing~сиН) про тонкие(thin~Син) СИНие *вещи(thing~СиН) |
ring [риН] | кольцо | на РИНГе *звенят в *кольцо - это начало боя / на РИНге тайсон откусил ироду ухо(ear~ир) с *кольцом, чуть зубы не сломал | wring~риН выжимать мандаРИНки
toy [тои] | игрушка | +ТОЙ девочки / ТОЙ *игрушке лапу оторвали! и уронили мишку на пол, всё равно его не брошу потому что я хороший |
book [бук] | книга | БУКина светка читала *книгу БУКварь, но ничего там не поняла / фейсБУК - лицо(face~фейс) + *книга / ноутБУК - заметка(note~ноут запись отметить) + *книга / БУКварь первая *книга / БУКа *забронировал номер для мальчишника | book-shelf~букшелф книжная-полка = книга+полка % // textbook~текстбук учебник =текст + книга
notebook [ноут,бук] | блокнот,тетрадь | =заметка + книга / НОУТБУК похож на *блокнот с экраном | портативный комп, в питоне раздел заданий
page [пеидж] | страница | +в ПЕЙДЖере - теперь это смс в телефоне |
tale [теил] | сказка | +про хвост(tail~тейл) осла иа и винипуха / *повесть про риТЕЙЛ вызвала погромы в магазинах пятёрочка | tail~теил *хвост *очереди за хлебом в риТЕЙЛ
button [бэтэн][бАтн] | кнопка | потянув за *кнопки, БЭТмЭН расстегнул плащ и вытащил БАТоН |
door [доР] | дверь | за *дверью ДОРога / кориДОР = нести(carry~кэри перевозить) + *дверь / бэкДОР = задняя(back~бэк) + *дверь = для взлома / *дверной-проем *путь |
car [каР] | автомобиль,машина | КАРшеринг = *машина + делиться(share~шер,шеа) + инг(ing действие-глагола) / КАРета скорой помощи это *машина *вагон *автомобиль / ~электроКАР | carry~кэри перевозят // carriage~кэридж коляска тележка вагон
ship [шип] | корабль | +пиратов с ШИПом на носу для тарана (кино) | sheep~шиип овца ЩИПает травку
bus [бАс] | автобус | у=а, авто+БУС это автоматический самоходный *автобус / тролей+БУС это (trolley~троли тележка вагонетка) + *автобус | bus-stop[бэс-стап]автобусная-остановка
bike [баик] | мотоцикл,велосипед | БАЙКер в БИКИни гонял на *велике, извращенец! (а бейкер это булочник) | cycle~саикэл *велосипед // cycling~саикэлин велоспорт
pen [пен] | ручка | ПЕНал для *ручек / ПЕНой разгоняли в *загоне митинг коров и *ручкой записывали их имена | pencil~пенсэл карандаш
pencil [пенсэл][пенсл] | карандаш | в ПЕНСИЛьвании *карандашом *рисовал ваня / ПЕНС украЛ *карандаш на почте,лови его |
mirror [мирэР] | зеркало | МИРАж в *зеРкале это приведение / в МИРЕ кРивых *зеркал оля встретила яло а дальше было интересно.. |
news [нуз][нью:з] | новости | =новинки / *новости на канале евроНЬЮС смотрю закрыв глаза от ужаса |
map [мЭп] | карта | МАПпеты нашли *карту с кладом и купили театр |
bed [бед] | кровать | +БЕДная у БЕДняка / семь БЕД одна *кровать / оБЕД в *кровать неси! | bad~бэд плохо // bunk~бэНк койка в БУНКере
picture [пикчэР] | картина | коламбия ПИКЧЕРс снимает кино- *картины про колумба |
table [теибэл][теибл] | стол | ТАБЛО со счётом на *столе у судьи / фейсом об ТЕЙБЛ (из анекдотов) |
wall [Вол] | стена | земляной ВАЛ как *стена / за земляным ВАЛом - ров с крокодилами, высокая *стена с колючей проволкой и вышками с автоматчиками - обычный дом на рублевке | wall-units~волюнитс мебельная-стенка // wallpaper~ВолпейпэР обои =стена+бумага
window [Виндоу] | окно | ВИНДОУс это *окошки в удивительный мир компьютера / *окно от ветра(wind~Вайнд) / *витрина | window-sill *подоконник это *порог у *окна
box [бокс] | коробка | БОКС это отдел в магазине как *коробка / БОКСерский ринг как *коробка квадратная |
present [презэнт][при'зент] | подарок | +это *ПРЕЗЕНТ (сленг) / ПРЕЗЕНТация *подарков в *настоящее время это тоже *подарок | present-with~призентВиЗ дарить // gift~гифт *подарок
ball [бо:л] | мяч | футБОЛ это нога(foot~фут) и *мяч / в футБОЛе *мяч пинают |
screen [скри:н] | экран | СКРИНшот = *экран + снимок(shot~шот) / тачСКРИН это сенсорный *экран |
net [нет] | сеть | скайНЕТ = небо(sky~скай) + *сеть = интерНЕТ по небу через спутники / даркНЕТ - темный(dark~даРк) *интерНЕТ хакеров / интерНЕТ - ИНТЕРнациональная *сеть |
knife [наиф] | нож | волК *ножом зарезал свинью НАЙФ-нафа и съел | knave~нейв *вор *жулик *мошенник приставил тебе *нож к горлу
spoon [спу:н] | ложка | СПОНсор *ложки - вилка! / *ложка С ПУНктом отравления |
fork [фоРк] | вилка | +имеет четыре(ФОР) зуба / ФОКус с *вилкой - всё что накалываете на неё - исчезает во рту / ФОРК биткоина это разделение на два вида, как *развилка |
cup [кАп] | чашка | КАПюшон это *чашка на голове от КАПель / КАПучино в *чашке, а какой запах.. | cupboard~кэбэрд шкаф-для-посуды // mug~маг кружка // cap~кэп КЕПка как *чашка
plate [плеит] | тарелка | +плоская как ПЛАТО, только круглая на ПЛИТЕ | dish~диш *тарелка
clock [клок] | часы | +КЛОКочут куку / попал КЛОК волос в *часы на башне и заело, а кто там лазил? |
coin [коин] | монета | битКОИН это немного-кусочек(bit~бит) + *монета |
device [ди'ваис] | прибор,устройство | ДЕВИСЬ какой *ДЕВАЙС (сленг) *устройство - смартфон, приставка, плеер итд |
#
food [фу:д] | еда | фастФУД это быстрая(fast~фаст) + *еда | feed~фид кормить
breakfast [брекфэст] | завтрак | +на переменке(break~брейк) быстро(fast~фаст) жуём |
lunch [лАнч] | обед | мини *обед это ЛАНЧ | launch~лонч запускать ЛОНЧер
dinner [динэР] | ужин,обед | +с ДИНОзавРом / камерДИНЕР в камеру тебе *обед принёс, жри че дают / *обед за ДИНАРы | dine~дайн обедать ужинать // supper~сэпэр ужин
supper [сэпэР] | поздний-ужин | +это СУПЕР *ужин на ночь | dinner~динэР обед ужин
bottle [ботэл][ботл] | бутылка | о=у % |
milk [милк] | молоко | и=о *МоЛоКо %% / батончик МИЛКи вей - *молочный(milky~милки) путь(way~Вей) =млечный |
meat [мит] | мясо | на МИТинге голодные орут *мяса! *мяса! и встречаются(meet~мит) с омон | meal~мил еда
sugar [шугэР] | сахар | г-х %% / СУГАР = *сахар |
cake [кеик] | пироженое,торт | +это большой КЕКС с кремом |
cheese [чииз] | сыр | +в ЧИЗбургере / скажи ЧИИЗ (улыбка на фото) | choose~чууз *выбирать *сыр из 100 сортов
fruit [фру:т] | фрукт | +к *ФРУкТ % |
bread [бред] | хлеб | бутерБРОД это масло(butter~батэР) + *хлеб |
tea [ти] | чай | +пиТЬ / ТИхо сижу пью *чай, входят двое, -ты за белых или за красных? снял штаны, а там соседка (анекдот) |
soup [су:п] | суп | ou=у % / *СУП *придает-силу и *живость / *густой-туман | soap~соуп мыло
pasta [пастэ][пЭстэ] | макароны | +с томатной ПАСТОй, дешево и сердито |
beer [биР][биэ] | пиво | БЕРи ящик *пива, *пиво без водки - деньги на ветер / БЕЕ гадость какая, потом заводятся *пивные червяки в голове, съедают мозг и из ушей вылетают мохнатые *пивные бабочки | bier~бир,биэ / выпил ящик *пива а потом *смерть *гроб *могила
apple [Эпэл][Эпл] | яблоко | АПЕЛьсин почти *яблоко, но тропическое / у фирмы ЭПЛ эмблема *яблоко |
lemon [лемэн] | лимон | е=и % / а melon это дыня - большой лимон |
cherry [чери] | вишня | ЧЕРЕшня это садовый сорт *вишни |
orange [ориндж] | апельсин | и=а *апельсин *ОРАНЖевый |
juice [джу:с] | сок | битлДЖУС приведение из кино это жук(beetle~битэл) + *сок (а сок это носок) |
#
world [ВёРлд] | мир | +захватили ВУРДаЛаки, спасайся пока тебя не съели! | worldwide~ВёРлдВайд всемирный // word~ВэРд слово
country [кАнтри] | страна | угадай *страну, где играют музыку КАНТРИ медведи на балалайках? |
kingdom [киНдэм] | королевство | =king-король + дом |
capital [кЭпэтэл][кЭпитл] | столица,капитал | *главный КАПИТАЛист в *столице делал КАПИТАЛЬный ремонт (плитку менял в 10 раз) |
city [сити] | город | сериал СЕТИ в *большом-городе / СИТИлинк = *большой-город + связывать(link~лиНк звено соединять сцеплять) / поСЕТИ этот *большой-город, там интересно / СЕТЬ дорог связывает *города | electricity~илектрисити / выбирает(elect~илект) *город(city~сити) *электричество вместо дров и свечек
place [плеис] | место | маркетПЛЕЙС = рынок(market~маРкит) + *место | palace~пэлэс дворец
school [ску:л] | школа | с-ш % / СКУЛят в *школе ученики что много задают, им это не пригодится! все мальчики хотят стать бандитами, а девочки выйти замуж за миллионеров |
lesson [лесэн][лесн] | урок | +слушать(listen~лисэн) / ЛИСЁНок слушает(listen~лисэн) *урок лисы в лесу, в одно ухо влетает, из другого вылетает, смотрит в книгу, а видит фигу |
hospital [ха,спитэл][хоспитл] | больница | х=г, ГОСПИТАЛь это *больница для раненых | hospitality~хоспитэлити гостеприимство
job [джоуб][джоб] | работа | стив ДЖОБс на *работе делал айфоны для богатеньких буратин / стив ДЖОБс *работал в поте лица, а бил гейтс бил баклуши | work~Вёрк *работа
market [маРкит] | рынок | и=е, МАРКЕТплейс = *рынок + место(place~плейс) / суперМАРКЕТ = супер *рынок |
street [стрит] | улица | СТРИТ-трейсеры по *улице гоняют / волк с уолл СТРИТ жил на *улице сезам / *улица пеСТРИТ педиками в стрингах (pedestrian~пидестриэн пешеход) |
road [роуд] | дорога | +на РОДину | abroad~эброд за-границу // railroad~реилроуд железная-дорога
town [таун] | городок | кейпТАУН = мыс(cape~кейп) + *городок / в *городе кейпТАУН есть даунТАУН - *центр-города кишит даунами |
shop [шоп] | магазин | в ШОПинг по *магазинам любят бегать ШОПоголики и алкоголики / *лавка *цех *мастерская *студия | shopping~шопиН поход-по-магазинам это *ШОПинг (сленг)
money [мАни] | деньги | МОНЕты это *деньги / портМОНЕ для *денег (кошелёк для кэш) / у бабы МАНИ за баней много(many~мэни) *денег, куры не клюют |
price [праис] | цена | ПРЕЙСкурант = *цена + текущая-запись(current~карент поток ток) / ПРАЙС лист с *ценами |
home [хоум] | дом | *дома *домашних ХОМяков подстригли на крипте (сленг) | house~хаус *дом
house [хаус][хауз] | дом | пентХАУС это *дом / ХАОС в *доме! -приходил слон? -в доме был ураган? -нет, приходил серёжка, поиграли мы немножко (мульт) | home~хоум домашний
castle [кЭсэл][ка:сл] | замок | +КОСТЛЯвого дракона из героев3 (т-немая) |
room [рум] | комната | фоРУМ проходит в большой *комнате / шоуРУМ - *пространство для шоу | utility-room~ютилэтирум / в *подсобном-помещении приЮТИЛИ ТИгра и РУМына, а он его съел
kitchen [кичин][китчэн] | кухня | КИТТЕН-котёнок на *кухне мявкает, есть хочет / на *кухне КИТ в ЧАНе варится, еда на 1000 чел |
bedroom [бе,друм] | спальня | =кровать + комната |
toilet [тоилит] | туалет | о=у % | restroom~реструм = отдых + комната
bathroom [бЭ,Сфрум] | ванная-комната | =ванна + комната (бассейн это большая ванна) |
word [ВёРд] | слово | кроссВОРД это *слова поперек скрещиваются крестом(cross~крос) | world~ВёРлд мир // ward~ВоРд / от ВОРов святая ВОДа *охранялась как зеница ока / *опека
letter [летэР] | буква,письмо | ЛИТЕРа в типографии это *буква | literal~литэрэл *буквально по *буквам ЛИТЕРАтуру читаю
message [месидж] | сообщение | МЕССЕНджер *отправляет *сообщения |
speech [спи:ч] | речь | +СПИКера(говорун) / СПИЧерайтер - *речи пишет |
song [соН] | песня | +из плеера СОНи, звук сказка | sing~сиН петь сингл
name [неим] | имя,назвать | НАИМенование товара это тоже *имя |
last-name [ластнейм] | фамилия | =последнее + имя (а фамилия это семья) |
nickname [ник,неим] | прозвище | +это НИК на форуме (сленг) |
question [кВешэн][кВесчэн] | вопрос | +в КВЕСТе поЧЕМу? по кочану да по капусте |
fun [фАн] | веселье | +в ФАН-клубе у ФАНатов | fan~фэн вентилятор фен
truth [тру:С] | правда | ТРУС боится сказать нам *правду что земля плоская! | true~тру истина
true [тру:] | верный,правильный,истинный | ТРУд это *правильный выбор тунеядцев / ТРУмэн - *истина + человек(man~мэн) = правдоруб / *истина и ТРУд всё переТРУт (в ТРУху) | truly~трули *действительно труляля троль? // truth~труС правда
joke [джоук] | шутка,шутить | диск ЖОКЕй *шутит, а ди-джей радость(joy~джой) приносит / ДЖОКЕр(=шутник) *шутит над бэтмэном / ДЖОКер *шутит - на картах это шут с бубенчиками / бедного ДЖО УКусил я за *шутку, она до сих болит.. |
language [лЭНгВидж] | язык-общения | ЛИНГВИст учит *язык *речь *стиль | tongue~тан / ТОНКИй и длинный *язык во рту
game [геим] | игра | ГЕЙМер в *игре ловит *дичь | gum~гам жевачка клеить
party [паРти] | вечеринка | ПАТИфон на *вечеринке / *вечеринка у ПАРТИи зелёных прошла на природе, сожгли школьные ПАРТЫ и школу |
king [киН] | король | КИНГ конг - *король обезьян в конго | kin~кин *родня *короля
queen [кВи:н] | королева | +играла в КВН / К ВИНу пристрастилась пьяная *королева | king~киН король кин-квин
god [гад] | бог | +был ГАД из болота(bog~бог) жил как поганка, а ему летать охота |
devil [девэл] | дьявол | е=я % | evil~ивэл зло
art [аРт] | искусство | бодиАРТ - тело(body~боди) + *искусство / АРТистизм это *искусство перевоплощения / АРТист(artist) это художник, а артист это актёр, а артифакт-искусственный |
hell [хел] | ад | ХЕЛоуин проходил в *притоне / ХЕЛуин в *аду провели черти на сковородке |
paradise [пЭрэдаис] | рай,галерка | РАЙкин юморист и ПАРАДИСт / в *раю ванеса ПАРАДИС пела про джули такси для ангелов с *галерки |
way [Веи] | путь,способ | бродВЕЙ = просторный(broad~брод) + *путь / милки ВЕЙ = млечный *путь / трам+ВАЙ = трамвай(трам) + *путь / ВЕЙся *дорога через горы | weigh~Вей взвешивать весить // why~Вай почему // away~эВей *прочь уходи с моего *пути // railway~реилВей железная-дорога
light [лаит] | свет,лёгкий,светлый | ЛАЙТ версия значит *облегченная / лайтиН-молния |
force [фоРс] | сила | чтобы ФОРСировать реку нужны *силы / ФОРС мажор *принудил *силой мажоров попрощаться с красивой жизнью (и пойти копать окопы и таскать снаряды) | forth~форС / ФОРСировать = продвигаться *дальше *вперед // fierce~фиэрс *лютый свирепый начальник *заставил *силой
power [пауэР] | сила,власть | *мощность в ПАУЭР-банке заряжать телефон | powerful~пауэрфэл сильный
top [топ] | верх | ТОП-модель на *вершине славы выпала из окна / ТОП-менеджер *вершина пищевой цепочки офисного планктона / поТОП до *верхушки останкинской башни устроили два хоббита и говорящее дерево / *верхний *верх ТОПика / серенький *волчок ТОПтыгина укусил за бочок | tap~тэп кран постучать пробка
size [саиз] | размер | +СИЗО не вмещает всех алкоголиков и тунеядцев, поэтому кого куда, а федю на стройку к шурику на перевоспитание (надо федя, надо) | seize~сиз схватить и в СИЗо
half [хаф] | половина | +ХАФчика схавал (л-немая) / ХАЛВинг битка это *ополовинивание | halve~хав делить пополам // have~хэв иметь
speed [спид] | скорость | +показывает СПИДометр | speed-up~спидэп ускоряйся // at-top-speed[Эт-топ-спид]на-максимальной-скорости вТОПил по шоссе
luck [лАк] | удача | в ЛУКоморье, кот подарил тебе золотую цепь и русалку, какая *удача / в ЛУКойл все *счастливы когда цены поднимают и смотрят(look~лук) в оба | lucky~лаки удачник счастливчик имя в кино // lack~лэк недостаток
trouble [трэбэл][трАбл] | проблема,беда | ДРАПаЛ от *неприятностей и наступил на ГРАБЛи / *беспокойство *волнение *тревога *затруднение это ТРАБЛы (сленг) |
fortune [фоРчун][фо:чэн] | удача,случай | *деньги *счастье *удача это ФОРТУНА | fortunate~форчунэт удачная // fortunately~форчунэтли к-счастью
danger [деинджэР] | опасность | затонувший ТАНКЕР с мазутом *угроза морю / в ДАНии ГЕРакл(статуя держит крышу театра) очень *опасен - может уронить тебе на голову |
war [ВоР] | война | ВАРкрафт = *война + ремесло(craft~крафт) / *война ВАРваров | warrior~Вориэр воин
victory [виктэри] | победа | +в ВИКТОРИне, ура! (это ещё и клубника) |
peace [пис] | мир,покой | гринПИС = зеленый(green~грин) *мир / подПИСать договор о *мире (не война) | piece~пис часть / договор о *мире порвали на *куски и напали
holiday [хали,деи][холэди] | праздник | =святой + день / *праздник ХАЛИ вали отмечали пара трупов и злоДЕЙ, им было супер / в ХОЛОДИльнике мышь повесилась в *отпуске | holy~хоули священный-день
web [Веб] | сеть,паутина | ВЕБинар это *паутина для буратин / ВЕБ-приложение для интернета(всемирной *сети) |
mail [меил] | почта | это МЫЛо(сленг) | male~меил мужской самец
#
do [ду:] | делать | у=е *ДЕлать % / redo-переделывать, did-сделал, done-сделанный | deed~дид деед действие дело поступок
have [хЭв] | иметь | хавать хавчик = *иметь ХАВчик (have a dinner) | heavy~хеви тяжелый // half~хЭф половина // behave~бихеив вести-себя
go [гоу] | идти | ГОрилла *идёт, крокодила ведёт | ago~эгоу тому-назад
get [гет] | получать | ГЕТман *получил *получку и спрятал заначку / ты *достал наркоту в ГЕТто и забыл(forget~фоРгет) заплатить, тебя уже ищут.. | get-away~гетэВеи избежать =получить+прочь // get-up вставать подниматься
know [ноу] | знать | (k-немая) НАУка хочет всё *знать / НОУ-хау это *знать как сделать | now~нау сейчас
make [меик] | делать,изготавливать | реМЕЙК = повторно(ре) + *делать / сеМЕЙКа адамс на скаМЕЙКе напротив *производит странное впечатление на тебя |
can [кЭн] | может | фотопарат КЭНон *может делать отличные фото пушки(cannon~кЭнэн) / 2) *жестянка *банка для КОНсервы | could~куд мог // con~кон *вор *жулик *надул похитил КОНя
could [куд] | мог | КУДа он *мог исчезнуть? найду, ноги выдерну и спички вставлю | can~кэн мочь
would [Вуд] | бы | (=should) если *бы бабка знала ВУДу - была *бы дедкой / я *хотел-бы в голиВУД попасть по блату, размечтался! | wood~Вуд древесина
must [мАст] | должен | +МАСТер всё уметь / МАСТ-дай (сленг) - *должен умереть(die~дай) / МАСТер на все руки *должен сделать себе золотые руки / МАСТер *должен найти маргариту |
think [СиНк] | думать,мыслить | СФИНКс *думал о пирамидах рядом, а зачем они тут стоят? | sink~сиНк раковина тонуть / индюк много *думал и в супе *утонул // thought~Сот мысль // сиН -петь соН-песня, фид-кормить фуд-еда, сущ через О, глагол через И
like [лаик] | любить,нравиться,похожий | мне *нравится ЛАЙКать свои посты - себя не похвалишь, никто не похвалит / я наивный думал что ЛАЙКают если *нравится, а оказалось все накручивают! и глаза такие честные честные.. | love~лав // alike~элаик одинаковый подобно
see [си:] | видеть | они *видели СИнее море(sea) с русалками | look~лук смотреть
take [теик] | брать | +ТАЙКом деньги из карманов родичей / ТАКер *берёт интервью у карлсона на крыше / *взять горячий сТЕЙК руками, ай горячо! |
come [кАм] | приходить | *приходи КО Мне на сеновал, -она с кузнецом придёт! -не, нам кузнец не нужен |
work [ВёРк] | работа,работать | в ВОРКуте *работать слишком холодно, дубак страшный / фейерВЕРК - огонь(fire~файэР) + *работа / *работа не ВОлК - в лес не убежит / ВЕРКа сердючка *работает переодетым мужиком | worker~ВэРкэР рабочий // working~ВэРкиН рабочее-время // job~джоб *работа // walk~Вок *гулять на *работу
use [юз][ю:с] | использовать | ЮЗЕр(user) *ИСпользует комп и полезные(useful) проги ЮЗает |
look [лук] | смотреть | +как режут ЛУК и слезы текут / *гляжу в ЛУКойл цены на масло(ойл) растут и они счастливы(luck~лак) а мы нет(lack~лэк нужда) / целясь из ЛУКа ты *смотришь в бинокль в далекую даль, чувствуешь усталость, голод и холод, вес тяжелого ЛУКа, отпускаешь тетиву и четко *видишь как стрела попадает в лягушку царевну.. / *взгляд *мнение *точка-зрения *выражение-лица *вид *внешность | look-for~лукфоР искать // see~си видеть
want [Вонт] | хотеть | +ВОН Ту игрушку(toy~той) той девочки и девочку тоже / аВАНТюристы *хотят приключений на свою / *требую ВОН Тот дворец, а то заплачу | wanted~вантед разыскиваемый =хотимый
hope [хоуп] | надеяться | +разбогатеть в ХОПЕр инвест, а там надули / *надежда умирает последней у ХАПуги, он *надеялся вовремя смыться, а его поймали |
find [фаинд] | находить | +ФАИНу Для вечеринки у нана / в ФИНлянДии *обнаружили железное небо и немцев на луне (кино) / *встречать |
give [гив] | давать | ГИВи *дал тебе по башке гирей (ему твоя рожа не понравилась) / тебе *дали подарок(ГИФт), дают - бери, бьют - беги / красавица на базаре: ГИВи, *дай апельсинку за красивые глазки, -полай! |
tell [тел] | говорить,рассказывать | +по ТЕЛефону | say~сей сказать // talk~ток разговаривать на ток-шоу
call [кол] | звать,вызов | по ком *звонит КОЛокол? / КОЛ-центр для *вызовов и *звонков | caller гость
need [ни:д] | нуждаться | и=а *НАДо % / чё те *надо гНИДа? (из кино) / НИДерландам *нужно ландыши продать / *необходимость *нужда |
may [мей] | может,мочь,можно/2.май | *можно в *мае сходить на демонстрацию - ура покричать / товарищ МАЙор *разрешите обратиться? *можно машку за ляшку? |
wash [Вош] | мыть,стирать | +чтобы ВОШь в белье не завелась | washing~вошиН стирка в ВАШИНГтоне
feel [фи:л] | чувствовать | ФИЛософ *чувствует что пора на пароход / ФИЛантроп *чувствует что он труп / штирлиц шёл по лесу и вдруг *почувствовал на себе чей-то взгляд, ФИЛин - подумал штирлиц, сам ты ФИЛин- подумал мюллер | fill~фил наполнять
play [плеи] | играть | ПЛЕЙер *играет музыку / *пьеса про ПЛЕЙбоя |
try [траи] | пробовать,пытаться | ТРОЙная *попытка это угадай с трех раз! | try-on~трайан примерять // trial~трайэл испытания пробный // tree~три дерево
live [лаив][лив] | жить | (life~лайф жизнь / ~ЛАЙФхак ~гербаЛАЙФ) / в ЛИВИи под ливнем *жили *живые мертвецы но покинули(leave~лиив), хренова там кормят / *живу в ЛИВане, тут бомбят, пока *живой но надо делать-ноги(leave~лиив) пока не склеил ласты | alive~элаив живой
show [шоу] | показывать | ШОУмэн = *показывать + человек(man~мэн) / ШОУмен *показывает ШОУ и *спектакль *демонстрацию *показ *зрелище | shower~шауэр =показыватель(show+er) показал(show) в *душе такое, что лучше такое не видеть
ask [а:ск] | просить,спрашивать | +в АСЬКе АСю Клячину где её кляча |
help [хелп] | помощь,помогать | в аду(ХЕЛ) *Помогать чертям эдика кормить |
talk [то:к] | разговаривать | (л-немая) *ТОЛКовать о чем то / ТОК-шоу - *говорить и показывать(show~шоу) / в тик-ТОК клещ(tick~тик) *говорит что всех искусает / если американского шпиона ударить ТОКом, он *заговорит по русски / бесТОЛКовый *разговор был на ТОЛКучке у барыг и спекулянтов | talkative~токэтив разговорчивый болтливый // tell~тел сказать // say~сей говорить
move [мув] | двигаться | МУму *дВигалась на дно,ах / МУВики это картинки *двигаются | movie~муви фильм движуха // movement~мувмэнт движение // motion~моушэн движение
begin [би'гин] | начинать | (end-конец-блока, это паскаль) / БЕГИ На старт, *начинаются соревнования / БЕГОНия *начала цвести / БОГИНя *начала снимать БИКИНи.. | beginner[би'гинэр]новичок / -er исполнитель // beginning[би'гиниН]начало / -ing процесс
become [би'кАм] | становиться | +куБИКОМ в тесном автобусе / =быть + приходить / *станешь БЫКОМ если будешь ходить к тёлкам / благодаря БИлету на балет КАМенщик *стал балериной / шарик кошмарик *стал куБИКОМ рубиком |
build [билд] | строить | боди+БИЛДер это тело(body~бади,боди) + строитель(builder~БИЛД+ер) / боди+БИЛДинг = тело(body~бади,боди) + *строительство(building~билдиН здание) |
start [стаРт] | начинать | *начало беговой дорожки называется СТАРТ, а конец это финиш |
