g_fa=`# список самых важных 2801(8370) английских слов в порядке частоты, их знать обязательно! Перевод от гугл, тр не у всех, ФА смотрите в 3700 и для Anki
1. the [Зэ][Зэ][Зи] | (артикль)-этот
churched [??] | воцерковленный
churches [чэрчиз] | церкви
churching [??] | воцерковление
745. machine [мэ'шин] | машина
machined [мэ'шинд] | обработанный
machines [мэ'шинз] | машины
machining [мэ'шиниН] | обработка
746. achieve [э'чив] | достичь
achieved [э'чивд] | достигнуто
achieves [э'чивз] | достигает
achieving [э'чивиН] | достижение
747. item [аитэм] | предмет
items [аитэмз] | предметы
748. prove [прув] | доказать
proved [прувд] | доказано
proven [прувэн] | доказано
proves [прувз] | доказывает
proving [прувиН] | доказывая
749. cent [сент] | цент
cents [сенс][сентс] | центов
750. season [сизэн] | сезон
seasoned [сизэнд] | приправленный
seasoning [сизэниН] | приправа
seasonings [сизэниНз] | приправы
seasons [сизэнз] | сезоны
751. floor [флор] | этаж
floored [флорд] | напольный
flooring [флориН] | напольное-покрытие
floors [флорз] | полы
752. stuff [стэф] | вещи
stuffed [стэфт] | фаршированный
stuffing [стэфиН] | начинка
stuffs [стэфс] | вещи
753. wide [Ваид] | широкий
wider [Ваидэр] | шире
widest [Ваидэст] | самый-широкий
754. anyone [ени,Вэн][ениВэн] | кто-нибудь
755. method [меСэд] | метод
methods [меСэдз] | методы
756. analysis [э'нЭлэсэс][э'нЭлисис] | анализ
analyses [э'нЭлэ,сиз] | анализы
757. election [и'лекшэн] | выборы
elections [и'лекшэнз] | выборы
758. military [милэ,тери][мили,тери] | военный
militaries [милэ,териз] | военные
759. hotel [хоу'тел] | отель
hotels [хоу'телз] | отели
760. club [клэб] | клуб
clubbed [клэбд] | дубинкой
clubbing [клэбиН] | клубная-жизнь
clubs [клэбз] | клубы
761. below [би'лоу][би'лоу] | ниже
762. movie [муви] | фильм
movies [мувиз] | фильмы
763. doctor [дактэр][доктэр] | доктор
doctored [дактэрд] | подделано
doctoring [дактэриН] | врачевание
doctors [дактэрз] | врачи
764. discussion [ди'скэшэн] | обсуждение
discussions [ди'скэшэнз] | обсуждения
765. sorry [сари] | извините
sorrier [??] | жаль
sorriest [??] | самый-жалкий
766. challenge [чЭлэндж] | вызов
challenged [чЭлэнджд] | бросил-вызов
challenges [чЭлэнджиз] | проблемы
challenging [чЭлэнджиН] | испытывающий
767. nation [неишэн] | нация
nations [неишэнз] | нации
768. nearly [нирли] | почти
769. statement [стеитмэнт] | заявление
statements [стеитмэнтс] | заявления
770. link [лиНк] | ссылка
linked [лиНкт] | связанный
linking [лиНкиН] | связывание
links [лиНкс] | ссылки
771. despite [ди'спаит] | несмотря-на
772. introduce [интрэ'дус][интроу'дус] | представить
introduced [интрэ'дуст][интроу'дуст] | введен
introduces [интрэ'дусиз][интроу'дусиз] | представляет
introducing [интрэ'дусиН][интроу'дусиН] | введение
773. advantage [Эд'вЭнтидж] | преимущество
advantaged [Эд'вЭнтиджд] | привилегированный
advantages [Эд'вЭнтиджиз] | преимущества
774. ready [реди] | готов
readied [редид] | подготовленный
readier [редиэр] | готовее
readies [редиз] | готов
readiest [??] | самый-готовый
readying [редииН] | подготовка
775. marry [мери] | жениться
married [мерид] | женатый
marries [мериз] | женится
marrying [мерииН] | жениться
776. strike [страик] | забастовка
strikes [страикс] | забастовки
striking [страикиН] | поразительный
struck [стрэк] | ударил
777. mile [маил] | миля
miles [маиэлз][маилз] | мили
778. seek [сик] | искать
seeking [сикиН] | ищу
seeks [сикс] | ищет
sought [сот] | искал
779. ability [э'билэ,ти] | способность
abilities [э'билэ,тиз] | способности
780. unit [ьюнэт][ьюнит] | единица
units [ьюнэтс][ьюнитс] | единицы
781. card [кард] | карта
carded [кардид] | кардный
carding [??] | кардочесание
cards [кардз] | карты
782. hospital [ха,спитэл] | больница
hospitals [ха,спитэлз] | больницы
783. quickly [кВикли] | быстро
784. interview [интэрв,ью] | интервью
interviewed [интэрв,ьюд] | интервью
interviewing [интэрв,ьюиН] | интервьюирование
interviews [интэрв,ьюз] | интервью
785. agreement [э'гримэнт] | соглашение
agreements [э'гримэнтс] | соглашения
786. release [ри'лис] | выпуск
released [ри'лист] | выпущенный
releases [ри'лисиз] | релизы
releasing [ри'лисиН] | выпуская
787. tax [тЭкс] | налог
taxed [тЭкст] | облагаемый-налогом
taxes [тЭксэз][тЭксиз] | налоги
taxing [тЭксиН] | налогообложение
788. solution [сэ'лушэн] | решение
solutions [сэ'лушэнз] | решения
789. capital [кЭпэтэл][кЭпитэл] | капитал
capitals [кЭпэтэлз][кЭпитэлз] | столицы
790. popular [папйэлэр] | популярный
791. specific [спэ'сифик][спи'сифик] | конкретный
specifics [спи'сификс] | специфика
792. beautiful [бьютэфэл] | красивый
793. fear [фир] | страх
feared [фирд] | боялись
fearing [фириН] | боясь
fears [фирз] | страхи
794. aim [еим] | цель
aimed [еимд] | направленный
aiming [еимиН] | прицеливание
aims [еимз] | цели
795. television [телэ,вижэн] | телевидение
televisions [телэ,вижэнз] | телевизоры
796. serious [сириэс] | серьёзный
797. target [таргэт][тэргэт] | цель
targeted [таргэтид] | целевые
targeting [таргэтиН] | нацеливание
targets [таргэтс] | цели
798. degree [ди'гри] | степень
degrees [ди'гриз] | градусы
799. pull [пул] | тянуть
pulled [пулд] | вытащил
pulling [пулиН] | тянуть
pulls [пулз] | тянет
800. red [ред] | красный
redder [редэр] | краснее
reddest [редист] | самый-красный
reds [редз] | красные
801. husband [хэзбэнд] | муж
husbanded [??] | муженек
husbanding [??] | мужество
husbands [хэзбэндз] | мужья
802. access [Эк,сес] | доступ
accessed [Эк,сест] | доступ
accesses [??] | доступы
accessing [Эк,сесиН] | доступ
803. movement [мувмэнт] | движение
movements [мувмэнтс] | движения
804. treat [трит] | лечить
treated [тритид] | обработанный
treating [тритиН] | лечение
treats [тритс] | угощения
805. identify [аи'дентэ,фаи] | идентифицировать
identified [аи'дентэ,фаид] | идентифицированный
identifies [аи'дентэ,фаиз] | идентифицирует
identifying [аи'дентэ,фаииН] | идентифицирующий
806. loss [лос] | потеря
losses [лосэз][лосиз] | потери
807. shall [шЭл] | должен
808. modern [мадэрн] | современный
809. pressure [прешэр] | давление
pressured [прешэрд] | под-давлением
pressures [прешэрз] | давления
pressuring [прешэриН] | оказывая-давление
810. bus [бэс] | автобус
bused [бэст] | автобусный
buses [бэсиз] | автобусы
busing [бэсиН] | автобусинг
811. treatment [тритмэнт] | лечение
treatments [тритмэнтс] | лечения
812. yourself [йорселф][йэр'селф][ьюр'селф] | себя
yourselves [йорселвз][ьюр'селвз] | сами
813. supply [сэ'плаи] | поставка
supplied [сэ'плаид] | поставляется
supplies [сэ'плаиз] | запасы
supplying [сэ'плаииН] | поставка
814. village [вилэдж][вилидж] | деревня
villages [вилэджэз][вилиджиз] | деревни
815. worth [ВэрС] | стоит
816. natural [нЭчэрэл][нЭчрэл] | натуральный
naturals [??] | натуралы
817. express [икс'прес] | экспресс
expressed [икс'прест] | выраженный
expresses [икс'пресэз][икс'пресиз] | выражает
expressing [икс'пресиН] | выражающий
818. indicate [индэ,кеит] | указать
indicated [индэ,кеитэд][индэ,кеитид] | указано
indicates [инди,кеитс] | указывает
indicating [индэ,кеитиН] | указывающий
819. attend [э'тенд] | присутствовать
attended [э'тендид] | присутствовал
attending [э'тендиН] | посещающий
attends [э'тендз] | посещает
820. brother [брэЗэр] | брат
brothers [брэЗэрз] | братья
821. investment [ин'весмэнт][ин'вестмэнт] | инвестиции
investments [ин'весмэнтс][ин'вестмэнтс] | инвестиции
822. score [скор] | оценка
scored [скорд] | забил
scores [скорз] | оценки
scoring [скориН] | подсчет-очков
823. organize [оргэ,наиз] | организовать
organise [??] | организовать
organised [??] | организованный
organises [??] | организует
organising [??] | организация
organized [оргэ,наизд] | организованный
organizes [оргэ,наизиз] | организует
organizing [оргэ,наизиН] | организация
824. trip [трип] | поездка
tripped [трипт] | споткнулся
tripping [трипиН] | спотыкание
trips [трипс] | поездки
825. beyond [би'онд][би'анд][би'онд] | дальше
826. sleep [слип] | сон
sleeping [слипиН] | спящий
sleeps [слипс] | спит
slept [слепт] | спал
827. fish [фиш] | рыба
fished [фишт] | ловил-рыбу
fishes [фишэз][фишиз] | Рыбы
fishing [фишиН] | рыбалка
828. promise [прамэс] | обещание
promised [прамэст] | обещал
promises [прамэсэз] | обещания
promising [прамэсиН] | многообещающий
829. potential [пэ'теншэл] | потенциал
potentials [пэ'теншэлз] | потенциалы
830. energy [енэрджи] | энергия
energies [енэрджиз] | энергии
831. trouble [трэбэл] | неприятности
troubled [трэбэлд] | обеспокоенный
troubles [трэбэлз] | неприятности
troubling [трэбэлиН][трэблиН] | тревожный
832. relation [ри'леишэн] | отношение
relations [ри'леишэнз] | отношения
833. touch [тэч] | прикосновение
touched [тэчт] | тронут
touches [тэчэз][тэчиз] | прикосновения
touching [тэчиН] | трогательно
834. file [фаил] | файл
filed [фаилд] | подано
files [фаилз] | файлы
filing [фаилиН] | подача
filings [фаилиНз] | опилки
835. middle [мидэл] | средний
middled [??] | средний
middles [??] | средние
middling [мидэлиН][мидлиН] | средний
836. bar [бар] | бар
barred [бард] | запрещённый
barring [бариН] | запрет
bars [барз] | бары
837. suffer [сэфэр] | страдать
suffered [сэфэрд] | пострадал
suffering [сэфэриН][сэфриН] | страдания
sufferred [??] | пострадал
sufferring [??] | страдание
suffers [сэфэрз] | страдает
838. strategy [стрЭтэджи] | стратегия
strategies [стрЭтэджиз] | стратегии
839. deep [дип] | глубокий
deeper [дипэр] | Глубже
deepest [дипэст] | самый-глубокий
deeps [??] | глубины
840. except [ик'септ] | кроме
excepted [ик'септид] | исключено
excepting [ек'септиН] | за-исключением
excepts [??] | за-исключением
841. clean [клин] | чистый
cleaned [клинд] | очищенный
cleaning [клиниН] | уборка
cleans [клинз] | очищает
842. tend [тенд] | иметь-тенденцию
tended [тендид] | имел-тенденцию
tending [тендиН] | уход
tends [тендз] | имеет-тенденцию
843. advance [эд'вЭнс] | аванс
advanced [эд'вЭнст] | передовой
advances [эд'вЭнсэз][эд'вЭнсиз] | авансы
advancing [эд'вЭнсиН] | продвижение
844. fill [фил] | заполнить
filled [филд] | заполненный
filling [филиН] | заполнение
fillings [филиНз] | начинки
fills [филз] | заполняет
845. star [стар] | звезда
starred [стард] | отмеченный-звездой
starring [стариН] | в-главных-ролях
stars [старз] | звезды
846. network [нет,Вэрк] | сеть
networked [нет,Вэркт] | сетевой
networking [нет,ВэркиН] | нетворкинг
networks [нет,Вэркс] | сети
847. generally [дженэрэли][дженрэли] | в-целом
848. operation [апэр'еишэн] | операция
operations [апэр'еишэнз] | операции
849. match [мЭч] | матч
matched [мЭчт] | совпало
matches [мЭчэз][мЭчиз] | совпадения
matching [мЭчиН] | соответствие
850. avoid [э'воид] | избегать
avoided [э'воидид] | избегал
avoiding [э'воидиН] | избегая
avoids [э'воидз] | избегает
851. seat [сит] | сиденье
seated [ситид] | сидящий
seating [ситиН] | сидения
seats [ситс] | места
852. throw [Сфроу] | бросить
threw [Сфру] | бросил
throwing [СфроуиН] | метание
thrown [Сфроун] | брошенный
throws [Сфроуз] | бросает
853. task [тЭск] | задача
tasked [тЭскт] | поручено
tasking [тЭскиН] | постановка-задач
tasks [тЭскс] | задачи
854. normal [нормэл] | нормальный
normals [??] | нормали
855. goal [гоул] | цель
goals [гоулз] | цели
856. associate [э'соуси,еит][э'соусиэт][э'соуши,еит][э'соушиэт] | ассоциированный
associated [э'соуси,еитид][э'соуши,еитид] | связанный
associates [э'соуси,еитс][э'соусиэтс][э'соуши,еитс][э'соушиэтс] | партнеры
associating [э'соуси,еитиН] | ассоциирование
857. blue [блу] | синий
blued [блуд] | вороненый
bluer [блуэр] | более-синий
blues [блуз] | блюз
bluest [блуэст] | самый-синий
bluing [блуиН] | воронение
858. positive [пазэтив] | положительный
positives [пазэтивз] | позитивы
859. option [апшэн][опшэн] | вариант
options [апшэнз][опшэнз] | параметры
860. box [бакс] | коробка
boxed [бакст] | упакованный-в-коробку
boxes [баксэз][баксиз] | коробки
boxing [баксиН] | бокс
861. huge [хьюдж][ьюдж] | огромный
huger [??] | огромнее
hugest [хьюджэст] | самый-огромный
862. message [месэдж][месидж] | сообщение
messaged [??] | отправлено-сообщение
messages [месэджэз][месиджиз] | сообщения
messaging [месиджиН] | обмен-сообщениями
863. instance [инстэнс] | пример
instanced [??] | инстанцированный
instances [инстэнсэз][инстэнсиз] | случаи
instancing [??] | экземпляр
864. style [стаил] | стиль
styled [стаилд] | стилизованный
styles [стаилз] | стили
styling [стаилиН] | укладка
865. refer [рэ'фэр][ри'фэр] | ссылаться
refered [??] | ссылался
refering [ри'фэриН] | ссылаясь
referred [рэ'фэрд][ри'фэрд] | сослался
referring [ри'фэриН] | ссылаясь
refers [рэ'фэрз][ри'фэрз] | относится
866. cold [коулд] | холодный
colder [коулдэр] | холоднее
coldest [коулдэст] | самый-холодный
colds [коулдз] | простуды
867. push [пуш] | толчок
pushed [пушт] | толкнул
pushes [пушэз][пушиз] | толкает
pushing [пушиН] | толкание
868. quarter [кВортэр] | четверть
quartered [??] | четвертованный
quartering [??] | четвертование
quarters [кВортэрз] | четверти
869. assume [э'сум] | предполагать
assumed [э'сумд] | предполагается
assumes [э'сумз] | предполагает
assuming [э'сумиН] | предполагая
870. baby [беиби] | ребенок
babied [??] | нянчился
babies [беибиз] | младенцы
babying [??] | нянчиться
871. successful [сэк'сесфэл] | успешно
872. sing [сиН] | петь
sang [сЭН] | пел
singing [сиНиН] | пение
sings [сиНз] | поет
sung [сэН] | спетый
873. doubt [даут] | сомнение
doubted [даутид] | сомневался
doubting [даутиН] | сомневающийся
doubts [даутс] | сомнения
874. competition [кампэ'тишэн] | конкуренция
competitions [кампэ'тишэнз] | соревнования
875. theory [Сиэри][Сири] | теория
theories [Сиэриз][Сириз] | теории
876. propose [прэ'поуз] | предложить
proposed [прэ'поузд] | предложенный
proposes [прэ'поузиз] | предлагает
proposing [прэ'поузиН] | предлагая
877. reference [рефэрэнс][рефрэнс] | ссылка
referenced [рефэрэнст][рефрэнст] | ссылается
references [рефэрэнсиз][рефрэнсиз] | ссылки
referencing [рефэрэнсиН][рефрэнсиН] | ссылаясь
878. argument [аргйэмэнт] | аргумент
arguments [аргйэмэнтс] | аргументы
879. adult [Эдэлт][э'дэлт] | взрослый
adults [Эдэлтс][э'дэлтс] | взрослые
880. fly [флаи] | летать
flew [флу] | полетел
flies [флаиз] | мухи
flown [флоун] | летал
flying [флаииН] | летающий
881. document [дакйэмент][дакьюмент] | документ
documented [дакйэ,менэд][дакйэ,ментэд][дакью,менэд][дакью,ментэд] | задокументировано
documenting [дакйэмэниН][дакйэмэнтиН][дакьюмэниН][дакьюмэнтиН] | документирование
documents [дакйэмэнтс][дакьюмэнтс] | документы
882. pattern [пЭтэрн] | узор
patterned [пЭтэрнд] | узорчатый
patterning [??] | шаблонизация
patterns [пЭтэрнз] | узоры
883. application [Эплэ'кеишэн] | приложение
applications [Эплэ'кеишэнз] | приложения
884. hot [хат] | горячий
hots [хатс] | горячие
hotter [хатэр] | горячее
hottest [хатэст] | самый-горячий
885. obviously [абвиэсли] | очевидно
886. unclear [эн'клир] | неясно
887. bill [бил] | законопроект
billed [билд] | выставлен-счет
billing [билиН] | выставление-счетов
bills [билз] | счета
888. search [сэрч] | поиск
searched [сэрчт] | искали
searches [сэрчиз] | поиски
searching [сэрчиН] | идет-поиск
889. separate [сепэр,еит][сепэрит][сепрэт] | отдельный
separated [сепэр,еитид] | разделенный
separates [сепэр,еитс][сепэритс] | отделяет
separating [сепэр,еитиН] | разделяющий
890. central [сентрэл] | центральный
centrals [??] | центральные
891. career [кэр'ир] | карьера
careered [??] | сделал-карьеру
careering [кэр'ириН] | карьера
careers [кэр'ирз] | карьеры
892. anyway [ени,Веи] | в-любом-случае
anyways [ени,Веиз] | в-любом-случае
893. speech [спич] | речь
speeches [спичэз][спичиз] | речи
894. dog [дог] | собака
dogged [догд] | упрямый
dogging [догиН] | собачье-преследование
dogs [дагз][догз] | собаки
895. officer [офэсэр][офисэр] | офицер
officered [??] | офицерский
officering [??] | офицерство
officers [офэсэрз][офисэрз] | офицеры
896. throughout [Сфру'аут] | на-протяжении
897. oil [оил] | масло
oiled [оилд] | смазанный
oiling [оилиН] | смазывание
oils [оилз] | масла
898. dress [дрес] | платье
dressed [дрест] | одетый
dresses [дресэз][дресиз] | платья
dressing [дресиН] | заправка
899. profit [прафэт][прафит] | прибыль
profited [прафэтэд] | получил-прибыль
profiting [прафэтиН] | прибыль
profits [прафитс] | прибыль
900. guess [гес] | догадка
guessed [гест] | угадал
guesses [гесэз][гесиз] | догадки
guessing [гесиН] | угадывание
901. fun [фэн] | веселье
902. protect [прэ'тект] | защищать
protected [прэ'тектид] | защищенный
protecting [прэ'тектиН] | защищающий
protects [прэ'тектс] | защищает
903. resource [рисорс] | ресурс
resourced [??] | обеспеченный-ресурсами
resources [рисорсиз] | ресурсы
resourcing [??] | обеспечение-ресурсами
904. science [саиэнс] | наука
sciences [саиэнсэз][саиэнсиз] | науки
905. disease [ди'зиз] | болезнь
diseased [ди'зизд] | больной
diseases [ди'зизэз][ди'зизиз] | болезни
906. balance [бЭлэнс] | баланс
balanced [бЭлэнст] | сбалансированный
balances [бЭлэнсэз][бЭлэнсиз] | остатки
balancing [бЭлэнсиН] | балансировка
907. damage [дЭмэдж][дЭмидж] | ущерб
damaged [дЭмэджд][дЭмиджд] | поврежден
damages [дЭмэджэз][дЭмиджиз] | убытки
damaging [дЭмиджиН] | разрушительный
908. basis [беисэс][беисис] | основа
909. author [оСэр] | автор
authored [оСэрд] | автор
authoring [оСэриН] | авторство
authors [оСэрз] | авторы
910. basic [беисик] | базовый
basics [беисикс] | основы
911. encourage [ен'кэридж][ин'кэрэдж] | поощрять
encouraged [ен'кэриджд][ин'кэрэджд] | поощрять
encourages [ен'кэриджиз][ин'кэрэджэз] | поощряет
encouraging [ен'кэриджиН][ин'кэрэджиН] | поощрение
912. hair [хер] | волосы
haired [херд] | волосатый
hairs [херз] | волосы
913. male [меил] | мужчина
males [меилз] | мужчины
914. operate [апэр,еит][опэр,еит] | работать
operated [апэр,еитэд] | прооперирован
operates [апэр,еитс] | работает
operating [апэр,еитиН][опэр,еитиН] | операционный
915. reflect [ри'флект] | отражать
reflected [ри'флектид] | отраженный
reflecting [ри'флектиН] | отражающий
reflects [ри'флектс] | отражает
916. exercise [ексэр,саиз] | упражнение
exercised [ексэр,саизд] | осуществлял
exercises [ексэр,саизэз][ексэр,саизиз] | упражнения
exercising [ексэр,саизиН] | упражнения
917. useful [ьюсфэл] | полезный
918. restaurant [рес,трант][рестэр,ант] | ресторан
restaurants [рес,трантс][рестэр,антс] | рестораны
919. income [ин,кэм] | доход
incomes [ин,кэмз] | доходы
920. property [прапэрти] | собственность
properties [прапэртиз] | характеристики
921. previous [привиэс] | предыдущий
922. dark [дарк] | темный
darker [даркэр] | темнее
darkest [даркэст] | самый-темный
923. imagine [и'мЭджэн] | представить
imagined [и'мЭджэнд] | воображаемый
imagines [и'мЭджэнз] | воображает
imagining [и'мЭджэниН] | воображая
imaginings [??] | воображения
924. okay [оу'кеи] | хорошо
ok [оу'кеи] | хорошо
okayed [оу'кеид] | одобр.
okaying [??] | о'кейинг
okays [оу'кеиз] | ладно
925. earn [эрн] | заработать
earned [эрнд] | заработал
earning [эрниН] | зарабатывание
earnings [эрниНз] | заработок
earns [эрнз] | зарабатывает
926. daughter [дотэр] | дочь
daughters [дотэрз] | дочери
927. post [поуст] | пост
posted [поустид] | размещено
posting [поустиН] | размещение
postings [поустиНз] | сообщения
posts [поустс] | сообщения
928. newspaper [нуз,пеипэр] | газета
newspapers [нуз,пеипэрз] | газеты
929. define [ди'фаин] | определить
defined [ди'фаинд] | определенный
defines [ди'фаинз] | определяет
defining [ди'фаиниН] | определение
930. conclusion [кэн'клужэн] | заключение
conclusions [кэн'клужэнз] | выводы
931. clock [клак] | часы
clocked [клакт] | тактовый
clocking [клакиН] | тактирование
clocks [клакс] | часы
932. everybody [еври,бади] | все
933. weekend [Ви,кенд][Ви,кинд] | выходные
weekending [??] | уикенд
weekends [Ви,кендз] | выходные
934. perform [пэр'форм] | выполнять
performed [пэр'формд] | выполненный
performing [пэр'формиН] | выполнение
performs [пэр'формз] | выполняет
935. professional [прэ'фешэнэл] | профессиональный
professionals [прэ'фешэнэлз] | профессионалы
936. mine [маин] | мой
mined [маинд] | добыто
mines [маинз] | мины
mining [маиниН] | добыча
937. debate [дэ'беит] | дебаты
debated [дэ'беитид] | обсуждался
debates [дэ'беитс] | дебаты
debating [дэ'беитиН] | обсуждая
938. memory [мемэри] | память
memories [мемэриз] | воспоминания
939. green [грин] | зеленый
greened [гринд] | озелененный
greener [гринэр] | зеленее
greenest [гринист] | самый-зеленый
greening [гриниН] | озеленение
greens [гринз] | зелень
940. song [соН] | песня
songs [соНз] | песни
941. object [абджект][эб'джект] | объект
objected [эб'джектэд] | возражал
objecting [эб'джектиН] | возражая
objects [абджектс][эб'джектс] | объекты
942. maintain [меин'теин] | поддерживать
maintained [меин'теинд] | поддерживается
maintaining [меин'теиниН] | поддержание
maintains [меин'теинз] | поддерживает
943. credit [кредэт][кредит] | кредит
credited [кредэтэд][кредитид] | зачислено
crediting [кредэтиН] | кредитование
credits [кредитс] | кредиты
944. ring [риН] | кольцо
rang [рЭН] | позвонил
ringed [риНд] | кольчатый
ringing [риНиН] | звон
rings [риНз] | кольца
rung [рэН] | ступенька
945. discover [ди'скэвэр] | обнаружить
discovered [ди'скэвэрд] | обнаруженный
discovering [ди'скэвэриН] | открытие
discovers [ди'скэвэрз] | обнаруживает
946. dead [дед] | мертв
deader [дедэр] | мертвее
deadest [??] | самый-мертвый
947. afternoon [Эфтэр'нун] | полдень
afternoons [Эфтэр'нунз] | после-обеда
948. prefer [прэ'фэр][при'фэр][при'фэр] | предпочитаю
prefered [при'фэрд] | предпочитаемый
prefering [??] | предпочитая
preferred [прэ'фэрд][при'фэрд][при'фэрд] | предпочитаемый
preferring [при'фэриН] | предпочитая
prefers [прэ'фэрз][при'фэрз][при'фэрз] | предпочитает
949. extend [ик'стенд] | расширить
extended [ик'стендэд][ик'стендид] | расширенный
extending [ик'стендиН] | расширение
extends [ик'стендз] | расширяется
950. possibility [пасэ'билэ,ти] | возможность
possibilities [пасэ'билэтиз] | возможности
951. direction [даи'рекшин][дэр'екшэн][ди'рекшин][ди'рекшин] | направление
directions [даи'рекшинз][дэр'екшэнз][ди'рекшинз][ди'рекшинз] | направления
952. facility [фэ'силити] | объект
facilities [фэ'силэтиз][фэ'силитиз] | удобства
953. variety [вэр'аиэти] | разнообразие
varieties [вэр'аиэтиз] | разновидности
954. daily [деили] | ежедневно
dailies [деилиз] | ежедневные-газеты
955. clothes [клоуЗз][клоуз] | одежда
956. screen [скрин] | экран
screened [скринд] | экранированный
screening [скриниН] | скрининг
screenings [скриниНз] | показы
screens [скринз] | экраны
957. track [трЭк] | трек
tracked [трЭкт] | отслеживаемый
tracking [трЭкиН] | отслеживание
tracks [трЭкс] | треки
958. dance [дЭнс] | танец
danced [дЭнст] | танцевал
dances [дЭнсэз][дЭнсиз] | танцы
dancing [дЭнсиН] | танцы
959. completely [кэм'плитли] | полностью
960. female [фи,меил] | женский
females [фи,меилз] | самки
961. responsibility [ри,спансэ'билэти] | ответственность
responsibilities [ри,спансэ'билэтиз] | обязанности
962. original [эр'иджэнэл] | оригинал
originals [эр'иджэнэлз] | оригиналы
963. sister [систэр] | сестра
sisters [систэрз] | сестры
964. rock [рак] | рок
rocked [ракт] | качал
rocking [ракиН] | качание
rocks [ракс] | скалы
965. dream [дрим] | мечта
dreamed [дримд] | мечтал
dreaming [дримиН] | мечтая
dreams [дримз] | мечты
dreamt [дремт] | мечтал
966. nor [нор] | ни
967. university [ьюнэ'вэрсэти] | университет
universities [ьюнэ'вэрсэтиз] | университеты
968. easily [изэли] | легко
969. agency [еиджэнси] | агентство
agencies [еиджэнсиз] | агентства
970. dollar [далэр][долэр] | доллар
dollars [далэрз][долэрз] | долларов
971. garden [гардэн] | сад
gardened [гардэнд] | садоводство
gardening [гардэниН][гардниН] | садоводство
gardens [гардэнз] | сады
972. fix [фикс] | исправить
fixed [фикст] | зафиксированный
fixes [фиксиз] | исправления
fixing [фиксиН] | фиксация
fixings [фиксиНз] | крепления
973. ahead [э'хед] | вперед
974. cross [крос] | крест
crossed [крост] | пересекли
crosses [кросиз] | кресты
crossing [кросиН] | пересечение
crossings [кросиНз] | переходы
975. yeah [йЭ] | да
976. weight [Веит] | вес
weighted [Веитид] | взвешенный
weighting [ВеитиН] | взвешивание
weights [Веитс] | веса
977. legal [лигэл] | законный
978. proposal [прэ'поузэл] | предложение
proposals [прэ'поузэлз] | предложения
979. version [вэржэн] | версия
versions [вэржэнз] | версии
980. conversation [канвэр'сеишэн] | разговор
conversations [канвэр'сеишэнз] | разговоры
981. somebody [сэм,бади][сэмбэ,ди] | кто-то
982. pound [паунд] | фунт
pounded [паундид] | толченый
pounding [паундиН] | стук
pounds [паундз][паунз] | фунты
983. magazine [мЭгэ,зин] | журнал
magazines [мЭгэ,зинз] | журналы
984. shape [шеип] | форма
shaped [шеипт] | в-форме
shapes [шеипс] | формы
shaping [шеипиН] | формирование
985. sea [си] | море
seas [сиз] | моря
986. immediately [и'ми,диэтли] | немедленно
987. welcome [Велкэм] | добро-пожаловать
welcomed [Велкэмд] | приветствовали
welcomes [Велкэмз] | приветствуется
welcoming [ВелкэмиН] | приветствуя
988. smile [смаил] | улыбка
smiled [смаилд] | улыбнулся
smiles [смаилз] | улыбки
smiling [смаилиН] | улыбаясь
989. communication [кэм,ьюнэ'кеишэн] | коммуникация
communications [кэм,ьюнэ'кеишэнз] | коммуникации
990. agent [еиджэнт] | агент
agents [еиджэнтс] | агенты
991. traditional [трэ'дишэнэл] | традиционный
992. replace [ри'плеис][эр'плеис] | заменить
replaced [ри'плеист] | заменен
replaces [ри'плеисиз] | заменяет
replacing [ри'плеисиН] | замена
993. judge [джэдж] | судья
judged [джэджд] | судили
judges [джэджиз] | судьи
judging [джэджиН] | судить
994. herself [хэр'селф] | сама
995. suddenly [сэдэнли] | внезапно
996. generation [дженэр'еишэн] | поколение
generations [дженэр'еишэнз] | поколения
997. estimate [естэ,меит][естэмэт] | оценка
estimated [естэ,меитэд][естэ,меитид] | оцененный
estimates [естэ,меитс][естэмэтс] | оценки
estimating [естэ,меитиН] | оценка
998. favorite [феивэрит][феиврэт] | любимый
favorites [феивэритс][феиврэтс] | избранное
favourite [феивэрит] | любимый
favourites [??] | избранное
999. difficulty [дифэкэлти][дифи,кэлти] | сложность
difficulties [дифэкэлтиз][дифи,кэлтиз] | трудности
1000. purchase [пэрчэс] | покупка
purchased [пэрчэст] | куплено
purchases [пэрчэсэз][пэрчэсиз] | покупки
purchasing [пэрчэсиН] | покупка
1001. shoot [шут] | стрелять
shooting [шутиН] | стрельба
shootings [шутиНз] | расстрелы
shoots [шутс] | стреляет
1002. announce [э'наунс] | объявлять
announced [э'наунст] | объявил
announces [э'наунсиз] | объявляет
announcing [э'наунсиН] | объявляя
1003. unless [эн'лес] | если-только
1004. independent [инди'пендэнт] | независимый
independents [инди'пендэнтс] | независимые
1005. recommend [рекэ'менд] | рекомендовать
recommended [рекэ'мендид] | рекомендуется
recommending [рекэ'мендиН] | рекомендовать
recommends [рекэ'мендз] | рекомендует
1006. survey [сэр,веи][сэр'веи] | опрос
surveyed [сэр,веид][сэр'веид] | обследованный
surveying [сэр,веииН][сэр'веииН] | геодезия
surveys [сэр,веиз][сэр'веиз] | опросы
1007. majority [мэ'джорэти] | большинство
majorities [мэ'джоритиз] | большинство
