#Xing*2025 /600 базовых слов-A1/ сайт: en-ru-dict.github.io ютюб: m.youtube.com / @en-ru-dict
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#
a [э]|артикль =некий|без артикля это глагол наречие или прилагательное|
hospital [ха,спитэл][хоспитл]|больница|х=г ГОСПИТАЛь это *больница для раненых|(hospitality хоспитэлити гостеприимство)
job [джоуб][джоб]|работа|стив ДЖОБс на *работе делал айфоны для богатеньких буратин / стив ДЖОБс *работал в поте лица, а бил гейтс бил баклуши|(work Вёрк работа)
market [маРкит][ма:кит]|рынок|и=е МАРКЕТплейс - *рынок + место(place плейс) / суперМАРКЕТ - супер *рынок|
street [стрит]|улица|СТРИТ-трейсеры по *улице гоняют / волк с уолл СТРИТ жил на *улице сезам / *улица пеСТРИТ педиками в стрингах (pedestrian-пешеход)|
road [роуд]|дорога|на РОДину|(abroad эброд за-границу)(railroad реилроуд железная-дорога)
town [таун]|городок|кейпТАУН - мыс(cape кейп) + *городок / в *городе кейпТАУН есть даунТАУН - *центр-города кишит даунами|
shop [шоп]|магазин|в ШОПинг по *магазинам любят бегать ШОПоголики и алкоголики / *лавка *цех *мастерская *студия|(shopping шопиН поход-по-магазинам это шопинг-сленг)
money [мАни]|деньги|МОНЕты это *деньги / портМОНЕ для *денег (кошелёк для кэш) / у бабы МАНИ за баней много(many мэни) *денег, куры не клюют|
price [праис]|цена|ПРЕЙСкурант - *цена + текущая-запись(current карент поток ток) / ПРАЙС лист с *ценами|
home [хоум]|дом|*дома *домашних ХОМяков подстригли на крипте (сленг)|(house хаус *дом)
house [хаус][хауз]|дом|пентХАУС это *дом / ХАОС в *доме! -приходил слон? -в доме был ураган? -нет, приходил серёжка, поиграли мы немножко(мульт)|(home-домашний)
castle [кЭсэл][ка:сл]|замок|КОСТЛЯвого дракона из героев3 (т-немая)|
room [рум]|комната|фоРУМ проходит в большой *комнате / шоуРУМ - *пространство для шоу|(utility-room ютилэтирум в *подсобном-помещении приЮТИЛИ ТИгра и РУМына, а он его съел)
kitchen [кичин][китчэн]|кухня|киттен-котёнок на *кухне мявкает, есть хочет / на *кухне КИТ в ЧАНе варится, еда на 1000 чел|
bedroom [бе,друм]|спальня|=кровать + комната|
toilet [тоилит]|туалет|о=у %|(реструм = отдых + комната)
bathroom [бЭ,Сфрум]|ванная-комната|=ванна + комната (бассейн это ванна)|
word [ВёРд]|слово|кроссВОРД это *слова поперек скрещиваются крестом(cross)|(world ВёРлд мир)(ward ВоРд от ВОРов святая ВОДа *охранялась как зеница ока)
letter [летэР]|буква,письмо|ЛИТЕРа в типографии это *буква|(literal литэрэл *буквально по *буквам ЛИТЕРАтуру читаю)
message [месидж]|сообщение|МЕССЕНджер *отправляет *сообщения|
speech [спи:ч]|речь|СПИКера(говорун) / СПИЧерайтер - *речи пишет|
song [соН]|песня|из плеера СОНи, звук сказка|(sing сиН петь сингл)
name [неим]|имя,назвать|НАИМенование товара это тоже *имя|
last-name [ластнейм]|фамилия|=последнее + имя, а фамилия это семья|
nickname [ник,неим]|прозвище|это ник (сленг)|
question [кВешэн][кВесчэн]|вопрос|в КВЕСТе поЧЕМу? по кочану да по капусте|
fun [фАн]|веселье|в ФАН-клубе у ФАНатов|(fan фэн вентилятор фен)
truth [тру:С]|правда|ТРУС боится сказать нам *правду что земля плоская!|(true-истина)
true [тру:]|верный,правильный,истинный|ТРУд это *правильный выбор тунеядцев / ТРУмэн - *истина + человек(man мэн) = правдоруб / *истина и ТРУд всё переТРУт в ТРУху|(truly трули действительно)(truth труС правда)
joke [джоук]|шутка,шутить|диск ЖОКЕй *шутит, а ди-джей радость(джой) приносит / ДЖОКЕр *шутит над бэтмэном / ДЖОКер *шутит - на картах это шут с бубенчиками / бедного ДЖО УКусил я за *шутку, она до сих болит..|
language [лЭНгВидж]|язык-общения|ЛИНГВИст учит *язык *речь *стиль|(tongue тан ТОНКИй и длинный *язык во рту)
game [геим]|игра|ГЕЙМер в *игре ловит *дичь|(gum гам жевачка клеить)
party [паРти][па:ти]|вечеринка|ПАТИфон на *вечеринке / *вечеринка у ПАРТИи зёленых прошла на природе, сожгли школьные ПАРТЫ и школу|
king [киН]|король|КИНГ конг - *король обезьян в конго|(kin кин родня короля)
queen [кВи:н]|королева|играла в КВН / К ВИНу пристрастилась пьяная *королева|(кинг король)
god [гад]|бог|был ГАД из болота(bog) жил как поганка, а ему летать охота|
devil [девэл]|дьявол|е=я %|(evil-зло)
art [аРт]|искусство|бодиАРТ - тело(body боди) + *исскуство / АРТистизм это *исскуство перевоплощения / artist АРТист это художник, а артист это актёр, а артифакт-искуственный|
hell [хел]|ад|ХЕЛоуин проходил в *притоне / ХЕЛуин в *аду провели черти на сковородке|
paradise [пЭрэдаис]|рай,галерка|РАЙкин юморист и ПАРАДИСт / ванеса ПАРАДИС пела про джули такси в *раю для ангелов с *галерки|
way [Веи]|путь,способ|бродВЕЙ - просторный(broad брод) + *путь / милки ВЕЙ - млечный *путь / трамВАЙ = трамвай(трам) + *путь / ВЕЙся *дорога через горы|(weigh Вей взвешивать весить)(why Вай почему)(away эВей прочь уходи с моего *пути)(railway реилВей железная-дорога)
light [лаит]|свет,лёгкий,светлый|ЛАЙТ версия значит облегченная / лайтиН-молния|
force [фоРс]|сила|чтобы ФОРСировать реку нужны *силы / ФОРС мажор *принудил *силой мажоров попрощаться с красивой жизнью (и пойти копать окопы и таскать снаряды)|(forth форС ФОРСировать = продвигаться дальше вперед)(fierce фиэрс лютый свирепый начальник *заставил *силой)
power [пауэР]|сила,власть|*сила и *мощность в ПАУЭР-банке заряжать телефон|(powerful пауэрфэл сильный)
top [топ]|верх|ТОП-модель на *вершине славы выпала из окна / ТОП-менеджер *вершина пищевой цепочки офисного планктона / поТОП до *верхушки останкинской башни устроили два хоббита и говорящее дерево / *верхний *верх ТОПика / серенький *волчок ТОПтыгина укусил за бочок|(tap тэп кран постучать пробка)
size [саиз]|размер|СИЗО не вмещает всех алкоголиков и тунеядцев, поэтому кого куда, а шурика на стройку к феде (надо, федя, надо)|(seize сиз схватить и в сизо)
half [хаф]|половина|ХАФчика схавал (л-немая) / ХАЛВинг битка это *ополовинивание(halve хав делить пополам)|(хэв-иметь)
speed [спид]|скорость|покажет СПИДометр|(speed-up спидэп ускоряйся)
luck [лАк]|удача|в ЛУКоморье, кот подарил тебе золотую цепь и дуб с русалкой, какая *удача / в ЛУКойл все *счастливы когда цены поднимают и смотрят(лук) в оба|(lucky ЛАКИ имя - удачник счастливчик)(lack лэк недостаток)
trouble [трэбэл][трАбл]|проблема,беда|ДРАПаЛ от *неприятностей и наступил на ГРАБЛи / *беспокойство *волнение *тревога *затруднение это ТРАБЛы (сленг)|
fortune [фоРчун][фо:чэн]|удача,случай|*деньги *счастье *удача это ФОРТУНА|(fortunate форчунэт удачная)(fortunately к-счастью)
danger [деинджэР]|опасность|затонувший ТАНКЕР с мазутом *угроза морю / в ДАНии ГЕРакл(статуя держит крышу театра) очень *опасен - может уронить тебе на голову когда ты входишь туда|
war [ВоР]|война|ВАРкрафт это *война + ремесло / *война ВАРваров|(warrior Вориэр воин)
victory [виктэри]|победа|*победа в ВИКТОРИне, ура!(это ещё и клубника)|
peace [пис]|мир,покой|гринПИС - зеленый(green грин) *мир / подПИСать договор о *мире (не война)|(piece пис кусок часть, договор о *мире порвали на *куски)
holiday [хали,деи][холэди]|праздник|=святой + день / *праздник ХАЛИ вали отмечали пара трупов и злоДЕЙ, им было супер / в ХОЛОДИльнике мышь повесилась в *отпуске|(holy хоули священный день)
web [Веб]|сеть,паутина|ВЕБинар это *паутина для буратин / ВЕБ-приложение для интернета(всемирной *сети)|
mail [меил]|почта|это МЫЛо(сленг)|(male меил мужской самец)
#
do [ду:]|делать|у=е *ДЕлать %, redo-переделывать, did-сделал, done-сделанный|(deed дид деед действие дело поступок)
have [хЭв]|иметь|хавать хавчик = *иметь ХАВчик (have a dinner)|(heavy хеви тяжелый)(half хЭф половина)(behave бихеив вести-себя)
go [гоу]|идти|ГОрила *идёт, крокодила ведёт|(ago тому-назад)
get [гет]|получать|ГЕТман *получил *получку и спрятал заначку / ГЕТман *достал наркоту в ГЕТто и забыл(фогет) заплатить|(get-away гетэвеи избежать = получить прочь)(get-up вставать подниматься)
know [ноу]|знать|(k-немая) НАУка хочет всё *знать / НОУ-хау это *знать как сделать|(now нау сейчас)
make [меик]|делать,изготавливать|реМЕЙК = повторно(ре) + *делать / сеМЕЙКа адамс на скаМЕЙКе *производит странное впечатление|
can [кЭн]|может|фотопарат КЭНон *может делать отличные фото пушки(кэнон) / *жестянка *банка для КОНсервы|(could-мог)(con кон вор жулик надул похитил КОНя)
could [куд]|мог|КУДа он *мог исчезнуть? найду, ноги выдерну и спички вставлю|(can кэн мочь)
would [Вуд]|бы|(=should) если *бы бабка знала ВУДу - была *бы дедкой / я *хотел-бы в голиВУД попасть по блату|(wood-древесина)
must [мАст]|должен|МАСТер всё уметь / МАСТ-дай (сленг) - *должен умереть(die дай) / МАСТер на все руки *должен сделать себе золотые руки / МАСТер *должен найти маргариту|
think [СиНк]|думать,мыслить|СФИНКс *думал о пирамидах рядом, а зачем они тут стоят?|(sink сиНк раковина тонуть, индюк много *думал и в супе *утонул)(thought Сот мысль)(сиН-петь соН-песня, фид-кормить фуд-еда) (сущ через О, глагол через И)
like [лаик]|любить,нравиться,похожий|мне *нравится ЛАЙКать свои посты - себя не похвалишь, никто не похвалит / я наивный думал что ЛАЙКают если *нравится, а оказалось все накручивают! и глаза такие честные честные..|(love лав)(alike элаик одинаковый подобно) see [си:]|видеть|они *видели СИнее море(sea) и соСИски только в бане|(лук-смотреть)
take [теик]|брать|ТАЙКом деньги из кармана пальто родичей / ТАКер *берёт интервью у карлсона на крыше / *взять горячий сТЕЙК руками, ай горячо!|
come [кАм]|приходить|*приходи КО Мне на сеновал, -она с кузнецом прийдёт! -не, нам кузнец не нужен|
work [ВёРк]|работа,работать|в ВОРКуте *работать слишком холодно, дубак страшный / фейерВЕРК - огонь(fire файэР) + *работа / *работа не ВОлК - в лес не убежит / ВЕРКа сердючка *работает в ВОРКуте с товарищами тамбовскими ВОлКами|(worker ВэРкэР рабочий)(working ВэРкиН рабочее-время)(job джоб)(walk Вок гулять на *работу)
use [юз][ью:с]|использовать|ЮЗЕр(user) *ИСпользует комп и полезные(useful) проги ЮЗает|
look [лук]|смотреть|как режут ЛУК и слезы текут / *гляжу в ЛУКойл цены на масло(ойл) растут и они счастливы(luck лак) а мы несчастны(lack лэк нужда) / целясь из ЛУКа ты *смотришь в бинокль в далекую даль, чувствуешь усталось, голод и холод, вес тяжелого ЛУКа, отпускаешь тетиву и четко *видишь как стрела попадает в лягушку царевну.. / *взгляд *мнение *точка-зрения *выражение-лица *вид *внешность|(look for - искать)(see-видеть)
want [Вонт]|хотеть|ВОН Ту игрушку той девочки / аВАНТюристы *хотят приключений на свою / *требую ВОН Ту, а то заплачу|(wanted вантед разыскиваемый =хотимый)
hope [хоуп]|надеяться|разбогатеть в ХОПЕр инвест, а там надули / *надежда умирает последней у ХАПуги, он *надеялся вовремя смыться, а его поймали|
find [фаинд]|находить|ФАИНу для вечеринки у нана / в ФИНлянДии *обнаружили железное небо и немцев на луне / *встречать|
give [гив]|давать|ГИВи *дал тебе по башке гирей (ему твоя рожа не понравилась) / *дай подарок(ГИФт) / блондинка на базаре: ГИВи, *дай апельсинку за красивые глазки, -полай!|
tell [тел]|говорить,рассказывать|по ТЕЛефону|(say сей сказать)(talk ток разговаривать на ток-шоу)
call [кол]|звать,вызов|по ком *звонит КОЛокол? / КОЛ-центр для *вызовов и *звонков|(caller-гость)
need [ни:д]|нуждаться|и=а *НАДо % / чё те *надо гНИДа(из кино) / НИДерландам *нужно ландыши продать / *необходимость *нужда|
may [мей]|может,мочь,можно,май|*можно в *мае сходить на демонстрацию - ура покричать / товарищ МАЙор *разрешите обратиться? *можно машку за ляшку?|
wash [Вош]|мыть,стирать|*стирают чтобы ВОШь в белье не завелась|(washing вошин стирка в ВАШИНГтоне)
feel [фи:л]|чувствовать|ФИЛософ *чувствует что пора на пароход / ФИЛантроп *чувствует что он труп / штирлиц шёл по лесу и вдруг *почувствовал на себе чей-то взгляд, ФИЛин - подумал штирлиц, сам ты ФИЛин- подумал мюллер|(fill наполнять)
play [плеи]|играть|ПЛЕЙер *играет музыку / *пьеса про ПЛЕЙбоя|
try [траи]|пробовать,пытаться|ТРОЙная *попытка это угадай с трех раз!|(try-on трайан примерять)(trial трайэл испытания пробный)(три-дерево)
live [лаив][лив]|жить|(лайф-жизнь лайфхак гебралайф) / в ЛИВИи под ливнем *жили *живые мертвецы но покинули(leave лиив), хренова там кормят / *живу в ЛИВане, тут бомбят, пока *живой но надо покинуть(лиив)|(alive элаив живой)
show [шоу]|показывать|ШОУмэн - *показывать + человек(man мэн) / ШОУмен *показывает ШОУ и *спектакль *демонстрацию *показ *зрелище|(shower шауэр показыватель(show+er) показал(show) в *душе такое, что лучше тебе не видеть)
ask [а:ск]|спрашивать,просить|*спрашивать в АСЬКе АСю Клячину где её кляча|
help [хелп]|помощь,помогать|в аду(ХЕЛ) *Помогать чертям эдика кормить|
talk [то:к]|разговаривать|*ТОЛКовать о чем то / ТОК-шоу - *говорить и показывать(show шоу) / тик-ТОК - клещ(tick тик) *говорит что всех искусает / если американского шпиона ударить ТОКом, он *заговорит по русски / бесТОЛКовый *разговор был на ТОЛКучке у барыг и спекулянтов|(talkative токэтив разговорчивый болтливый)(tell тел сказать)(say сей говорить)
move [мув]|двигаться|МУму Вниз на дно *двигалась / МУВики это картинки *двигаются|(movie муви фильм движуха)(movement мувмэнт движение)(motion моушэн движение)
begin [би'гин]|начинать|end-конец блока, это паскаль / БЕГИ На старт, *начинаются соревнования / БЕГОНия *начала цвести / БОГИНя *начала снимать БИКИНи..|
become [би'кАм]|становиться|куБИКОМ в тесном автобусе / *стать это быть(би) + приходить(кам) / *станешь БЫКОМ если будешь ходить к тёлкам / благодаря БИлету на балет КАМенщик *стал балериной / шарик кошмарик *стал куБИКОМ рубиком|
build [билд]|строить|бодиБИЛДер это тело(боди) + *строитель(БИЛД+ер) / боди+БИЛДинг = тело(body) + *строительство(building)|
start [стаРт]|начинать|*начало беговой дорожки называется СТАРТ, а конец это финиш|
change [чеиндж]|изменять|чунга ЧАНГЕ *поменяли пол, теперь он белый и пушистый / другому чунга ЧАНГЕ *поменяли золото на бусы и дали *сдачу в глаз|
let [лет]|позволять|ЛЕТать во сне и наяву / *позволить спросить сколько даме ЛЕТ? а она как даст сумкой по башке / *позволить ЛЕТать рожденному ползать|
run [рАн]|бежать,бегать|в рестоРАН отдыхать(rest рест) / ученые РАН *бегают РАНо утром по РАНчо как саРАНча, кто не сдаст нормы гто - сбрасывают со скалы как спартанцев / заРАНец *бежит с РАНцем в школу, а дипломат с дипломатом|(running бег беготня)(runny жидкий текучий)
write [раит]|писать|братья РАЙТ *писали правой(right райт) рукой про самолеты / не ВРИТЕ что левша и *пишите правой(райт) рукой как курица лапой|(write-out раитаут выпиши)(writer раитэр писатель)
keep [кип]|держать,хранить|вебмани в КИПере на КИПре в офшоре|
hold [хэулд]|держать,удерживать|ХОЛДинг *держит пакет акций под подушкой|
repeat [ри'пи:т]|повторить|на РИПИТиции еще раз *повторим - повторенье мать ученья|
put [пут]|класть,помещать|рабочие *кладут ПУТи трамвая / ПУТану *положили на кровать.. и заПУТались(забыли что с ней делать надо)|
end [енд]|заканчивать,конец|уикЕНД - неделя(week уик) + *конец = завершение недели, выходные / хэпиЕНД - счастливый(happy хэпи) + *конец|
study [стАди]|учиться,изучать|СТУДЕнты *изучают *исследование / СТАДО баранов из соседней школы плохо *учатся на дворников|
hear [хиР][хиэ]|слышать|хирово, уши мыть надо! / у ИРы большие уши(ear ир) чтобы хорошо тебя *слышать / глуХИЕ не могут *слышать, у них даже нет ушей(ear иэ) / h+ear(ухо)=слышать|(here хир, хиэ сюда здесь)
teach [ти:ч]|учить|ТЫЧет тебя носом в учебник *учитель, когда *обучает тебя неуча|
close [клэуз][клоус]|закрывать,закрыть|*тесный КЛОЗЕт *закрыт (closet клозит шкаф уборная) / 2. *близко *почти|(closure клоужэр закрытие)(cloth клоС одежда закрывает от холода)(clause клоз / в КЛЯУЗЕ был *пункт и *оговорка что я не я и лошадь не моя / в *статье написано, что цирк уехал а КЛОУны осталиС)
open [оупэн]|открыть|*Открыл ПЕНал ручками с ручками закорючками / шОПЕН *открыл магазин(shop шоп) оперы и балета / ОПЕНгеймер был геймер и *открыл атомную бомбу и доигрался|
add [Эд]|добавлять|ЭДик в АДу *прибавил в весе (хорошо кормят)|(addition эдишэн сложение)(subtract сэбтрэкт вычитать)
love [лАв]|любовь,любить|ЛОВЕлас - *любовь и кружево(lace лейс лассо леска шнурок) / *любить ЛАВе(бабки) ЛАВры и ЛАВровый венок|(like лайк нравится любить)(lovely лавли прекрасный)(lover лэвэр любовник)
believe [би'лив]|верить,полагать|*верить в изоБИЛИе В раю / =быть живым|
read [рид]|читать|картРИДер *читает флэшкарты / РЕДактор *читает и исправляет / поРИДели РЯДы *читающей в телефоне молодежи, они все спятили и превратились в овощи|(rid рид освобождать избавлять-от)(reed рид тростник)
mean [мин]|значить,иметь-в-виду|кислая МИНа *посредственного МИНистра финансов *означает что нам капец! / *скупой *думал что МИН нет и МИНовал *середину широкого брода с крокодилами (но подорвался на мине дважды и они его съели)|(means минз устройство средство)
pay [пеи]|платить|ПЕЙпал - *платить + приятель(pal пэл друг сотоварищ) / покуПАЙ, ПЕЙ и *плати|(payment пеимэнт плата взнос вознаграждение зарплата)(пай-пирог)
stand [стЭнд]|стоять|у СТЕНДа СТЭНДапера *стоит толпа на ушах и ржёт / *терпеть *выносить|
understand [АндэР'стЭнд]|понимать|АНДЕРсона СТАНДартно / = андер-под + стэнд(киоск ларёк остановка) = читать объявления на остановке и *понимать что дело труба|
learn [лёРн][лэ:н]|учиться|ЛЕНь *учиться, хочу жениться / ЛЁНя бережно *учит нас ЛЕНи и застою|(learning-учение ленин говорил: учиться учиться и ещё раз учиться, *ученье свет а неучёных тьма!)
sit [сит]|сидеть|т=д *СИДеть %|(seat сит сиденье место билет)
win [Вин]|победить,побеждать|гудВИН - хороший(good гуд) + *выиграл изумрудный город в карты и *победил злую ведьму / ВИНи пух *победил(win Вин) пчёл и разнёс всё в пух и прах|
break [бреик]|ломать,перерыв|на *переменке танцевала БРЕЙК данс без тормозов(брейк) и БРЫКалась и *ломалась (но её *уломали)|(brake бреик БРАКованный *тормоз сломался(брейк), ааа, мы все умрём!)
lose [луз]|терять,проигрывать|в ЛУЗиане живут ЛУЗеры и всё *теряют и *проигрывают, потом вешаются на ЛЮСтре|(loss лос потерял)(lost лост потерянный)(loose лус свободный просторный)
watch [Воч]|смотреть|В ОЧи черные / В ОЧках *следить *наблюдать время в *наручных-часах / ВО *Часы-наручные какие у меня ролекс за миллион, купил на вокзале у цыган по акции со скидкой|
speak [спи:к]|говорить|*говорит и *выступает СПИКер|(speaker спикэр оратор говорун)(speech спич речь)
stop [стоп]|останавливать|*остановиться у *остановки возле знака СТОП|
walk [Во:к]|идти-пешком,ходить|впоВАЛКу (л-немая) / пёс *гулял ВОКруг леса, птичек ловил, недалеко *ходил ВОЛК -шо, выгнали? (мульт)|(work Вёк работа труд)
cut [кАт]|резать|КАТер *режет воду / *резать на лоcКУТки / коньки *режут лёд на КАТке|(cutter катэ резчик)(acute экьют остроконечный острый)
wait [Веит]|ждать|конца сВЕТа, как солоВЕЙ леТа / блондинка *ждала конца сВЕТа в конце туннеля, а встретила динозавра / куВЕЙТ *ждет бури в пустыне|(weight Вейт вес)(wet Вет влажный)
kill [кил]|убийство,убивать|КИЛлер *убивает дилера|
buy [баи]|покупать,купить|БАЙ *купил батраков на плантации|(buyer баиэр покупатель)(by предлог при)(bye-пока)
remember [ри'мембэР]|помнить|(ре-повторно)(memory мемэри память)(member мембэр член)|
die [даи]|умиреть|ДАЙ воды, *умираю / на ДИЕте так жрать охота, *умираю, корову бы съел / маст-дай (сленг) - должен(must маст) у*мереть(die дай)|
answer [ЭнсэР][а:нсэ]|отвечать|АНСАмбль *ответил на глупые вопросы фанатов|
fight [фаит]|драться|*бой *бороться (flight ФлАЙТ полёт истребителей в воздушном *бою)|(fright фрайт *испуг *страх в *полете и воздушном *бою)
pull [пул]|тянуть|врач *вытянул ПУЛю из тебя, жить будешь / *тяну тяжелый ПУЛемет и толкаю(пуш) огромную пушку, всех убью один останусь|
paint [пеинт]|рисовать,краска|ПЕЙНТбол стрельба *краской|
eat [ит]|есть,кушать|+с *ЕсТь % / ИТальянцы *едят макароны с ушей|
listen [лисэн]|слушать|ЛИСЁНок *слушает урок(lesson лесэн) лисы в лесу, в одно ухо влетает, из другого вылетает|
smile [смаил]|улыбаться|СМАЙЛик это *улыбка до ушей хоть завязочки пришей|
save [сеив]|сохранять,спасать|в СЕЙФе *берегут *сохраняют безопасно(safe)|(safe сейф *надёжный и *безопасный СЕЙФ за миллион *благополучно(safely) открыли скрепкой)(safety сейфти безопасность надежность)(savior сеивйэр спаситель)
choose [чу:з]|выбирать|сыр(чиз) из 100 сортов самый дешевый из пластелина и порошка|
sleep [слип]|спать|СЛИпаются глазки, пора *спать и видеть *сон|(sleepy слипи сонливый сонный)(slip-скользить в липкой грязи, подскользнулся на ровном месте и сразу заснул(sleep) навеки)(asleep эслип *спящий ОСЛЕП во сне)
travel [трЭвэл]|путешествовать|*передвигаться по ТРАВЕ на ВЕЛеке / шпион в *путешествии ТРАВИЛ новичком инагентов|(trip поездка поход)
fill [фил]|наполнять|чувствую(feel) как *наполняется дырявая лодка, вода уже по колено, мы все утонем, ааа / ФИЛя со степашкой *наполняли снотворным стаканы для малышей|
push [пуш]|толкать|ПУШкин *толкнул дантеса в пропасть во ржи и поржал / *нажать кнопку ПУСХ бомбы и всё разлетится в ПУХ и прах|
fall [фо:л]|падать|ФОЛ в футболе это *падение / уФОЛог *упал, увидев нло у себя под кроватью / *впасть-в-состояние / *осенью *падают листья|(autumn отэм *осень)(full фул сытый полный дурак-fool)(fail феил провал)(foul фаул грязный отвратительный)
fly [флаи]|летать,муха|ФЛАЙер *летает по улице, лови его! / *мухи болеют грипом(flu-флу) когда холодно и еле ползают / когда мы *летели в самолёте, в салоне *летали *мухи и раздавали ФЛАЙеры на день варенья|(flight флайт летит фанерный лайнер)(sly слаи ты прибил(slay-слей) *коварную *ловкую *хитрую муху-fly которая тебя достала)
hunt [хАнт]|охотиться|ХАНТы *охотились на мансов в ХАНТы-мансийске / хед-ХАНТер это *охотник за головами(head хэд) / военная ХУНТа *охотилась за партизанами / *поиски *гнать-зверя|
finish [финиш]|заканчивать|*ФИНИШ % *окончание *конец *отделка *завершать *отделывать *выравнивать *сглаживать *прикончить|
delete [ди'ли:т]|удалить|е=и кнопка DEL на клаве *удалять *вычеркивать *стирать *не-оставлять-следов *ликвидировать / ДЕЛЕТант всё ДЕЛИТ на 0 и *уничтожает|
sing [сиН]|петь|СИНГл это сборник *песен / в СИНГапуре *поют про тонкие(thin Син) вещи(thing СиН) / в СИНаГоге гога *поёт - СИНий СИНий иней лёГ на провода|(singer синэр певец поёт до посинения)(song-песня)(sin-грех)
cook [кук]|готовить|*КОК *готовил на КУХне / *КУХарка *повар|(cookie куки печенье)(cooker кукэ плита печь)(кок-петух)
dream [дрим]|мечтать|видел *мечту в *сновидении когда ДРЕМал|
dance [дЭнс][да:нс]|танцевать|д=т *ТАНЦЕ % / лада ДЭНС *танцует и поёт|
sell [сел]|продавать|СЕЛо *продаёт в город еду / бестСЕЛлер - лучшая(best бест) *продажа = очень популярный берут нарасхват|(sell-out селаут распродавать)(cell сел ячейка клетка элемент-питания *продают)
drink [дриНк]|пить,напиток|ДРЯНь и пьянь *бухают до ДРАКи / *питье *напиток *выпить *пьянствовать|(drunk дранк пьяница)
drunk [дрэНк][дрАНк]|пьяный|(=drunken) *алкоголик ДРАНый|
respect [ри'спект]|уважать|РЕСПЕКТабельный значит *уважаемый / РЕСПЕКТ и *уважуха / *почтение *отношение|(respectively риспективли соответственно)
enjoy [ин'джои]|наслаждаться|джой-радость приносит кислотный ди-джей|
forget [фоР'гет]|забывать|=для + получить / *забыл одеть ФОРму ГЕТман и его не пустили домой|
forgive [фоРгив]|простить|=для + дать / *прости мертвецоВ за ОРГИю В морге / *прости ГИВи за то что дал(гив) тебе гирей по башке и ты забыл(forget) свое имя и потерялся(лос) в лос анжелесе|
wish [Виш]|желать,желание|*желаю ВИШневый сад срубить, -ах, мерзавец|
cry [краи]|плакать|КРАЙний в очереди *КРИчал и *плакал что ему не хватит! / моя хата с КРАЮ и я *плачу что ничего не знаю / *плачет девушка в автомате, на КРАЮ света|
mix [микс]|смешивать,смешивание|МИКСер *перемешивает (mix-up миксэп *перепутывает)|
separate [сепэрейт]|разделять|СЕПаРАТор *разделяет котлеты от мух, а миксер обратно смешивает(mix) / *отдельный регион *отделяют СЕПАРАТисты|
print [принт]|печатать,распечатать|ПРИНТер *печатает *распечатку|
jump [джАмп]|прыгать|с крыши зимой в ДЖЕМПере(свитер) чтобы не замерзнуть|(jumper джампер ДЖЕМПЕР это *блуза для прыжков(jump) от *контролера в окно поезда)
hate [хеит]|ненавидеть|всех *ненавидит ХЕЙТер в хате в шапке(хэт)|(hatred хеитрид ненависть)
kiss [кис]|целовать|КИСку взасос, фу! она же лишайная!|
excuse [ик'скьюз][икс'кью:с]|извинять,извинение|ИКСКЬЮЗ ми -простите меня зас-ца / принес УКСУС вместо воды и *извинился, но все уже отравились..|(sorry сори сожалеть)
translate [трЭнс'леит]|переводить|*ТРАНСЛИровать % *объяснять *толковать|
swim [сВим]|плавать|*купаются СВИНьи в грязной луже / СВИнья Моя *купается в ванне, жирок свой греет, журнальчики читает, а меня на конкурс уродов не взяли (из осторожно модерн)|(swig глоток воздуха при *купании)
relax [ри'лЭкс]|расслабляться|при РЕЛАКСации|
fuck [фэк]|тр-тр|плодиться|
#
more [моР]|более|МОРЕ это много(сленг) а значит *больше / МОРЕ *больше озера|
most [моуст]|наиболее,большинство|*наиболее длинный МОСТ построили до луны лунатики / *большинство ходит через МОСТ, а балбесы ходят по тонкому льду, там короче|(mostly моустли главным-образом)
almost [олмоуст]|почти|ОЛя МОСТ проползла с раненым на спине, но в него попала ракета..|
less [лес]|менее|чем *меньше ЛЕС тем толще партизаны|
least [лист]|наименее|*самый-маленький ЛИСТ в лесу / *наименьший список(list лист) вещей в походе|
right [раит]|верно,правый,правильный|+п *пРАвыЙ % / *пРАвильный *пРАво *порядок / дорога *направо вела в РАЙ, а налево в лифт / братья РАЙТ писали(write раит) *правой рукой про самолеты / копиРАЙТ(с) - копировать(copy копи) + *право = правообладатель|
wrong [роН]|неправильный|*неправильные действия нанесли уРОН / капитан РОН *неправильно плыл и завёз на кубу (кино)|
left [лефт]|левый|ф=в % / *налево от ЛИФТа (кино)|
new [нью]|новый|НЬЮ-йорк это *новый йорк / НЬЮтон открыл *новый закон ома|(ньюс-новости)
good [гуд]|хороший|ГУДвин - *хороший + выиграл(win вин) изумрудный город в карты / *хороший робин ГУД грабил плохих / ГУДбай = пока (всего *хорошего)|
better [бетэР]|лучший,лучше|*лучше купить БАТАРейку в фонарь заранее перед концом света / (батер-масло)|
best [бест]|самый-лучший|БЕСТселлер *наилучший продаваемый(sell сел)(seller продавец)|
