var g_tran_us=`
'bout|ˈbaut
darin|ˈdærin
daring|ˈderiŋ
dario|ˈderiˌou
darity|ˈdæriti
darius|dərˈaiəs
darjeeling|ˌdɑrˈʤiliŋ/ˌdɑrˈʒiliŋ
dark|ˈdɑrk
darke|ˈdɑrk
darken|ˈdɑrkən
darkened|ˈdɑrkənd
darkening|ˈdɑrkəniŋ/ˈdɑrkniŋ
darker|ˈdɑrkər
darkest|ˈdɑrkəst
darkie|ˈdɑrki
darkly|ˈdɑrkli
darkness|ˈdɑrknəs
darkroom|ˈdɑrˌkrum
darla|ˈdɑrlə
darland|ˈdɑrlənd
darleen|ˈdɑrˌlin
darlene|ˈdɑrˌlin
darley|ˈdɑrli
darlie|ˈdɑrli
darlin|ˈdɑrlin
darline|ˈdɑrˌlain
darling|ˈdɑrliŋ
darlings|ˈdɑrliŋz
darlington|ˈdɑrliŋtən
darman|ˈdɑrmən
darman's|ˈdɑrmənz
darmon|ˈdɑrmən
darmstadt|ˈdɑrmˌstæt
darn|ˈdɑrn
darnall|ˈdɑrnəl
darned|ˈdɑrnd
darnedest|ˈdɑrndest/ˈdɑrnest
darnel|ˈdɑrnəl
darnell|dɑrˈnel
darner|ˈdɑrnər
darnold|ˈdɑrˌnould
darns|ˈdɑrnz
darocha|dɑˈroukə
darosa|dɑˈrousə
darpa|ˈdɑrpə
darpino|dɑrˈpinou
darr|ˈdɑr/ˈder
darragh|ˈderə
darrah|ˈdærə
darrel|ˈderəl
darrell|ˈderəl
darrelle|dərˈel
darren|ˈdɑrən
darrick|ˈdærik
darrigo|ˌdɑˈrigou
darrin|ˈdærin
darrington|ˈdæriŋtən
darroch|ˈdærək
darrough|ˈdærau
darrow|ˈderou
darrow's|ˈderouz
darryl|ˈderəl
darsey|ˈdɑrsi
darst|ˈdɑrst
darsy|ˈdɑrsi
dart|ˈdɑrt
dart's|ˈdɑrts
dartboard|ˈdɑrtˌbɔrd
darted|ˈdɑrtid
darter|ˈdɑrtər
dartez|dɑrˈtez
darth|ˈdɑrθ
darting|ˈdɑrtiŋ
dartmouth|ˈdɑrtməθ
dartmouth's|ˈdɑrtməθs
darton|ˈdɑrtən
darts|ˈdɑrts
dartt|ˈdɑrt
darty|ˈdɑrti
darty's|ˈdɑrtiz
darville|ˈdɑrˌvil
darwin|ˈdɑrwin
darwin's|ˈdɑrwinz
darwinian|ˌdɑrˈwiniən
darwinism|ˈdɑrwiˌnizəm
darwish|ˈdɑrwiʃ
daryl|ˈderəl
das|ˈdæs/ˈdɑs
dasa|ˈdæsə/ˈdɑsə
dasaro|dɑˈsɑrou
dasburg|ˈdæsbərg
dascenzo|dɑsˈʧenzou
dasch|ˈdæʃ
daschle|ˈdæʃli
dascoli|dɑˈskouli
dase|ˈdeiz
daseke|ˈdeisəki
dash|ˈdæʃ
dashboard|ˈdæʃˌbɔrd
dashboards|ˈdæʃˌbɔrdz
dashed|ˈdæʃt
dashel|ˈdæʃəl
dashell|ˈdæʃəl
dasher|ˈdæʃər
dashes|ˈdæʃiz
dashiell|ˈdæʃil
dashiki|dəˈʃiki
dashing|ˈdæʃiŋ
dashnaw|ˈdæʃnɔ
dashner|ˈdæʃnər
dashville|ˈdæʃˌvil
dashwood|ˈdæʃˌwud
dasilva|dəˈsilvə
daspin|ˈdæspin
daspit|ˈdæspit
dass|ˈdæs
dassault|ˈdæsɔlt
dassault's|ˈdæsɔlts
dassler|ˈdæslər
dassow|ˈdæsou
dastardly|ˈdæstərdli
dat|ˈdæt
data|ˈdætə/ˈdeitə
data's|ˈdætəz/ˈdeitəz
database|ˈdætəˌbeis/ˈdeitəˌbeis
databases|ˈdætəˌbeisiz/ˈdeitəˌbeisiz
datacard|ˈdætəˌkɑrd/ˈdeitəˌkɑrd
datacards|ˈdætəˌkɑrdz/ˈdeitəˌkɑrdz
datacomm|ˈdætəˌkɑm/ˈdeitəˌkɑm
datacomp|ˈdætəˌkɑmp/ˈdeitəˌkɑmp
datacopy|ˈdætəˌkɑpi/ˈdeitəˌkɑpi
datagraphix|ˈdeitəˌgræfiks
datametrics|ˈdætəˌmetriks/ˈdeitəˌmetriks
datapoint|ˈdætəˈpɔint/ˈdeitəˈpɔint
datapoint's|ˈdætəˈpɔints/ˈdeitəˈpɔints
datapoints|ˈdætəˈpɔints/ˈdeitəˈpɔints
datapower|ˈdætəˌpaur/ˈdeitəˌpaur
dataproducts|ˈdeitəˌprɑdəkts
dataproducts'|ˈdætəˌprɔdəkts/ˈdeitəˌprɔdəkts
dataquest|ˈdætəˌkwest/ˈdeitəˌkwest
dataquest's|ˈdætəˌkwests/ˈdeitəˌkwests
dataram|ˈdætərˌæm/ˈdeitərˌæm
datarex|ˈdætərˌeks/ˈdeitərˌeks
datas|ˈdætəz/ˈdeitəz
dataset|ˈdeitəˌset
datasets|ˈdeitəˌsets
date|ˈdeit
date's|ˈdeits
dated|ˈdeitid
datek|ˈdætek
dateline|ˈdeitˌlain
dateline's|ˈdeitˌlainz
datelines|ˈdeitˌlainz
dates|ˈdeits
datext|ˈdæˌtekst
dating|ˈdeitiŋ
dato|ˈdɑtou
datron|ˈdætrən
dats|ˈdæts
datsun|ˈdætsən/ˈdɑtsən
datsun's|ˈdætsənz/ˈdɑtsənz
dattilio|dɑˈtiliou
dattilo|dɑˈtilou
datuk|ˈdɑˌtuk
datum|ˈdætəm/ˈdeitəm
datura|dəˈturə
datz|ˈdæts
dau|ˈdou
daub|ˈdɔb
daube|ˈdɔb
daubed|ˈdɔbd
daubenspeck|ˈdaubinspik
dauber|ˈdaubər
daubert|ˈdaubərt
dauch|ˈdauʧ
daudelin|ˈdoudilæn
dauenhauer|ˈdauənhauər
dauer|ˈdauər
daufuskie|ˈdouˌfəski
daughdrill|ˈdɔdril
daughenbaugh|dɔˈenbɔ
daugherty|ˈdɑkərti
daughety|ˈdɔiti
daughney|ˈdɔni
daughter|ˈdɔtər
daughter-in-law|ˈdɔtərinˌlɔ
daughter's|ˈdɔtərz
daughters|ˈdɔtərz
daughters-in-law|ˈdɔtərzinˌlɔ
daughters'|ˈdɔtərz
daughtery|ˈdɔtəri
daughton|ˈdɔtən
daughtrey|ˈdɔtri
daughtridge|ˈdɔtriʤ
daughtry|ˈdɔtri
daul|ˈdɔl
dault|ˈdɔlt
daulton|ˈdɔltən
daum|ˈdɔm
daun|ˈdɔn
daunt|ˈdɔnt
daunted|ˈdɔntid
daunting|ˈdɔntiŋ
dauphin|ˈdaufin
dauphinais|ˈdoufinei
dauphinee|dɔfiˈni
dauria|ˈdɔriə
daus|ˈdɔz
dauster|ˈdaustər
dauterive|ˈdoutəriv
dauzat|ˈdauzət
davalos|dɑˈvɑlouz
davanzo|dəˈvænzou
davao|ˈdeivou/dəˈvou
davault|dəˈvou
davco|ˈdævkou
dave|ˈdeiv
dave's|ˈdeivz
davee|ˈdævi
davenport|ˈdævənˌpɔrt
davenport's|ˈdævənˌpɔrts
davern|ˈdævərn
daversa|dɑˈversə
daves|ˈdeivz
davey|ˈdeivi
davi|ˈdɑvi
davia|ˈdɑviə
david|ˈdeivid
david's|ˈdeividz
davida|dɑˈvidə
davide|ˌdəˈviˌdei
davidge|ˈdæviʤ
davidian|dəˈvidiən
davidian's|dəˈvidiənz
davidians|dəˈvidiənz
davidoff|ˈdeividɔf
davidow|ˈdævidou
davids|ˈdeividz
davidson|ˈdeividsən
davidson's|ˈdeividsənz
davie|ˈdeivi
davies|ˈdeiviz
davignon|dɑvigˈnɔn
davila|dəˈvilə
davilla|dəˈvilə
davin|ˈdævin
davina|dɑˈvinə
davinci|dəˈvinˌʧi
davino|dɑˈvinou
davio's|ˈdæviouz
davir|dəˈvir
davis|ˈdeivəs/ˈdeivis
davis'|ˈdeivəs/ˈdeivəsəz
davis's|ˈdeivəsəz/ˈdeivisiz
davison|ˈdeivisən
davisson|ˈdævisən
davitt|dəˈvit
davlin|ˈdævlin
davoli|dɑˈvouli
davos|ˈdɑvous
davox|ˈdævɑks
davy|ˈdeivi
davydov|ˈdeiviˌdɔv
daw|ˈdɔ
dawdle|ˈdɔdəl
dawdling|ˈdɔdliŋ
dawdy|ˈdɔdi
dawe|ˈdɔ
dawes|ˈdɔz
dawit|ˈdæwit
dawkins|ˈdɔkinz
dawley|ˈdɔli
dawn|ˈdɔn
dawn's|ˈdɔnz
dawned|ˈdɔnd
dawning|ˈdɔniŋ
dawns|ˈdɔnz
daws|ˈdɔz
dawsey|ˈdɔsi
dawson|ˈdɔsən
dawson's|ˈdɔsənz
dax|ˈdæks
dax'|ˈdæks
dax's|ˈdæksiz
daxor|ˈdæksər
day|ˈdei
day-by-day|ˈdeibaiˌdei
day-to-day|ˈdeituˌdei
day's|ˈdeiz
daya|ˈdaiə
daya's|ˈdaiəz
dayan|ˈdeiən
daybreak|ˈdeiˌbreik
daycare|ˈdeiˌker
daycares|ˈdeiˌkerz
dayco|ˈdeikou
daydream|ˈdeiˌdrim
daydreamed|ˈdeiˌdrimd
daydreaming|ˈdeiˌdrimiŋ
daydreams|ˈdeiˌdrimz
daye|ˈdei
dayhoff|ˈdeihɔf
dayhuff|ˈdeiˌhəf
dayle|ˈdeil
dayley|ˈdeili
daylight|ˈdeiˌlait
daylights|ˈdeiˌlaits
daylong|ˈdeiˌlɔŋ
daynard|ˈdeinərd
dayne|ˈdein
days|ˈdeiz
days'|ˈdeiz
daytime|ˈdeiˌtaim
daytimes|ˈdeiˌtaimz
dayton|ˈdeitən
dayton's|ˈdeitənz
daytona|deiˈtounə
daytop|ˈdeiˌtɑp
daywalt|ˈdeiwəlt
daze|ˈdeiz
dazed|ˈdeizd
dazey|ˈdeizi
dazs|ˈdɑs
dazzle|ˈdæzəl
dazzled|ˈdæzəld
dazzling|ˈdæzəliŋ/ˈdæzliŋ
dazzo|ˈdæzou
dbase|ˈdiˌbeis
dc|ˌdiˈsi
ddt|ˌdiˌdiˈti
de|ˈdei/ˈdi/də
de-excite|ˈdiikˈsait
de-excites|ˈdiikˈsaits
dea|ˈdi
deacon|ˈdikən
deaconess|ˈdikənəs
deacons|ˈdikənz
deactivate|ˌdiˈæktiˌveit
deactivated|ˌdiˈæktiˌveitid
dead|ˈded
dead-end|ˌdeˈdend
dead-ender|ˌdeˈdendər
dead-ends|ˌdeˈdendz
deadbeat|ˈdedˌbit
deadbeats|ˈdedˌbits
deadbolt|ˈdedˌboult
deaden|ˈdedən
deadening|ˈdedəniŋ/ˈdedniŋ
deader|ˈdedər
deadhead|ˈdedˌhed
deadheads|ˈdedˌhedz
deadhorse|ˈdedˌhɔrs
deadlier|ˈdedliər
deadliest|ˈdedliəst
deadline|ˈdedˌlain
deadlines|ˈdedˌlainz
deadliness|ˈdedlinəs
deadlock|ˈdedˌlɑk
deadlocked|ˈdedˌlɑkt
deadlocks|ˈdedˌlɑks
deadly|ˈdedli
deadpan|ˈdedˌpæn
deadweight|ˈdedˌweit
deadwood|ˈdedˌwud
deadwyler|ˈdedˌwailər
deady|ˈdedi
deaf|ˈdef
deafen|ˈdefən
deafening|ˈdefəniŋ/ˈdefniŋ
deafness|ˈdefnəs
deahl|ˈdil
deak|ˈdik
deak's|ˈdiks
deakin|ˈdikin
deakins|ˈdikinz
deal|ˈdil
deal's|ˈdilz
dealba|ˌdiˈælbə
deale|ˈdil
dealer|ˈdilər
dealer's|ˈdilərz
dealerline|ˈdilərˌlain
dealers|ˈdilərz
dealers'|ˈdilərz
dealership|ˈdilərˌʃip
dealership's|ˈdilərˌʃips
dealerships|ˈdilərˌʃips
dealey|ˈdili
dealfish|ˈdilˌfiʃ
dealing|ˈdiliŋ
dealings|ˈdiliŋz
dealmaker|ˈdilˌmeikər
dealmakers|ˈdilˌmeikərz
dealmaking|ˈdilˌmeikiŋ
dealmeida|dəlˈmidə
deals|ˈdilz
dealt|ˈdelt
dealy|ˈdili
deam|ˈdim
deamer|ˈdimər
dean|ˈdin
dean's|ˈdinz
deana|ˌdiˈænə
deanda|ˌdiˈændə
deandrade|dənˈdrɑdi
deandrea|ˈdædriə/ˌdiæˈdreiə
deandrea's|ˈdædriəz/ˌdiæˈdreiəz
deane|ˈdin
deaner|ˈdinər
deangelis|diˈænʤələs
deangelo|dəŋˈgelou
deanna|ˌdiˈænə
deans|ˈdinz
dear|ˈdir
dearborn|ˈdirˌbɔrn
dearden|ˈdirdən
deardorff|ˈdirˌdɔrf
deardourff|ˈdirˌdɔrf
dearer|ˈdirər
dearest|ˈdirəst
dearing|ˈdiriŋ
dearinger|ˈdiriŋər
dearly|ˈdirli
dearman|ˈdirmən
dearmas|ˈdərməz
dearment|ˈdirmənt
dearmon|ˈdərmən
dearmond|ˈdərmənd
dearth|ˈdərθ
deary|ˈdiri
deas|ˈdiz
dease|ˈdis
deason|ˈdizən
deasy|ˈdisi
deater|ˈditər
death|ˈdeθ
death's|ˈdeθs
deathbed|ˈdeθˌbed
deatherage|ˈdeθəriʤ/ˈdeθriʤ
deathly|ˈdeθli
deaths|ˈdeθs
deathshot|ˈdeθʃɔt
deathwatch|ˈdeθˌwɑʧ
deatley|ˈditli
deaton|ˈditən
deatrick|ˈditrik
deats|ˈdits
deaver|ˈdivər
deaver's|ˈdivərz
deavers|ˈdivərz
deavila|dəˈvilə
deb|ˈdeb
debacker|ˈdibækər
debacle|dəˈbɑkəl
debacles|deiˈbɑkəlz
debakey|diˈbeiki
debarment|diˈbɑrmənt
debarr|diˈbær
debarros|deiˈbɑrouz
debartolo|dəˈbɑrtəlou/dibɑrˈtoulou
debartolos|dəˈbɑrtəlouz/dibɑrˈtoulouz
debase|dəˈbeis
debased|dəˈbeist
debasement|dəˈbeismənt
debasing|diˈbeisiŋ
debatable|dəˈbeitəbəl
debate|dəˈbeit
debate's|dəˈbeits
debated|dəˈbeitid
debater|dəˈbeitər
debaters|dəˈbeitərz
debates|dəˈbeits
debating|dəˈbeitiŋ
debator|diˈbeitər
debator's|diˈbeitərz
debauche|ˈdebauk
debauchery|dəˈbɔʧəri
debaun|ˈdebaun
debbie|ˈdebi
debbie's|ˈdebiz
debby|ˈdebi
debeer|ˈdebir
debeers|diˈbirz
debelak|ˈdebilək
debell|ˈdibel
debella|diˈbelə
debellis|ˈdebilis
debello|diˈbelou
debenedetto|dibenəˈdetou
debenedictis|ˈdebinəˌdiktis
debenture|dəˈbenʧər
debentures|dəˈbenʧərz
debentures'|diˈbenʧərz
debernardi|dibərˈnɑrdi
deberry|ˈdiberi
debes|ˈdibz
debevoise|ˌdebevˈwɑz
debi|ˈdebi
debian|ˈdeˌbiən
debiase|dibiˈɑsi
debilitate|dəˈbiləˌteit
debilitated|dəˈbiləˌteitid
debilitating|dəˈbiləˌteitiŋ
debility|dəˈbiləti
debit|ˈdebit
debited|ˈdebiˌtid
debits|ˈdebits
deblanc|diˈblæŋk
deblasio|diˈblɑsiou
deblock|ˈdeblək
deblois|ˌdeˈblu
deblum|dəˈbləm/dəˈblum
debnam|ˈdebnəm
debo|ˈdibou
deboard|ˈdibɔrd
deboe|diˈbou
deboer|ˈdibouər
deboers|ˈdibouərz
debold|ˈdebould
debolt|ˈdeboult
debona|diˈbounə
debonair|ˌdebəˈner
debonis|ˈdebənis
debono|diˈbounou
debor|ˈdebɔr
debora|ˈdebrə
deborah|ˈdebərə/ˈdebrə
deborah's|ˈdebərəz/ˈdebrəz
debord|diˈbɔrd
deborde|diˈbɔrd
debose|ˈdebəs
debow|ˈdebou
deboy|diˈbɔi
debra|ˈdebrə
debraudwick|diˈbrɑdwik
debrecen|ˈdeˈbretsin
debrief|diˈbrif
debriefed|diˈbrift
debriefing|diˈbrifiŋ
debriefs|diˈbrifs
debris|dəˈbri
debrosse|ˈdebrəs
debruhl|ˈdebrəl
debruin|ˈdebruin
debruler|ˈdebrulər
debruyn|ˈdebrain
debruyne|ˈdebrain
debs|ˈdebz
debt|ˈdet
debt's|ˈdets
debtholder|ˈdetˌhouldər
debtholders|ˈdetˌhouldərz
debtor|ˈdetər
debtor's|ˈdetərz
debtors|ˈdetərz
debtors'|ˈdetərz
debts|ˈdets
debug|diˈbəg
debugging|diˈbəgiŋ
debuhr|ˈdebur
debunk|diˈbəŋk
debunked|diˈbəŋkt
debunking|diˈbəŋkiŋ
debunks|diˈbəŋks
debus|ˈdebis
debusk|ˈdebəsk
debussy|diˈbəsi/dibˈjusi
debussy's|diˈbəsiz/dibˈjusiz
debut|ˈdeibju/deibˈju
debutante|ˈdebjəˈtɑnt
debutantes|ˈdebjəˈtɑnts
debuted|ˈdeibjud/deibˈjud
debuting|deibˈjuiŋ
debuts|ˈdeibjuz
dec|ˈdek
dec's|ˈdeks
decade|ˈdekeid/deˈkeid
decade's|ˈdekeidz
decadence|ˈdekədəns
decadent|ˈdekədənt
decadents|ˈdekədənts
decades|ˈdekeidz/deˈkeidz
decaf|ˈdikæf
decaffeinate|diˈkæfəˌneit
decaffeinated|diˈkæfəˌneitid
decaffeinating|diˈkæfəˌneitiŋ
decaffeination|diˌkæfəˈneiʃən
decaire|ˈdiker
decals|ˈdiˌkælz
decamillo|ˌdekəˈmilou
decamillo's|ˌdekəˈmilouz
decamp|dəˈkæmp
decamped|diˈkæmpt
decandia|diˈkɑndiə
decant|dəˈkænt
decanting|dəˈkæntiŋ
decapitate|diˈkæpəˌteit
decapitated|diˈkæpəˌteitid
decapitation|diˌkæpiˈteiʃən
decapitations|diˌkæpiˈteiʃənz
decaprio|diˈkɑpriou
decapua|dikɑˈpuə
decarava|diˈkæəvə
decarava's|diˈkæəvəz
decarli|diˈkɑrli
decarlo|diˈkɑrlou
decaro|diˈkɑrou
decarolis|ˈdekərəlis/diˈkərəlis
decastro|diˈkæstrou
decathlete|diˈkæθlit
decathlon|diˈkæθlɔn
decato|diˈkɑtou
decatur|diˈkeitər
decay|diˈkei
decayed|dəˈkeid
decaying|diˈkeiiŋ
decays|dəˈkeiz
decca|ˈdekə
decease|diˈsis
deceased|diˈsist
dececco|diˈʧekou
decedent|deˈsidənt
decedent's|deˈsidənts
decedents|deˈsidənts
deceit|dəˈsit/diˈsit
deceitful|dəˈsitfəl/diˈsitfəl
deceits|dəˈsits
deceive|diˈsiv
deceived|diˈsivd
deceiving|diˈsiviŋ
decelerate|diˈselərˌeit
decelerated|diˈselərˌeitid
decelerating|diˈselərˌeitiŋ
deceleration|diˌselərˈeiʃən
decelle|diˈsel
decelles|ˈdesəlz
december|diˈsembər
december's|diˈsembərz
decency|ˈdisənsi
decennial|dəˈseniəl
decent|ˈdisənt
decently|ˈdisəntli
decentralization|diˌsentrəliˈzeiʃən
decentralize|diˈsentrəˌlaiz
decentralized|diˈsentrəˌlaizd
decentralizing|diˈsentrəˌlaiziŋ
deception|diˈsepʃən
deceptions|diˈsepʃənz
deceptive|diˈseptiv
deceptively|diˈseptivli
decertification|diˌsərtəfəˈkeiʃən
decertified|diˈsərtəˌfaid
decertify|diˈsərtəˌfai
decesare|diʧeˈsɑri
decesaris|diˈsesəris
dech|ˈdek
dechant|ˈdeiʧənt
dechellis|ˈdekilis
dechene|ˈdekin
decherd|ˈdeʧərd
dechert|ˈdekərt
dechine|ˈdeˌʧin/dəˈʧin
dechristopher|ˈdekristɑfər
decibel|ˈdesəˌbel
decibels|ˈdesəbəlz
decicco|diˈʧikou
decide|ˌdiˈsaid
decided|ˌdiˈsaidid
decidedly|ˌdiˈsaidədli
decider|ˌdiˈsaidər
decides|ˌdiˈsaidz
deciding|ˌdiˈsaidiŋ
deciduous|ˌdiˈsiʤuəs
deciliter|ˈdesəˌlitər
decima|diˈʧimə
decimal|ˈdesəməl
decimals|ˈdesəməlz
decimate|ˈdesəˌmeit
decimated|ˈdesəˌmeitid
decimating|ˈdesəˌmeitiŋ
decimation|ˈdesəˌmeiʃən
decipher|diˈsaifər
deciphered|diˈsaifərd
deciphering|dəˈsaifəriŋ
decision|diˈsiʒən
decision-maker|diˈsiʒənˌmeikər
decision-making|diˈsiʒənˌmeikiŋ
decision's|diˈsiʒənz
decisionmaker|diˈsiʒənˌmeikər
decisionmaking|diˈsiʒənˌmeikiŋ
decisions|diˈsiʒənz
decisive|diˈsaisiv
decisively|diˈsaisivli
decisiveness|diˈsaisivnəs
deck|ˈdek
deckard|diˈkɑrd
decked|ˈdekt
decker|ˈdekər
decker's|ˈdekərz
deckert|ˈdekərt
decking|ˈdekiŋ
deckman|ˈdekmən
decks|ˈdeks
declaim|diˈkleim
declaimed|diˈkleimd
declarant|diˈklerənt
declaration|ˌdeklərˈeiʃən
declarations|ˌdeklərˈeiʃənz
declaratory|diˈklerəˌtɔri
declare|diˈkler
declared|diˈklerd
declares|diˈklerz
declaring|diˈkleriŋ
declassified|diˈklæsəˌfaid
declassify|diˈklæsəˌfai
declension|dəˈklenʃən
declensions|dəˈklenʃənz
declerck|dəˈklərk
declerck's|dəˈklərks
declercq|dəˈklərk
declercq's|dəˈklərks
declerk|dəˈklərk
declerk's|dəˈklərks
declerque|dəˈklərk
declerque's|dəˈklərks
decline|diˈklain
declined|diˈklaind
decliner|diˈklainər
decliners|diˈklainərz
declines|diˈklainz
declining|diˈklainiŋ
declue|ˈdeklu
deco|ˈdekou
decode|diˈkoud
decoded|diˈkoudəd
decoder|diˈkoudər
decoders|diˈkoudərz
decodes|diˈkoudz
decoding|diˈkoudiŋ
decola|diˈkoulə
decom|ˈdeˌkɑm
decommission|dikəˈmiʃən
decommissioned|dikəˈmiʃənd
decommissioning|dikəˈmiʃəniŋ
decompose|ˌdikəmˈpouz
decomposed|ˌdikəmˈpouzd
decomposes|ˌdikəmˈpouziz
decomposing|ˌdikəmˈpouziŋ
decomposition|ˌdikəmpəˈziʃən/ˌdikəmpouˈziʃən
decompression|ˌdikəmˈpreʃən
deconcini|ˌdikənˈsini
decongestant|dikənˈʤestənt/dikənˈʤestənt
decongestants|dikənˈʤestənts/dikənˈʤestənts
deconstruct|ˌdikənˈstrəkt
deconstruction|dikənˈstrəkʃən
decontaminate|dikənˈtæməˌneit
decontaminated|dikənˈtæməˌneitid
decontamination|dikənˌtæməˈneiʃən
decontrol|ˌdikənˈtroul
decontrolled|ˌdikənˈtrould
decook|deˈkuk
decor|ˈdeikɔr/diˈkɔr
decorate|ˈdekərˌeit
decorated|ˈdekərˌeitid
decorating|ˈdekərˌeitiŋ
decoration|ˌdekərˈeiʃən
decorations|ˌdekərˈeiʃənz
decorative|ˈdekrətiv
decorator|ˈdekərˌeitər
decorators|ˈdekərˌeitərz
decordova|ˌdiˌkɔrˈdouvə
decorous|ˈdekərəs
decorte|diˈkɔrti
decorum|diˈkɔrəm
decosta|diˈkoustə
decoste|diˈkousti
decoster|ˈdekəstər
decoteau|ˈdekətou
decou|diˈku
decouple|diˈkəpəl
decoupling|diˈkəpliŋ
decourcy|ˈdekurki
decoursey|ˈdekɔrsi
decoy|dəˈkɔi
decoys|ˈdikɔiz
decrane|dəˈkrein
decrease|ˈdiˌkris/diˈkris
decreased|ˈdiˌkrist/diˈkrist
decreases|ˈdiˌkrisiz/diˈkrisəz/diˈkrisiz
decreasing|ˈdiˌkrisiŋ/diˈkrisiŋ
decree|diˈkri
decreed|diˈkrid
decrees|diˈkriz
decrepit|dəˈkrepit
decrepitly|dəˈkrepitli
decrescenzo|dikresˈʧenzou
decried|diˈkraid
decries|diˈkraiz
decriminalization|diˌkrimənələˈzeiʃən
decriminalize|diˌkrimənəˈlaiz
decriminalizing|diˌkrimənəˈlaiziŋ
decristofaro|dikristouˈfɑrou
decry|diˈkrai
decrying|diˈkraiiŋ
decter|ˈdektər
decuir|ˈdekir
decurtis|diˈkərtəs
decworld|ˈdekwərld
dede|ˈdid
dedeaux|diˈdou
dedecker|ˈdedikər
dederichs|ˈdedriks
dederick|ˈdedərik
dedeurwaerder|dəˈdərˌwɑrdər
dedham|ˈdedəm
dedic|ˈdedik
dedicate|ˈdedəˌkeit
dedicated|ˈdedəkeitəd
dedicates|ˈdediˌkeits
dedicating|ˈdediˌkeitiŋ
dedication|ˌdedəˈkeiʃən
dedios|deiˈdiouz
dedman|ˈdedmən
dedmon|ˈdedmən
dedo|ˈdeidou
dedominicis|deidoumiˈnisis
dedrick|ˈdedrik
deduce|diˈdus
deduced|diˈdust
deduct|diˈdəkt
deducted|diˈdəktid
deductibility|diˌdəktəˈbiləti
deductible|diˈdəktəbəl
deductibles|diˈdəktəbəlz
deducting|diˈdəktiŋ
deduction|diˈdəkʃən
deductions|diˈdəkʃənz
deductive|diˈdəktəv
deductively|diˈdəktəvli
deducts|diˈdəkts
dee|ˈdi
dee's|ˈdiz
deeb|ˈdib
deed|ˈdid
deeded|ˈdidəd/ˈdidid
deedee|ˈdiˈdi
deedrick|ˈdidrik
deedrick's|ˈdidriks
deeds|ˈdidz
deedy|ˈdidi
deeg|ˈdig
deegan|ˈdigən
deehan|ˈdiˌhæn/ˈdiən
deel|ˈdil
deeley|ˈdili
deely|ˈdili
deem|ˈdim
deemed|ˈdimd
deemer|ˈdimər
deemphasize|diˈemfəˌsaiz
deemphasizing|diˈemfəˌsaiziŋ
deems|ˈdimz
deen|ˈdin
deener|ˈdinər
deeney|ˈdini
deep|ˈdip
deepak|ˈdiˌpæk
deepen|ˈdipən
deepened|ˈdipənd
deepening|ˈdipəniŋ/ˈdipniŋ
deepens|ˈdipənz
deeper|ˈdipər
deepest|ˈdipəst
deeply|ˈdipli
deepwater|ˈdipˌwɔtər
deer|ˈdir
deerborne|ˈdirbɔrn
deere|ˈdir
deere's|ˈdirz
deerfield|ˈdirfild
deering|ˈdiriŋ
deerman|ˈdirmən
deerskin|ˈdirˌskin
deery|ˈdiri
dees|ˈdiz
deese|ˈdiz
deet|ˈdit
deeter|ˈditər
deets|ˈdits
deetz|ˈdits
defabio|diˈfɑbiou
deface|diˈfeis
defaced|diˈfeist
defacing|diˈfeisiŋ
defalco|diˈfɑlkou
defamation|ˌdefəˈmeiʃən
defamatory|diˈfæməˌtɔri
defame|diˈfeim
defamed|diˈfeimd
defarges|diˈfɑrʤiz
default|diˈfɔlt
defaulted|diˈfɔltid
defaulter|diˈfɔltər
defaulters|diˈfɔltərz
defaulting|diˈfɔltiŋ
defaults|diˈfɔlts
defazio|diˈfɑziou/diˈfeiziou
defcon|defˈkɑn
defeasance|diˈfizəns
defeat|diˈfit
defeated|diˈfitəd/diˈfitid
defeating|diˈfitiŋ
defeatism|diˈfitizəm
defeatist|diˈfitist
defeats|diˈfits
defect|ˈdifekt/diˈfekt
defected|diˈfektid
defecting|diˈfektiŋ
defection|diˈfekʃən
defections|diˈfekʃənz
defective|diˈfektiv
defector|diˈfektər
defectors|diˈfektərz
defects|ˈdifekts/diˈfekts
defee|ˈdefi
defelice|diˈfelis
defenbaugh|ˈdefinbau
defence|diˈfens
defend|diˈfend
defendant|diˈfendənt
defendant's|diˈfendənts
defendants|diˈfendənts
defendants'|diˈfendənts
defended|diˈfendəd/diˈfendid
defender|diˈfendər
defender's|diˈfendərz
defenders|diˈfendərz
defending|diˈfendiŋ
defends|diˈfendz
defenestration|diˌfeneˈstreiʃən
defense|diˈfens
defense's|diˈfensiz
defenseless|diˈfensləs
defenses|diˈfensəz/diˈfensiz
defensible|diˈfensəbəl
defensive|diˈfensiv
defensively|diˈfensivli
defensiveness|diˈfensivnəs
defeo|ˈdifiou
defer|diˈfər
deference|ˈdefərəns/ˈdefrəns
deferential|ˌdefərˈenʃəl/ˌdefərˈenʧəl
deferment|diˈfərmənt
deferments|diˈfərmənts
deferral|diˈfərəl
deferrals|diˈfərəlz
deferred|diˈfərd
deferring|diˈfəriŋ
defers|diˈfərz
defex|ˈdeˌfeks
deffenbaugh|ˈdefinbau
deffeyes|deˈfaiz
defiance|diˈfaiəns
defiant|diˈfaiənt
defiantly|diˈfaiəntli
defibaugh|ˈdefiˌbɔ
defibrillator|diˈfibriˌleitər
